fips,total_pop,daytime_pop,ozone,pm2.5,diesel,cancer_prob,npl_proximity,toxic_poximity,tsd_proximity,rmp_proximity,coal_proximity,lead_proximity,park_proximity,house_age,walkability,rail_proximity,road_proximity,airport_proximity,watershed_proximity,state_abbrev,state
11001000100,4888,11377,2.33,9.53,1.48,41.99,0,70.12,0,0,0,0,100,90.78,17.75,0,99.3,0,68.64,DC,District of Columbia
11001000201,3922,12313,2.33,9.52,1.42,37.34,0,0,0,0,0,0,100,NA,13.17,0,100,0,81.65999999999998,DC,District of Columbia
11001000202,4709,8874,2.33,9.53,1.46,41.32,0,45.16,0,0,0,0,100,64.97,16.88,0,100,0,66.98,DC,District of Columbia
11001000300,6585,3044,2,9.55,1.3,40.14,0,0,0,0,0,0,100,81.22,14.75,0,79.59,0,72.87,DC,District of Columbia
11001000400,1413,5373,2,9.57,1.18,39.62,0,0,0,0,0,0,100,54.07,16,0,5.34,0,99.85,DC,District of Columbia
11001000501,3434,4563,2,9.59,1.12,39.89,0,0,0,0,0,0,100,75.19,16.33,0,0,0,99.86,DC,District of Columbia
11001000502,3396,2118,2,9.58,1.09,39.08,0,0,0,0,0,0,100,97.3,14.5,0,0,0,99.86,DC,District of Columbia
11001000600,4966,5475,2,9.59,1.04,38.49,0,0,0,0,0,0,100,97.07,15.42,0,0,0,99.72,DC,District of Columbia
11001000701,5786,1983,2,9.58,1.03,37.99,0,0,0,0,0,0,100,94.59,13.13,0,0,0,56.54,DC,District of Columbia
11001000702,2972,1267,2,9.56,1.11,39.42,0,0,0,0,0,0,100,95.84,12.61,0,0.54,0,57.91,DC,District of Columbia
11001000801,6195,5236,2.33,9.55,0.99,37.29,0,1.41,0,1.41,0,0,100,79.4,13.92,0,75.7,0,56.5,DC,District of Columbia
11001000802,3470,3111,2.33,9.52,1.08,38.52,0,0,0,0,0,0,100,79.56,13.75,0,100,0,56.46,DC,District of Columbia
11001000901,7270,11148,2,9.57,0.95,37.02,0,81.06999999999998,0,81.06999999999998,0,0,100,71.56,12.5,0,69.12,0,60.17,DC,District of Columbia
11001000902,2416,2023,2,9.54,0.95,37.03,0,82.69,0,82.7,0,0,100,86.12999999999998,15.5,0,100,0,57.17,DC,District of Columbia
11001001001,7213,7909,2,9.59,0.95,37.36,0,0,0,0,0,0,100,89.95,15.22,0,0,0,61.03,DC,District of Columbia
