state_abbrev,state_desc,county_name,tract_fips,total_population,lack_insurence_prev,binge_drinking_prev,high_bp_prev,cancer_prev,adult_asthma_prev,heart_disease_prev,routine_physical_prev,copd_prev,smoking_prev,diabetes_prev,high_chol_prev,physical_activity_prev,adult_obesity_prev,poor_sleep_prev,stroke_prev,geolocation
DC,District of Columbia,District of Columbia,11001007604,3644,9,16.1,42.9,6.1,12.2,6,76.8,5.8,17.6,13,31.8,24.3,32,39,4.8,POINT (-76.96379997 38.86610065)
DC,District of Columbia,District of Columbia,11001005600,6756,5.5,23.7,20.5,4.6,9.9,3.8,65.2,3.4,9.2,5,23.1,13.5,16.9,26.2,2,POINT (-77.05385751 38.90021244)
DC,District of Columbia,District of Columbia,11001008402,2149,5.2,23.2,26.5,5.4,9.6,3.5,68,2.9,9.5,6.4,25.9,13,20.8,28.8,2.4,POINT (-76.9910702 38.89861357)
DC,District of Columbia,District of Columbia,11001001100,4779,3.3,20.7,25.9,8,8.3,4.2,70.2,2.9,6.2,5.6,32.2,10.2,16.7,23.6,2,POINT (-77.07767045 38.95722636)
DC,District of Columbia,District of Columbia,11001008002,3031,4.7,24.5,23.5,4.6,9.2,2.7,66.8,2.3,8.9,5.2,24.7,11,20.5,28.9,1.8,POINT (-76.98275018 38.89154628)
DC,District of Columbia,District of Columbia,11001008803,2037,11.6,22.6,26.9,2.6,13,3.5,66.6,4.9,20.4,8,21.5,23.8,27.6,36.3,2.9,POINT (-76.99127487 38.91046155)
DC,District of Columbia,District of Columbia,11001009804,2473,11.8,16.4,41.8,4.7,13.9,5.6,75.4,7,23.5,13.5,29.3,29.3,35.5,42.4,5.1,POINT (-76.9977877 38.83997077)
DC,District of Columbia,District of Columbia,11001004001,3745,4.2,27.1,17.8,4.6,8.6,2.5,62.6,2.2,7.5,3.6,23.9,8.9,17.1,25.1,1.2,POINT (-77.04649772 38.92074899)
DC,District of Columbia,District of Columbia,11001009902,2905,9.4,15.6,43.2,6.8,11.8,6.3,77.6,5.6,16,12.8,32,24.3,30,38.2,5,POINT (-76.9445505 38.8717763)
DC,District of Columbia,District of Columbia,11001007708,2486,14.1,14.7,48.2,5.1,15.3,7.4,76.4,10.2,30.6,17.4,32,37.1,40.1,45.1,7,POINT (-76.96086798 38.88557884)
DC,District of Columbia,District of Columbia,11001001803,3514,13,18.3,35.3,5,11.8,4.9,71.5,5.2,18.2,10.6,28.7,24.6,29.8,37.3,3.9,POINT (-77.03973009 38.96707907)
DC,District of Columbia,District of Columbia,11001009102,4127,9.5,16.1,40.8,5.6,12.8,5.7,76.3,5.8,17.6,12.5,29.8,24.9,32,38.8,4.8,POINT (-76.98871149 38.91883046)
DC,District of Columbia,District of Columbia,11001009604,1962,9.4,15.2,43.4,6.9,11.9,6,77.8,5.6,16.1,12.7,32.6,24.4,30.1,38,4.9,POINT (-76.95838737 38.89351706)
DC,District of Columbia,District of Columbia,11001009602,3280,11.7,16.4,38.9,4.3,14.4,4.8,75.1,6.5,23.1,12,26.9,29,35,42.5,4.6,POINT (-76.9533325 38.90139309)
DC,District of Columbia,District of Columbia,11001009907,2836,11.6,16.9,38.5,4.6,13.5,4.8,74.8,5.7,21.7,11.3,27.4,27.3,33,41.7,4.3,POINT (-76.93880536 38.88277252)
DC,District of Columbia,District of Columbia,11001007804,3446,11.4,15.8,41.8,5.7,13,6,76.1,6.4,19.9,12.9,30.2,27.4,32.1,39.9,5.1,POINT (-76.93133277 38.89544497)
DC,District of Columbia,District of Columbia,11001002802,4277,12.6,23.8,22.7,3.7,9.7,3.2,63.2,3.2,13.5,6.6,24,18.6,22.7,30.2,2.2,POINT (-77.03464321 38.92944561)
DC,District of Columbia,District of Columbia,11001000901,7175,5,25.5,18.5,5,9.6,3.3,65.3,3,8,4,23.8,11.1,14.8,24.8,1.6,POINT (-77.10052427 38.93807146)
DC,District of Columbia,District of Columbia,11001011000,3715,4.9,19.2,31.3,7.4,9.2,4.6,72.7,3.5,8.4,7.5,31.5,13.3,20.8,28.2,2.7,POINT (-77.01721541 38.87030085)
DC,District of Columbia,District of Columbia,11001003500,3740,8.4,23.5,20.1,2.5,11.8,2.2,68.3,2.4,11.3,4.6,17.2,15.6,21.8,33.6,1.7,POINT (-77.02434466 38.92237852)
DC,District of Columbia,District of Columbia,11001009301,3143,6.2,19.8,32.3,6,10.2,4.4,72.4,3.7,10.8,8.5,29.3,15.8,24,31.8,3,POINT (-76.98635539 38.93072435)
DC,District of Columbia,District of Columbia,11001008001,2784,5,24,24.2,4.7,9.3,2.7,67.4,2.3,9.2,5.4,24.6,11.7,20.9,29.5,1.9,POINT (-76.98664832 38.89620149)
DC,District of Columbia,District of Columbia,11001009601,2445,11.3,15.6,41.8,5,14.1,5.8,76.3,7,21.9,13.5,29.1,29.2,34.7,41.5,5.3,POINT (-76.94436638 38.91017315)
DC,District of Columbia,District of Columbia,11001010400,4365,12.6,16.6,44.8,4.7,13.5,6.6,75,7.9,26.3,15,30.9,31.3,37.3,43.2,5.7,POINT (-76.99950659 38.8489759)
DC,District of Columbia,District of Columbia,11001007407,2587,11.6,16.8,40.3,4.5,13.7,5.2,74.7,6.4,23.3,12.4,28.1,28.1,35,42.3,4.7,POINT (-76.98510199 38.85748716)
DC,District of Columbia,District of Columbia,11001007809,2922,11.1,16.6,41.3,5.2,13,5.5,75.5,6.2,21.2,12.7,29.6,27.5,33.7,41.2,4.8,POINT (-76.93219832 38.90153003)
DC,District of Columbia,District of Columbia,11001002600,2166,4.3,18.8,33.2,7.4,9,4.7,73.6,3.1,7.6,8,32.3,13,21.4,28.2,2.8,POINT (-77.04248059 38.94518189)
DC,District of Columbia,District of Columbia,11001004600,3028,6.5,23.2,26.1,4.1,9.9,2.8,68.4,2.6,10.7,6.3,23.9,13.9,23.1,32.2,2.1,POINT (-77.01335312 38.90974503)
DC,District of Columbia,District of Columbia,11001006400,2139,11.6,16,41,5.4,13.7,6.1,74.7,7.3,21.4,13.3,30.1,28.2,32.6,39.3,5.4,POINT (-77.01185583 38.86993035)
DC,District of Columbia,District of Columbia,11001000701,4620,4,21.1,24.7,7.7,8.7,4.3,69,3.1,6.6,5.3,30.1,10.8,16.8,23.8,2,POINT (-77.07664151 38.92959124)
DC,District of Columbia,District of Columbia,11001004701,3986,9.1,18.3,31.8,4.7,11.1,4.3,70.9,4.3,15.3,9.2,26.9,21.5,24.9,34.8,3.4,POINT (-77.01359346 38.90414728)
DC,District of Columbia,District of Columbia,11001005002,6021,8,26.5,19.9,3.3,9.1,2.5,61.9,2.5,11.2,4.9,22,13.6,21.1,28.9,1.6,POINT (-77.0293215 38.90727789)
DC,District of Columbia,District of Columbia,11001001002,3442,5.1,25.5,16.9,3.9,9.7,2.4,63.2,2.6,9,3.6,21.6,11.2,16.8,25.9,1.3,POINT (-77.078887 38.93842849)
DC,District of Columbia,District of Columbia,11001000201,3916,8,28.8,8.6,0.9,12.2,1,60.1,2,10.4,1.2,9.8,14.2,14,28.4,0.6,POINT (-77.07507618 38.9094262)
DC,District of Columbia,District of Columbia,11001001401,3078,3.7,22.2,23.6,6.8,8.5,3.6,68.3,2.8,7,5,30.4,10,17.3,24.6,1.7,POINT (-77.07056585 38.96528329)
DC,District of Columbia,District of Columbia,11001009505,2630,7.5,15.5,41.1,7.6,10.7,5.6,77.9,4.4,11.4,11.5,32.5,19.9,26.8,34.5,4.3,POINT (-77.00521858 38.96191234)
DC,District of Columbia,District of Columbia,11001008302,2206,4.3,26.1,20.9,4.8,8.9,2.7,64.9,2.2,8,4.5,24.2,9.8,18,26.5,1.6,POINT (-76.99664861 38.8963171)
DC,District of Columbia,District of Columbia,11001002201,3442,9.2,18.7,34.5,5.8,10.2,4.6,73,3.8,11.8,9.7,29.3,19,26.2,33.6,3.4,POINT (-77.02328754 38.94911957)
DC,District of Columbia,District of Columbia,11001003100,2885,9.6,25,21.8,3.5,9.1,2.6,64.3,2.3,10.5,5.7,22.6,14.8,21.6,30,1.8,POINT (-77.02541713 38.93060265)
DC,District of Columbia,District of Columbia,11001006802,2084,4.3,23.3,25.7,5.1,9.1,2.9,68.8,2.2,8,5.7,25.4,11,21,29.3,1.9,POINT (-76.98143712 38.88320012)
DC,District of Columbia,District of Columbia,11001007200,2794,4.8,28.7,17.5,3.4,8.7,1.9,62,1.6,7.6,3.5,19.4,9.2,18,27.4,1.2,POINT (-77.00112577 38.8758951)
DC,District of Columbia,District of Columbia,11001009807,3072,9.8,16.5,42.4,5.5,12.6,5.7,76.3,6,19.3,13.1,30.6,25.5,33.7,40.5,4.8,POINT (-77.01176931 38.82907792)
DC,District of Columbia,District of Columbia,11001008410,1489,5.2,23.2,26.1,4.4,9.5,2.8,69.1,2.2,8.7,6,24.3,12,22.2,30.7,2,POINT (-76.99112921 38.9015585)
DC,District of Columbia,District of Columbia,11001009903,1851,9.6,17.4,37.6,5.3,12.4,4.8,75.5,4.8,16.6,10.6,27.8,23.1,30,39,4.1,POINT (-76.92119051 38.88829721)
DC,District of Columbia,District of Columbia,11001009507,1489,10.1,15.4,42.6,7.4,11.8,6.5,77.5,5.6,14.2,12.9,32.3,24.1,28.7,36.3,5.2,POINT (-76.99781378 38.95847727)
DC,District of Columbia,District of Columbia,11001000100,4890,3.8,23.2,23.1,7,8.5,3.9,67.2,2.9,7.2,4.8,29.5,10,17,23.9,1.8,POINT (-77.0605375 38.90838265)
DC,District of Columbia,District of Columbia,11001000501,3376,3.8,27.8,14.6,3.9,8.8,2,61.7,1.8,6.5,2.7,20.4,8.2,15.2,24.3,1,POINT (-77.05171083 38.92663626)
