state_fips,state_name,state_abbrev,county_fips,county_name,fips,location,area_sqmi,total_pop,housing_units,num_households,poverty,unemployment,housing_cost_burden,no_highschool,uninsured,age_over_65,age_under_17,disabilities,single_parent,limited_english,minority,multi_unit_housing,mobile_homes,crowded_housing,no_vehicle,group_quarters
11,District of Columbia,DC,11001,District of Columbia,11001000101,Census Tract 1.01; District of Columbia; District of Columbia,0.077133913152,1097,841,738,47,0,122,12,22,317,78,55,0,0,298,525,0,4,293,0
11,District of Columbia,DC,11001,District of Columbia,11001000102,Census Tract 1.02; District of Columbia; District of Columbia,0.658876885368,3127,2093,1866,256,16,234,60,33,871,301,211,49,60,634,493,0,0,440,0
11,District of Columbia,DC,11001,District of Columbia,11001000201,Census Tract 2.01; District of Columbia; District of Columbia,0.194983054408,2384,0,0,48,84,0,0,42,0,27,129,0,11,1165,0,0,0,0,2384
11,District of Columbia,DC,11001,District of Columbia,11001000202,Census Tract 2.02; District of Columbia; District of Columbia,0.29978310637,3919,1957,1802,476,107,255,35,16,825,258,238,0,10,936,431,0,9,523,591
11,District of Columbia,DC,11001,District of Columbia,11001000300,Census Tract 3; District of Columbia; District of Columbia,0.402378515912,5979,2785,2471,673,52,347,128,0,606,1335,135,30,23,1992,339,0,16,345,0
11,District of Columbia,DC,11001,District of Columbia,11001000400,Census Tract 4; District of Columbia; District of Columbia,0.595075460378,1652,815,660,169,29,101,37,5,345,319,106,10,23,546,412,0,0,89,32
11,District of Columbia,DC,11001,District of Columbia,11001000501,Census Tract 5.01; District of Columbia; District of Columbia,0.363032019398,3594,2539,2183,423,167,608,43,51,573,339,236,22,0,1479,2284,0,18,924,47
11,District of Columbia,DC,11001,District of Columbia,11001000502,Census Tract 5.02; District of Columbia; District of Columbia,0.224521015714,3384,1789,1714,218,49,233,43,16,485,671,187,31,36,1056,1172,0,47,359,0
11,District of Columbia,DC,11001,District of Columbia,11001000600,Census Tract 6; District of Columbia; District of Columbia,0.55670696023,4548,2290,2206,195,75,356,170,43,882,934,364,90,0,966,1181,0,0,537,140
11,District of Columbia,DC,11001,District of Columbia,11001000702,Census Tract 7.02; District of Columbia; District of Columbia,0.119292776634,2921,2476,2168,297,31,699,0,56,317,137,164,38,36,1104,2052,0,65,723,0
11,District of Columbia,DC,11001,District of Columbia,11001000703,Census Tract 7.03; District of Columbia; District of Columbia,0.089628559974,2978,2328,2028,100,63,271,26,40,1558,108,547,0,0,958,2303,0,15,506,0
11,District of Columbia,DC,11001,District of Columbia,11001000704,Census Tract 7.04; District of Columbia; District of Columbia,0.128319455292,2660,1726,1515,238,60,474,53,37,410,385,190,19,40,712,1195,0,48,407,5
11,District of Columbia,DC,11001,District of Columbia,11001000802,Census Tract 8.02; District of Columbia; District of Columbia,0.651964887364,3306,1529,1471,291,68,267,98,37,734,604,312,28,110,922,375,0,52,231,0
11,District of Columbia,DC,11001,District of Columbia,11001000803,Census Tract 8.03; District of Columbia; District of Columbia,0.11897848960599999,2464,1533,1233,471,86,322,0,226,627,416,236,0,44,938,1105,0,0,273,103
11,District of Columbia,DC,11001,District of Columbia,11001000804,Census Tract 8.04; District of Columbia; District of Columbia,0.991034258336,3674,1353,1235,280,114,129,0,0,625,949,228,40,10,671,336,0,0,31,307
11,District of Columbia,DC,11001,District of Columbia,11001000902,Census Tract 9.02; District of Columbia; District of Columbia,0.720893360812,2310,888,864,101,35,83,44,39,448,645,145,79,29,593,35,0,0,45,5
11,District of Columbia,DC,11001,District of Columbia,11001000903,Census Tract 9.03; District of Columbia; District of Columbia,0.358341652302,2784,390,358,116,169,54,0,36,163,265,162,0,18,656,0,0,0,0,1729
