"GEOID","NAME","unw_centroid_long","unw_centroid_lat","Estimated Population","Percent Non-Hispanic","Percent Non-Hispanic White ","Percent Non-Hispanic Black ","Percent Non-Hispanic American Indian/Alaska Native ","Percent Non-Hispanic Asian ","Percent Non-Hispanic Native Hawaiian/Other Pacific Islander ","Percent Non-Hispanic Other ","Percent Non-Hispanic Two or More Races","Percent Hispanic ","Estimate Educated","Median Income ","Population Below Poverty Level","Population Income to Poverty Level","Percent Below 100% FPL","Percent Between 100% and 199% FPL","Unemployment Rate, 16 and Over","Percent Below 200% FPL","Percent High School or Less","Percent Some College or Greater","Labor Force Participation Rate ","Percent Non-White","Redlining (HOLC Grade)","Asthma Prevalence","Smoking Prevalence","Obesity Prevalence","COPD Prevalence","Lack of Health Care Access Prevalence","ICE, Nonwhite by Income ","ICE, Rent Versus Owned ","Particulate Matter ","Housing Stress","Percent Population Within Half a Mile to Parks","Percent Population With Access to Healthy Foods"
"11001000101","Census Tract 1.01; District of Columbia; District of Columbia",-77.0547246,38.9085885,1181,92.3793395427604,70.8721422523285,4.91109229466554,0,3.13293818797629,2.87891617273497,1.2701100762066,9.31414055884843,7.62066045723963,1048,116875,1181,115,0,0,2.3,0,2.19465648854962,97.8053435114504,97.1139971139971,29.1278577476715,NA,8.9,5.8,17.8,2.5,2.8,76.8991282689913,54.2963885429639,9.21889787136343,31.8181818181818,NA,NA
"11001000102","Census Tract 1.02; District of Columbia; District of Columbia",-77.06124882,38.90575637,3056,86.7473821989529,82.0353403141361,0.490837696335079,0,2.71596858638743,0,0.556282722513089,0.948952879581152,13.2526178010471,2749,117686,3056,277,0,12.9963898916967,1.7,12.9963898916967,4.83812295380138,95.1618770461986,89.1684901531729,17.9646596858639,NA,9,6,18.5,3.5,3,74.1256830601093,66.2295081967213,9.14416931706642,27.8535353535354,NA,0
"11001000201","Census Tract 2.01; District of Columbia; District of Columbia",-77.0741566,38.90925368,2835,86.5608465608466,54.2504409171076,7.76014109347443,0,18.6596119929453,0,0.211640211640212,5.67901234567901,13.4391534391534,75,4225,64,0,NA,NA,12.2,NA,38.6666666666667,61.3333333333333,38.4096556620518,45.7495590828924,NA,13.6,12,19.6,3.4,8.9,NA,NA,8.77243286562699,26.5996168582375,NA,NA
"11001000202","Census Tract 2.02; District of Columbia; District of Columbia",-77.06960145,38.90591227,3964,90.3128153380424,77.8758829465187,2.44702320887992,0,6.45812310797175,0,0.32795156407669,3.20383451059536,9.68718466195762,2457,94151,3246,229,4.80349344978166,0,3.5,4.80349344978166,5.77940577940578,94.2205942205942,73.2729711602951,22.1241170534813,NA,9.6,6.3,16.9,3,3.7,77.6200873362446,73.1441048034934,8.77243286562699,26.5996168582375,NA,NA
"11001000300","Census Tract 3; District of Columbia; District of Columbia",-77.07576721,38.91757636,5669,85.6059269712471,68.4953254542247,5.73293349797142,0.44099488445934,3.93367436937731,0,0.493914270594461,6.50908449461986,14.3940730287529,3765,94653,5669,1295,0,1.31274131274131,1.1,1.31274131274131,3.95750332005312,96.0424966799469,83.9512855209743,31.5046745457753,NA,9.5,7,18.3,2.9,3.9,75.8847736625514,59.3415637860082,8.63441419653291,27.9021843659843,NA,0.134148159189149
"11001000400","Census Tract 4; District of Columbia; District of Columbia",-77.06590793,38.92388248,1715,83.731778425656,55.6851311953353,4.54810495626822,0,19.067055393586,0,0,4.43148688046647,16.268221574344,1313,101800,1715,275,0,5.09090909090909,8.9,5.09090909090909,13.0997715156131,86.9002284843869,62.7167630057804,44.3148688046647,NA,8.8,5.9,18.6,3.3,3.6,67.621776504298,54.5845272206304,9.03377269041351,33.6134453781513,NA,NA
"11001000501","Census Tract 5.01; District of Columbia; District of Columbia",-77.05168365,38.92660185,3490,89.512893982808,57.9942693409742,12.0630372492837,0,16.1604584527221,0,0.429799426934097,2.86532951289398,10.487106017192,2940,89478,3475,323,0,0,8.4,0,1.9047619047619,98.0952380952381,90.0117050331643,42.0057306590258,NA,9.2,5.6,18.3,2.3,3.5,61.7567567567568,12.1621621621622,9.20580761616654,31.7415133145258,NA,NA
"11001000502","Census Tract 5.02; District of Columbia; District of Columbia",-77.05961533,38.92832136,3448,85.7598607888631,67.5754060324826,4.35034802784223,0,3.68329466357309,0,0.986078886310905,9.16473317865429,14.2401392111369,2565,118228,3448,793,10.9709962168979,1.38713745271122,2.1,12.3581336696091,4.5224171539961,95.4775828460039,92.3324150596878,32.4245939675174,NA,9.6,8.5,18.9,3.2,3.1,72.0816561242093,55.3191489361702,9.07175446472265,25.7225433526012,NA,NA
"11001000600","Census Tract 6; District of Columbia; District of Columbia",-77.0664688,38.93627904,4367,92.1456377375773,79.0474009617586,6.52621937256698,0,3.70964048545913,0,1.35104190519808,1.51133501259446,7.85436226242272,3394,113186,4246,928,3.66379310344828,0,3.6,3.66379310344828,7.83736004714202,92.162639952858,88.9291465378422,20.9525990382414,NA,9.6,7.6,18.8,4.3,3.3,74.5138888888889,68.75,8.71069238071221,25,NA,NA
"11001000702","Census Tract 7.02; District of Columbia; District of Columbia",-77.07786461,38.92414986,3239,90.4291447977771,54.7699907378821,22.8774313059586,0,8.42852732324792,0,0,4.35319543068848,9.57085520222291,2650,61667,3239,320,5.9375,30,1.4,35.9375,11.8867924528302,88.1132075471698,87.3251748251748,45.2300092621179,NA,9.2,6.2,18.4,2.1,3.5,55.9120073327223,29.5142071494042,8.77469626506883,37.1984277582001,NA,0.134148159189149
