"GEOID","NAME","unw_centroid_long","unw_centroid_lat","Estimated Population","Percent Non-Hispanic","Percent Non-Hispanic White ","Percent Non-Hispanic Black ","Percent Non-Hispanic American Indian/Alaska Native ","Percent Non-Hispanic Asian ","Percent Non-Hispanic Native Hawaiian/Other Pacific Islander ","Percent Non-Hispanic Other ","Percent Non-Hispanic Two or More Races","Percent Hispanic ","Estimate Educated","Median Income ","Population Below Poverty Level","Population Income to Poverty Level","Percent Below 100% FPL","Percent Between 100% and 199% FPL","Unemployment Rate, 16 and Over","Percent Below 200% FPL","Percent High School or Less","Percent Some College or Greater","Labor Force Participation Rate ","Percent Non-White","Redlining (HOLC Grade)","Asthma Prevalence","Smoking Prevalence","Obesity Prevalence","COPD Prevalence","Lack of Health Care Access Prevalence","ICE, Nonwhite by Income ","ICE, Rent Versus Owned ","Particulate Matter ","Housing Stress","Percent Population Within Half a Mile to Parks","Percent Population With Access to Healthy Foods"
"24005400100","Census Tract 4001; Baltimore County; Maryland",-76.70520196,39.26788732,4423,97.4451729595297,70.4725299570427,15.1028713542844,0.226090888537192,10.0158263621976,0,0,1.62785439746778,2.55482704047027,3559,46276,4185,452,0,4.20353982300885,0.3,4.20353982300885,32.9867940432706,67.0132059567294,83.6793128131711,29.5274700429573,NA,8.9,7.3,23,9,7.7,60.468085106383,47.7446808510638,7.95478260461293,56.0606060606061,2,0.436681222707424
"24005400200","Census Tract 4002; Baltimore County; Maryland",-76.71269558,39.27369229,2703,97.7432482426933,59.4154642989271,19.385867554569,0,12.504624491306,0,0,6.43729189789123,2.2567517573067,1934,57067,2693,522,13.7931034482759,14.367816091954,2.9,28.1609195402299,29.8862461220269,70.1137538779731,84.5366379310345,40.5845357010729,2,10.4,10.7,29.8,4.7,7.1,61.9389587073609,50.4488330341113,8.10777031126165,26.3888888888889,0,16.1188118811881
"24005400400","Census Tract 4004; Baltimore County; Maryland",-76.72924954,39.25059234,5371,93.5766151554645,74.5112641966114,11.4131446657978,0,5.17594488921988,0,0,2.47626140383541,6.42338484453547,4098,68385,5275,1045,10.0478468899522,10.622009569378,1.9,20.6698564593301,18.6188384577843,81.3811615422157,84.4641480339244,25.4887358033886,2,9.8,7.8,27,4.8,4.8,68.546365914787,81.4118629908104,7.32981462738877,16.0520607375271,65,95.2356987082704
"24005400500","Census Tract 4005; Baltimore County; Maryland",-76.75166496,39.25438225,2692,99.2570579494799,92.3476968796434,2.67459138187221,0,1.85735512630015,0,0.928677563150074,1.44873699851412,0.742942050520059,1920,74848,2692,618,0,18.6084142394822,2.9,18.6084142394822,9.94791666666667,90.0520833333333,78.3561643835616,7.65230312035661,2,9.9,8.5,28.3,4.7,4.1,81.75,97.3,7.12502671524468,7.47474747474747,94,92.6799007444169
"24005400600","Census Tract 4006; Baltimore County; Maryland",-76.7183796,39.27904115,2968,94.5080862533693,54.5485175202156,27.8975741239892,0,3.47035040431267,0.202156334231806,0.774932614555256,7.61455525606469,5.49191374663073,2071,60122,2914,706,7.64872521246459,5.09915014164306,1.2,12.7478753541076,23.2254949299855,76.7745050700145,88.8084632516704,45.4514824797844,1.9952434744763,11,11.4,32.1,5.4,6.4,61.216429699842,63.0331753554502,8.02632066968012,22.2222222222222,0,0
"24005400701","Census Tract 4007.01; Baltimore County; Maryland",-76.72670415,39.28471572,3095,96.9628432956381,45.5573505654281,31.5993537964459,0,14.8949919224556,0,0,4.91114701130856,3.03715670436187,2162,47762,3095,593,5.56492411467116,27.150084317032,5.2,32.7150084317032,24.745605920444,75.254394079556,85.2885525070955,54.4426494345719,NA,11,11.9,32.3,4.9,7.6,54.8534201954397,47.1009771986971,8.01026361434982,33,43,NA
"24005400702","Census Tract 4007.02; Baltimore County; Maryland",-76.71658108,39.28799115,2196,85.7012750455373,39.0710382513661,29.8724954462659,0,13.7978142076503,0,0.63752276867031,2.3224043715847,14.2987249544627,1299,48317,2087,690,21.7391304347826,18.2608695652174,1.5,40,33.7182448036951,66.2817551963048,76.271186440678,60.9289617486339,2,11.8,14,34.8,6.6,9.4,56.3503649635037,77.956204379562,8.12050572808787,22.962962962963,55,NA
"24005400800","Census Tract 4008; Baltimore County; Maryland",-76.73538003,39.27944767,3167,97.158193874329,35.3015472055573,32.3965898326492,0.505209977897063,24.0922008209662,0,0,4.86264603725924,2.84180612567098,2133,47267,3165,808,6.31188118811881,34.7772277227723,8,41.0891089108911,33.8490389123301,66.1509610876699,82.1714285714286,64.6984527944427,2.68064865640762,11.5,14.9,34.4,7.1,10,59.4900849858357,67.6109537299339,7.92648254062512,37.4384236453202,77,4.46165191740413
"24005400900","Census Tract 4009; Baltimore County; Maryland",-76.74943552,39.27872514,2171,77.6140027637034,42.0543528327959,21.2344541685859,0,9.85720865960387,0,1.5660985720866,2.90188853063105,22.3859972362966,1374,55377,2155,665,3.90977443609023,44.5112781954887,8.2,48.4210526315789,25.6914119359534,74.3085880640466,88.1938325991189,57.9456471672041,2.23987593734305,10.8,11.4,33.5,6.3,9.6,61.0666666666667,70,7.86852117842902,31.9444444444444,100,NA
"24005401000","Census Tract 4010; Baltimore County; Maryland",-76.74443475,39.27234861,2314,91.8755401901469,74.9351771823682,8.77268798617113,0,1.0371650821089,0,0.345721694036301,6.7847882454624,8.12445980985307,1692,40326,1958,463,0,0,4.2,0,26.1229314420804,73.8770685579196,87.8283712784588,25.0648228176318,2,10.4,10.6,30.2,6,6.5,68.5514612452351,69.3773824650572,7.78535269680201,21.7391304347826,54,12.0381901203819
"24005401101","Census Tract 4011.01; Baltimore County; Maryland",-76.73392015,39.29815627,6228,93.0796403339756,20.82530507386,58.2048811817598,0,12.3956326268465,0,0,1.65382145150931,6.92035966602441,3986,37414,6213,1580,21.0126582278481,28.1645569620253,6,49.1772151898734,41.4199698946312,58.5800301053688,81.9401733296058,79.17469492614,3,11.4,12,36.2,5.4,10.1,50.9094942324756,67.435669920142,8.06371079655142,33.4841628959276,47,NA
"24005401102","Census Tract 4011.02; Baltimore County; Maryland",-76.7306201,39.3110469,816,100,22.9166666666667,60.6617647058823,0.122549019607843,13.7254901960784,0,0,2.57352941176471,0,670,45790,814,82,0,17.0731707317073,15.2,17.0731707317073,42.9850746268657,57.0149253731343,78.0684104627767,77.0833333333333,2.07621956832802,11.3,10.5,35,5.1,8.5,42.5619834710744,40.702479338843,8.11714108409988,44.2105263157895,74,42.3076923076923
"24005401200","Census Tract 4012; Baltimore County; Maryland",-76.71799111,39.3178991,3538,89.5703787450537,16.223855285472,64.5562464669305,0,3.53306953080837,0.565291124929339,0,4.69191633691351,10.4296212549463,2456,41114,3519,700,3.57142857142857,32,9,35.5714285714286,40.9609120521173,59.0390879478827,87.5591296121097,83.776144714528,2,13.1,17.3,42.3,7.9,10.5,46.8847352024922,69.1588785046729,7.80856135254933,43.0379746835443,100,88.8073394495413
"24005401301","Census Tract 4013.01; Baltimore County; Maryland",-76.72185618,39.29596649,3426,100,14.5067133683596,78.8966725043783,0,4.08639813193228,0,0,2.51021599532983,0,2403,51914,3426,870,11.7241379310345,23.6781609195402,3.5,35.4022988505747,35.6637536412817,64.3362463587183,84.5628415300546,85.4932866316404,3,13,15.9,41.7,6.9,10,45.756062767475,83.9514978601997,8.2119030329824,37.8650014867678,93.5,0
"24005401302","Census Tract 4013.02; Baltimore County; Maryland",-76.71574678,39.29456508,2892,99.5159059474412,16.9087136929461,82.088520055325,0,0.518672199170124,0,0,0,0.484094052558783,2320,40252,2892,339,20.6489675516224,21.2389380530973,10.1,41.8879056047198,37.6293103448276,62.3706896551724,72.791519434629,83.0912863070539,3,13,14.6,41.5,6.3,8.9,43.1848852901484,53.8461538461538,8.2119030329824,37.8650014867678,93.5,0
"24005401400","Census Tract 4014; Baltimore County; Maryland",-76.77032422,39.26443563,1656,89.2512077294686,82.1859903381642,0.36231884057971,0,4.52898550724638,0,0.603864734299517,1.57004830917874,10.7487922705314,1112,81563,1656,401,0,0,6.1,0,13.0395683453237,86.9604316546763,90.5781584582441,17.8140096618357,NA,10.4,9.6,29,5,5,80.5799648506151,98.4182776801406,7.33527237299718,9.66608084358524,91,29.5652173913043
"24005401503","Census Tract 4015.03; Baltimore County; Maryland",-76.7756516,39.27837597,6331,91.7390617595956,64.6027483809825,8.07139472437214,0,7.45537829726741,0,0,11.6095403569736,8.26093824040436,4621,75370,6318,1266,15.4028436018957,13.9020537124803,6.3,29.304897314376,20.8829257736421,79.1170742263579,87.5064267352185,35.3972516190175,NA,10.5,10.8,29.8,5.4,6.2,70.6973293768546,82.1958456973294,7.53140157478558,14.7810218978102,96,26.5331278890601
"24005401504","Census Tract 4015.04; Baltimore County; Maryland",-76.7681581,39.29834218,6903,84.2966826017673,31.3197160654788,15.3121831087933,0.130378096479791,33.0146313197161,0,2.27437346081414,2.2454005504853,15.7033173982327,4712,52190,6903,1685,26.646884272997,9.19881305637982,8,35.8456973293769,30.4541595925297,69.5458404074703,72.3553162853297,68.6802839345212,NA,10.7,13.2,32,6.9,8.1,50.8976660682226,84.7845601436266,7.62736496635602,22.6012793176972,93,9.88710229216558
