"GEOID","NAME","unw_centroid_long","unw_centroid_lat","Estimated Population","Percent Non-Hispanic","Percent Non-Hispanic White ","Percent Non-Hispanic Black ","Percent Non-Hispanic American Indian/Alaska Native ","Percent Non-Hispanic Asian ","Percent Non-Hispanic Native Hawaiian/Other Pacific Islander ","Percent Non-Hispanic Other ","Percent Non-Hispanic Two or More Races","Percent Hispanic ","Estimate Educated","Median Income ","Population Below Poverty Level","Population Income to Poverty Level","Percent Below 100% FPL","Percent Between 100% and 199% FPL","Unemployment Rate, 16 and Over","Percent Below 200% FPL","Percent High School or Less","Percent Some College or Greater","Labor Force Participation Rate ","Percent Non-White","Redlining (HOLC Grade)","Asthma Prevalence","Smoking Prevalence","Obesity Prevalence","COPD Prevalence","Lack of Health Care Access Prevalence","ICE, Nonwhite by Income ","ICE, Rent Versus Owned ","Particulate Matter ","Housing Stress","Percent Population Within Half a Mile to Parks","Percent Population With Access to Healthy Foods"
"24510010100","Census Tract 101; Baltimore city; Maryland",-76.57408289,39.27921576,2803,92.0085622547271,79.5932929004638,8.383874420264,0,1.74812700677845,0,0.249732429539779,2.03353549768106,7.99143774527292,2377,86331,2607,228,0,7.01754385964912,0.9,7.01754385964912,8.87673538073201,91.123264619268,90.2168674698795,20.4067070995362,4,9.3,5.4,24.3,2.4,5.2,74.5774171737661,82.2177146720757,8.64910949873934,18.9964157706093,53,NA
"24510010200","Census Tract 102; Baltimore city; Maryland",-76.57401781,39.28805393,3000,96.6,81.2,3.43333333333333,0,2.9,0,0.6,8.46666666666667,3.4,2497,81823,3000,403,0,0,0.9,0,13.816579895875,86.1834201041249,91.8238993710692,18.8,3.40260608402833,9.9,8.1,26.3,2.7,6.1,75.2215657311669,75.6277695716396,9.12671329535465,19.1011235955056,100,NA
"24510010300","Census Tract 103; Baltimore city; Maryland",-76.58034575,39.28781455,1931,94.6141895390989,87.7783531848783,0,0,4.6090108751942,0,0,2.22682547902641,5.38581046090109,1691,90119,1931,167,0,7.78443113772455,2.1,7.78443113772455,5.97279716144293,94.0272028385571,96.4093357271095,12.2216468151217,3.99992232139625,9.7,7.5,24.6,2.3,4.9,82.4870466321243,70.4663212435233,9.00007508149548,11.340206185567,100,NA
"24510010400","Census Tract 104; Baltimore city; Maryland",-76.58143211,39.27900458,3082,85.8533419857235,72.2582738481506,5.93770279039585,0,4.34782608695652,0,0,3.30953926022064,14.1466580142764,2617,78667,3082,389,0,37.5321336760925,8.1,37.5321336760925,9.01795949560566,90.9820405043943,86.8948247078464,27.7417261518494,4,10.5,10.4,27.3,3.8,5.5,72.6636999364272,66.0521296884933,8.59435641427364,30.42071197411,53,NA
"24510010500","Census Tract 105; Baltimore city; Maryland",-76.58588624,39.28887352,1691,91.4251921939681,74.334713187463,7.09639266706091,0,2.12891780011827,0,0,7.86516853932584,8.57480780603193,1253,66114,1679,274,9.48905109489051,0,6.1,9.48905109489051,10.6943335993615,89.3056664006385,86.1958266452648,25.665286812537,4,10.4,9.2,28.4,3.4,6.7,64.5161290322581,52.3041474654378,8.92429648372012,28.4848484848485,100,NA
"24510020100","Census Tract 201; Baltimore city; Maryland",-76.58876965,39.28876845,1756,78.4738041002278,61.5603644646925,11.7881548974943,0,3.35990888382688,0,0,1.76537585421412,21.5261958997722,1311,72475,1756,148,9.45945945945946,0,1.7,9.45945945945946,7.09382151029748,92.9061784897025,86.8318122555411,38.4396355353075,4,9.7,5.9,25,2.1,5.6,65.4237288135593,52.7683615819209,8.93490390772052,17.7142857142857,100,NA
"24510020200","Census Tract 202; Baltimore city; Maryland",-76.59202636,39.28863703,1389,81.9294456443484,57.5233981281498,12.9589632829374,0.863930885529158,6.69546436285097,0,0.935925125989921,2.95176385889129,18.0705543556515,1118,49700,1348,131,30.5343511450382,19.8473282442748,2.9,50.381679389313,16.8157423971377,83.1842576028623,76.3532763532764,42.4766018718502,4,10.2,10.2,29.5,3.1,8.3,56.1302681992337,41.8901660280971,9.12706836536362,32.484076433121,100,NA
"24510020300","Census Tract 203; Baltimore city; Maryland",-76.59361139,39.28133515,3816,95.0733752620545,68.2914046121593,14.622641509434,0,5.89622641509434,0,0,6.26310272536688,4.92662473794549,3437,82078,3816,106,25.4716981132075,0,2.1,25.4716981132075,11.6962467267966,88.3037532732034,89.8634294385432,31.7085953878407,NA,9.9,9.2,26.6,3.1,5.1,63.5455680399501,25.4265501456513,8.98773280669919,40.6185567010309,58,NA
"24510030100","Census Tract 301; Baltimore city; Maryland",-76.59657245,39.2894072,1614,98.636926889715,17.6579925650558,78.6864931846345,0,0.619578686493185,0,0,1.6728624535316,1.36307311028501,1177,36543,1614,342,64.327485380117,18.4210526315789,15.1,82.7485380116959,56.5845369583687,43.4154630416313,71.1274060494959,82.3420074349442,4,15.1,28.2,45.9,11.6,17.2,40.8484848484848,16.4848484848485,9.14235613694036,31.4432989690722,100,NA
"24510030200","Census Tract 302; Baltimore city; Maryland",-76.60212734,39.28651025,3114,86.062941554271,57.3538856775851,17.9833012202954,0,7.54656390494541,0,0.610147719974309,2.56904303147078,13.937058445729,2621,63603,3108,257,0,27.2373540856031,1.1,27.2373540856031,23.3880198397558,76.6119801602442,76.9230769230769,42.6461143224149,4,10.6,12,29.9,4.8,6.6,66.0041124057574,42.4948594928033,9.2425544633482,43.4579108223531,82.5,NA
"24510040100","Census Tract 401; Baltimore city; Maryland",-76.61490682,39.29040705,6359,91.8697908476176,33.7317188237144,43.7804686271426,0.267337631703098,9.84431514389055,0,1.14797924201919,3.09797137914766,8.13020915238245,5649,57939,6359,187,100,0,2.5,100,7.71818020888653,92.2818197911135,86.960968126811,66.2682811762856,4,10.2,7.9,27.7,2.2,6.4,48.5366859027205,4.67848309975268,9.2425544633482,43.4579108223531,82.5,NA
"24510040200","Census Tract 402; Baltimore city; Maryland",-76.62504892,39.29032488,1334,92.7286356821589,26.4617691154423,51.6491754122939,0,8.17091454272864,0,2.69865067466267,3.74812593703148,7.27136431784108,543,14000,744,130,79.2307692307692,16.1538461538462,4.2,95.3846153846154,17.4953959484346,82.5046040515654,67.1186440677966,73.5382308845577,4,11.8,11.8,30.9,3.7,9.2,41.9006479481641,2.80777537796976,9.24719802804458,44.1176470588235,73,NA
"24510060100","Census Tract 601; Baltimore city; Maryland",-76.57515646,39.29465336,2677,92.3048188270452,32.0508031378409,47.8520732162869,0.709749719835637,0.560328726186029,0,0,11.1318640268958,7.6951811729548,1999,NA,2677,471,11.2526539278132,36.5180467091295,3,47.7707006369427,33.4667333666833,66.5332666333167,79.2712066905615,67.9491968621591,3,11.8,15.1,36.3,5.1,13.3,55.0566695727986,73.84481255449,9.19999980926514,50.8771929824561,100,NA
"24510060200","Census Tract 602; Baltimore city; Maryland",-76.58062013,39.29442745,2329,77.844568484328,38.1279519106913,28.81064834693,1.67453842851009,5.96822670674109,0.17174753112924,0,3.09145556032632,22.155431515672,1803,48731,2327,437,23.3409610983982,33.8672768878719,10.7,57.20823798627,32.8341652800887,67.1658347199113,79.7297297297297,61.8720480893087,3,12.4,16.4,37.4,5.8,12.7,52.3452157598499,49.53095684803,9.19999980926514,36.4485981308411,100,NA
"24510060300","Census Tract 603; Baltimore city; Maryland",-76.58551356,39.29424524,1568,70.4081632653061,41.4540816326531,21.0459183673469,0.510204081632653,4.08163265306122,0,0,3.31632653061224,29.5918367346939,1112,59324,1560,326,40.1840490797546,35.8895705521472,3.6,76.0736196319018,22.931654676259,77.068345323741,81.6433566433566,58.5459183673469,3.61741509817913,10.4,8.7,30.7,2.9,7.6,57.8304597701149,57.0402298850575,9.19999980926514,28.169014084507,100,NA
