"GEOID","NAME","unw_centroid_long","unw_centroid_lat","Estimated Population","Percent Non-Hispanic","Percent Non-Hispanic White ","Percent Non-Hispanic Black ","Percent Non-Hispanic American Indian/Alaska Native ","Percent Non-Hispanic Asian ","Percent Non-Hispanic Native Hawaiian/Other Pacific Islander ","Percent Non-Hispanic Other ","Percent Non-Hispanic Two or More Races","Percent Hispanic ","Estimate Educated","Median Income ","Population Below Poverty Level","Population Income to Poverty Level","Percent Below 100% FPL","Percent Between 100% and 199% FPL","Unemployment Rate, 16 and Over","Percent Below 200% FPL","Percent High School or Less","Percent Some College or Greater","Labor Force Participation Rate ","Percent Non-White","Redlining (HOLC Grade)","Asthma Prevalence","Smoking Prevalence","Obesity Prevalence","COPD Prevalence","Lack of Health Care Access Prevalence","ICE, Nonwhite by Income ","ICE, Rent Versus Owned ","Particulate Matter ","Housing Stress","Percent Population Within Half a Mile to Parks","Percent Population With Access to Healthy Foods"
"24009860103","Census Tract 8601.03; Calvert County; Maryland",-76.66112699,38.73152134,6728,95.0951248513674,76.9916765755054,9.03686087990488,0.44589774078478,2.46730083234245,0,0,6.15338882282996,4.90487514863258,4454,81446,6722,1905,1.5748031496063,2.36220472440945,0.5,3.93700787401575,28.4238886394252,71.5761113605748,77.3504273504274,23.0083234244947,NA,10.5,10.9,33.2,6.1,5.7,73.8326848249027,89.7373540856031,6.82610798010585,24.0282685512367,29.6666666666667,63.6832960004088
"24009860200","Census Tract 8602; Calvert County; Maryland",-76.64687442,38.68113822,6276,96.3352453792224,79.1108986615679,7.07456978967495,0,0.302740599107712,0,2.40599107711918,7.44104525175271,3.66475462077757,4082,79192,6274,1967,0,0.711743772241993,0,0.711743772241993,21.7785399314062,78.2214600685938,81.7414884001205,20.8891013384321,NA,10.2,9.1,32.2,4.8,4.7,80.4853888063398,94.9975235264983,6.68701798990167,9.00243309002433,17,99.1451586388295
"24009860300","Census Tract 8603; Calvert County; Maryland",-76.57786867,38.66331643,4279,98.4342136013087,79.387707408273,14.3491469969619,0,0.303809301238607,0,0.560878709978967,3.83267118485627,1.56578639869128,3157,64398,4270,856,3.50467289719626,0,2.7,3.50467289719626,41.3683877098511,58.6316122901489,84.9653045489591,20.612292591727,NA,10.8,12.1,34.9,6.2,6.2,72.8599867285999,90.9754479097545,6.33482859343946,9.85915492957746,0,NA
"24009860402","Census Tract 8604.02; Calvert County; Maryland",-76.5469146,38.66695667,3843,97.8662503252667,74.1087691907364,16.2633359354671,0.78064012490242,0.78064012490242,0,0.650533437418683,5.28233151183971,2.13374967473328,2543,68871,3843,755,0,5.29801324503311,2.7,5.29801324503311,36.610302791978,63.389697208022,86.2910381543922,25.8912308092636,NA,10.6,10,33.5,4.8,6.1,70.4918032786885,88.5245901639344,6.32157914220009,17.5627240143369,5,62.3102866779089
"24009860403","Census Tract 8604.03; Calvert County; Maryland",-76.55968145,38.68792478,3873,96.0237541957139,71.5982442550994,8.36560805577072,0,4.64756003098373,0,0.258197779499096,11.154144074361,3.97624580428608,2624,66250,3873,987,2.93819655521783,2.53292806484296,0,5.47112462006079,20.6173780487805,79.3826219512195,77.4398547435315,28.4017557449006,NA,11.1,11.7,35.3,5.1,6.1,65.3014416775885,81.1926605504587,6.45024944241459,NA,17,53.1545417180436
"24009860404","Census Tract 8604.04; Calvert County; Maryland",-76.55363328,38.71066312,7452,94.2163177670424,70.6924315619968,13.3387010198604,0.22812667740204,2.84487385936661,0.764895330112721,0.979602791196994,5.36768652710682,5.7836822329576,4942,54989,7437,1906,0.944386149003148,9.86358866736621,9.1,10.8079748163694,32.6588425738567,67.3411574261433,78.080229226361,29.3075684380032,NA,11.3,13.1,34.7,6.1,7,69.5135332845647,80.6144842721287,6.45024944241459,NA,17,53.1545417180436
"24009860501","Census Tract 8605.01; Calvert County; Maryland",-76.56678092,38.60161025,6873,93.8454823221301,77.1569911246908,10.3884766477521,0,2.28430088753092,0,0,4.01571366215626,6.15451767786993,4740,63098,6863,1466,2.25102319236016,2.59208731241473,1.8,4.8431105047749,31.3924050632911,68.6075949367089,79.7939592601264,22.8430088753092,NA,10.8,12.5,34.2,5.6,5.9,78.4257206208426,99.1574279379157,6.314369638691,18.7654320987654,4,NA
"24009860502","Census Tract 8605.02; Calvert County; Maryland",-76.52739162,38.57784354,3085,92.965964343598,74.9108589951378,6.74230145867099,0,1.16693679092382,0,1.68557536466775,8.46029173419773,7.03403565640194,2309,67239,3085,542,0,6.45756457564576,3.6,6.45756457564576,32.3516673884799,67.6483326115201,83.1515812431843,25.0891410048622,NA,11,12.2,34.1,6.7,5.8,69.6619950535861,93.6521022258862,6.27358061561853,21.6326530612245,41,NA
"24009860600","Census Tract 8606; Calvert County; Maryland",-76.64262753,38.61210386,6601,95.6824723526738,80.5787001969399,5.48401757309499,0,0,0,0,9.61975458263899,4.31752764732616,4368,61743,6601,1824,2.08333333333333,7.01754385964912,4.4,9.10087719298246,33.3562271062271,66.6437728937729,83.4011391375102,19.4212998030601,NA,10.7,11.6,34.4,6.3,6,73.2627703635527,87.7588587206627,6.39484646073955,20.3022562792678,12.5,NA
"24009860701","Census Tract 8607.01; Calvert County; Maryland",-76.63285398,38.54212115,3661,89.6476372575799,64.681780934171,12.810707456979,0.163889647637258,8.11253755804425,0,0,3.87872166074843,10.3523627424201,2318,55707,3536,697,11.9081779053085,3.87374461979914,4.2,15.7819225251076,43.9603106125971,56.0396893874029,85.7990867579909,35.318219065829,NA,11,13.7,35.3,7.6,7.4,68.140589569161,66.9690098261527,6.42328914457318,32.7586206896552,11,NA
"24009860702","Census Tract 8607.02; Calvert County; Maryland",-76.57415917,38.55770819,2846,89.7399859451862,57.2382290934645,22.2417427969079,0,1.86226282501757,0,1.96767392832045,6.43007730147575,10.2600140548138,2007,53309,2715,583,3.60205831903945,6.86106346483705,1.4,10.4631217838765,42.7503736920777,57.2496263079223,80.6206088992974,42.7617709065355,NA,12.2,16.9,39.2,7.9,8.5,57.6635514018692,66.3551401869159,6.36505816786794,19.2118226600985,25,NA
