"GEOID","NAME","unw_centroid_long","unw_centroid_lat","Estimated Population","Percent Non-Hispanic","Percent Non-Hispanic White ","Percent Non-Hispanic Black ","Percent Non-Hispanic American Indian/Alaska Native ","Percent Non-Hispanic Asian ","Percent Non-Hispanic Native Hawaiian/Other Pacific Islander ","Percent Non-Hispanic Other ","Percent Non-Hispanic Two or More Races","Percent Hispanic ","Estimate Educated","Median Income ","Population Below Poverty Level","Population Income to Poverty Level","Percent Below 100% FPL","Percent Between 100% and 199% FPL","Unemployment Rate, 16 and Over","Percent Below 200% FPL","Percent High School or Less","Percent Some College or Greater","Labor Force Participation Rate ","Percent Non-White","Redlining (HOLC Grade)","Asthma Prevalence","Smoking Prevalence","Obesity Prevalence","COPD Prevalence","Lack of Health Care Access Prevalence","ICE, Nonwhite by Income ","ICE, Rent Versus Owned ","Particulate Matter ","Housing Stress","Percent Population Within Half a Mile to Parks","Percent Population With Access to Healthy Foods"
"24025301102","Census Tract 3011.02; Harford County; Maryland",-76.26773242,39.50209456,3637,96.563101457245,66.2359087159747,13.8850701127303,0.0824855650261204,12.3728347539181,0,2.08963431399505,1.89716799560077,3.43689854275502,2537,74957,3627,1003,15.2542372881356,1.49551345962114,6.9,16.7497507477567,25.1083957430035,74.8916042569965,86.3852242744063,33.7640912840253,NA,10,10.4,32.9,6,5.9,67.7874186550976,94.2877801879971,7.67874860929863,17.7213352685051,40.5,63.8159914878851
"24025301105","Census Tract 3011.05; Harford County; Maryland",-76.30637539,39.48241731,3592,94.2928730512249,88.0289532293987,2.83964365256125,0,1.78173719376392,0,0.361915367483296,1.28062360801782,5.70712694877506,2528,51491,3592,847,0,6.84769775678867,1.6,6.84769775678867,36.0363924050633,63.9636075949367,81.9214387127307,11.9710467706013,NA,11,14.3,35.5,6.4,6.8,66.9777458722182,95.1184493898062,8.05352836304806,18.3453237410072,43,NA
"24025301106","Census Tract 3011.06; Harford County; Maryland",-76.31708441,39.50205992,4904,91.3743882544861,74.2659053833605,7.97308319738988,0,3.71125611745514,0,1.83523654159869,3.58890701468189,8.62561174551387,3153,64148,4836,1312,1.29573170731707,12.7286585365854,3,14.0243902439024,19.790675547098,80.209324452902,80.040733197556,25.7340946166395,NA,10.1,10,32.5,5.3,5.6,75.2117263843648,86.1237785016287,7.56463629084438,14,4,10.7947805456702
"24025301107","Census Tract 3011.07; Harford County; Maryland",-76.30222463,39.46723722,3619,93.9486045869025,71.5114672561481,18.5134014921249,0,2.12765957446809,0,0,1.79607626416137,6.05139541309754,2599,46764,3619,647,25.5023183925811,27.8207109737249,7,53.323029366306,28.4724894190073,71.5275105809927,85.5977152182783,28.4885327438519,NA,11.7,16,38.5,7.3,8.5,57.8012215435869,30.5941143808995,7.9607429128828,40.4371584699454,91,0.0315059861373661
"24025301108","Census Tract 3011.08; Harford County; Maryland",-76.29412026,39.48385511,4342,95.2326116996776,72.8235836020267,11.3542146476278,0,6.84016582220175,0,0,4.21464762782128,4.76738830032243,2900,59599,4342,998,0,1.30260521042084,3.3,1.30260521042084,22.448275862069,77.551724137931,72.6904674273095,27.1764163979733,NA,10.3,10.4,34,5.3,5.2,75.2969951083159,95.2480782669462,7.8771445743284,11.3553113553114,75,51.4119359534207
"24025301201","Census Tract 3012.01; Harford County; Maryland",-76.3561323,39.45855924,1777,95.160382667417,87.5633089476646,4.89589195272932,0,0.225098480585256,0,0.619020821609454,1.85706246482836,4.83961733258301,1388,50553,1777,278,0,6.83453237410072,6.7,6.83453237410072,41.8587896253602,58.1412103746398,81.2807881773399,12.4366910523354,NA,10.2,11.7,34.4,7.2,6.7,67.9624664879357,91.0187667560322,7.69720000944675,25.2117357528316,81,24.0627266642692
"24025301202","Census Tract 3012.02; Harford County; Maryland",-76.33165015,39.48808423,7962,93.50665661894,72.142677719166,10.3868374780206,0,6.45566440592816,0,1.74579251444361,2.77568450138156,6.49334338106003,5571,58922,7962,2002,8.29170829170829,9.84015984015984,2.6,18.1318681318681,26.1891940405672,73.8108059594328,78.2833300218558,27.857322280834,NA,10.9,12.9,35.6,5.7,6.6,62.1226874391431,88.3154819863681,7.66487870043563,35.5,79,18.0254300673149
"24025301204","Census Tract 3012.04; Harford County; Maryland",-76.32401841,39.46517925,4194,95.2551263710062,64.13924654268,26.7048164043872,0,2.5035765379113,0,0,1.90748688602766,4.7448736289938,2866,59786,4186,893,0,20.3807390817469,6.3,20.3807390817469,27.9832519190509,72.0167480809491,85.6756756756757,35.86075345732,NA,10.9,11.2,34.8,4.2,6.7,68.4971098265896,70.5844572896596,7.88191264794142,28.9848130012064,95,15.0657646236805
"24025301205","Census Tract 3012.05; Harford County; Maryland",-76.3168997,39.47248078,4086,97.4057758198727,71.6348507097406,15.0758688203622,0,6.6079295154185,0,0,4.08712677435144,2.59422418012726,3081,61798,4086,765,0,27.5816993464052,1.4,27.5816993464052,28.4323271665044,71.5676728334956,88.0084895649098,28.3651492902594,NA,10.5,10.8,34.9,4.3,6.8,63.472436888202,89.9021123132406,8.16157542517873,19.6132596685083,51,0.333174678724417
"24025301301","Census Tract 3013.01; Harford County; Maryland",-76.33923339,39.43411043,4801,93.0014580295772,67.6942303686732,23.1410122891064,0,0.937304728181629,0,1.12476567381795,0.104144969797959,6.99854197042283,3622,41862,4776,739,0,14.3437077131258,4.5,14.3437077131258,40.3920485919382,59.6079514080618,78.4558327714093,32.3057696313268,NA,11.3,15.5,39,7.7,8.7,62.1565578019699,86.0031104199067,7.92362341306641,27.2796674975551,82.6666666666667,32.5150606880327
"24025301302","Census Tract 3013.02; Harford County; Maryland",-76.31965009,39.42967688,8231,91.3619244320253,23.4722390961001,59.6525331065484,0,1.26351597618758,0,0.777548293038513,6.19608796015065,8.63807556797473,4602,40803,8231,2686,19.4713328369322,30.8637379002234,11.7,50.3350707371556,42.2859626249457,57.7140373750543,86.2340812613705,76.5277609038999,NA,13.2,17.3,45.2,6.6,9.9,45.9830176355323,52.1227955584585,8.00033792928077,37.5,100,NA
"24025301401","Census Tract 3014.01; Harford County; Maryland",-76.35809007,39.41117156,7361,97.5682651813612,77.2449395462573,13.7345469365575,0,1.46719195761445,0,0,5.12158674093194,2.43173481863877,5834,58817,7361,1003,4.18743768693918,7.37786640079761,4.2,11.5653040877368,40.9324648611587,59.0675351388413,89.9847594165034,22.7550604537427,NA,11.1,13.1,36.8,6.3,7.6,64.239897370109,71.2636305323926,7.89305996831627,17.0398162452896,81,65.2023429179979
"24025301402","Census Tract 3014.02; Harford County; Maryland",-76.33534566,39.4039573,2686,91.734921816828,66.7163067758749,20.3648548026806,0,0.297840655249442,0,0,4.35591958302308,8.265078183172,1808,58482,2686,625,26.4,2.72,1.5,29.12,38.3849557522124,61.6150442477876,84.3269821757837,33.2836932241251,NA,11.3,13.4,38.9,6.7,7.4,66.552734375,87.6953125,7.77304488175897,18.7817258883249,68,100
"24025301601","Census Tract 3016.01; Harford County; Maryland",-76.31100342,39.41778825,6586,90.9960522320073,42.711812936532,41.3908290312785,0,0.744002429395688,0,0,6.14940783480109,9.00394776799271,4352,47005,6558,1448,5.31767955801105,19.8895027624309,8.6,25.207182320442,46.3924632352941,53.6075367647059,82.4631233903067,57.288187063468,NA,12.1,14.5,42.2,5.8,9.4,56.575288041319,62.4950337703615,7.87914712788941,32.8389830508475,94,16.2305295950156
"24025301602","Census Tract 3016.02; Harford County; Maryland",-76.27474367,39.43258705,7722,87.5161875161875,32.6728826728827,40.7407407407407,0,2.9008029008029,0,0,11.2017612017612,12.4838124838125,5478,50397,7711,1309,7.18105423987777,13.5217723453018,5.3,20.7028265851795,36.6557137641475,63.3442862358525,81.183932346723,67.3271173271173,NA,11,11.5,38.6,5.5,8,56.2308478038815,90.3302689819544,7.83670578506655,27.7676950998185,77,52.3357387011014
"24025301703","Census Tract 3017.03; Harford County; Maryland",-76.28031068,39.45951385,6156,95.1591942820013,46.3450292397661,38.2066276803119,0,3.96361273554256,0,0.454840805717999,6.18908382066277,4.8408057179987,4144,56159,6156,1329,3.6117381489842,17.90820165538,4.3,21.5199398043642,30.7673745173745,69.2326254826255,85.8345358345358,53.6549707602339,NA,10.7,10.9,36.8,5.2,6.8,61.5731462925852,88.2264529058116,8.06139874917105,24.5005441542289,70.6666666666667,47.285603257137
"24025301704","Census Tract 3017.04; Harford County; Maryland",-76.2504055,39.47370067,3183,90.7634307257304,64.5931511153,18.6930568645932,0,2.29343386742067,0.188501413760603,0,4.99528746465599,9.23656927426956,2165,48521,3079,620,2.09677419354839,28.3870967741935,0.8,30.4838709677419,29.6073903002309,70.3926096997691,86.6732968672302,35.4068488847,NA,11.6,14.3,39.3,6.1,7.5,56.7363112391931,63.8328530259366,8.13439982466462,26.865671641791,82,27.3293207891194
"24025301705","Census Tract 3017.05; Harford County; Maryland",-76.23178956,39.48063326,2523,96.3931827189853,61.7915180340864,28.4185493460166,0,4.47879508521601,0,0,1.70432025366627,3.60681728101467,1826,52236,2523,476,9.87394957983193,22.6890756302521,1.9,32.563025210084,21.2486308871851,78.7513691128149,92.4877517691889,38.2084819659136,NA,11.4,13.7,38.7,5.1,7.2,62.2696411251212,72.74490785645,8.05751144946835,NA,64,54.3252156265855
"24025301706","Census Tract 3017.06; Harford County; Maryland",-76.22718814,39.49379808,2789,96.9164575116529,65.220509143062,19.8637504481893,0,2.29472929365364,0,4.5177482968806,5.01972032986734,3.08354248834708,2018,62386,2789,624,8.17307692307692,6.73076923076923,4.3,14.9038461538462,16.6005946481665,83.3994053518335,90.3175429463821,34.779490856938,NA,11,10.3,38.2,4.2,7.1,65.7203389830509,74.2372881355932,8.05751144946835,NA,64,54.3252156265855
"24025301707","Census Tract 3017.07; Harford County; Maryland",-76.2614191,39.45235396,4189,99.9522559083313,62.1389353067558,28.7180711386966,0,2.36333253759847,0,0,6.7319169252805,0.047744091668656,3287,49097,4189,560,13.0357142857143,28.2142857142857,3,41.25,37.085488287192,62.914511712808,82.3250296559905,37.8610646932442,NA,11,11.4,37.5,6.1,7,65.6822209096279,91.0809214412286,7.91796956998657,24.9949586610204,53.3333333333333,68.6992266084153
"24025302100","Census Tract 3021; Harford County; Maryland",-76.17841822,39.59581066,2234,96.9561324977619,93.822739480752,0.44762757385855,0,1.61145926589078,0,0,1.07430617726052,3.04386750223814,1597,62500,2234,476,0,8.82352941176471,2.7,8.82352941176471,33.2498434564809,66.7501565435191,81.5849056603774,6.17726051924799,NA,10.2,10.4,33.2,5.8,5.7,78.997461928934,94.2893401015228,7.56111203468647,13.0434782608696,48,NA
"24025302200","Census Tract 3022; Harford County; Maryland",-76.18968247,39.55385629,3098,98.4183344092963,78.2440284054229,10.3938024531956,0,3.38928340865074,0,0,6.39122014202711,1.58166559070368,2546,62292,3098,467,0,15.8458244111349,2.3,15.8458244111349,26.1194029850746,73.8805970149254,92.5907258064516,21.7559715945771,NA,10.5,11.5,34.9,6.5,6.3,71.123595505618,80.4494382022472,7.49155150699888,20.8333333333333,15,NA
"24025302400","Census Tract 3024; Harford County; Maryland",-76.2090491,39.47077985,4712,87.1392190152801,41.8505942275042,38.8794567062818,0.0636672325976231,4.39303904923599,0,0,1.95246179966044,12.8607809847199,3046,42483,4712,1156,20.6747404844291,12.3702422145329,9.9,33.0449826989619,49.2120814182534,50.7879185817466,75.5221932114883,58.1494057724958,NA,12,17,41.5,8.2,10.3,51.0146561443066,60.0338218714769,7.85969147542481,22.2222222222222,19,99.4367254975591
"24025302801","Census Tract 3028.01; Harford County; Maryland",-76.16064466,39.535647,3635,98.7895460797799,68.1155433287483,17.1664374140303,0,5.50206327372765,0,0.330123796423659,7.67537826685007,1.21045392022008,2683,46165,3603,681,13.3627019089574,18.0616740088106,4.2,31.424375917768,36.600819977637,63.399180022363,80.4657794676806,31.8844566712517,NA,11.4,14.2,38.7,8,9.1,60.7830126078301,79.5620437956204,7.7579065599846,33.695652173913,52,33.984269053431
"24025302802","Census Tract 3028.02; Harford County; Maryland",-76.18332036,39.51396163,5559,85.6808778557294,39.8812736103616,35.6538945853571,0,3.70570246447203,0,4.31732325957906,2.12268393595971,14.3191221442706,3565,35159,5550,1281,15.3786104605777,22.8727556596409,5.2,38.2513661202186,46.8723702664797,53.1276297335203,75.5095641266855,60.1187263896384,NA,11.7,15,39.8,7.3,9.9,54.6368989205103,54.2198233562316,8.06442603116974,36.734693877551,35,0.0439463854098
"24025302901","Census Tract 3029.01; Harford County; Maryland",-76.14762966,39.51057576,2470,85.4655870445344,43.8866396761134,34.17004048583,0,0,0,1.01214574898785,6.39676113360324,14.5344129554656,1504,26197,2470,812,58.128078817734,22.7832512315271,7.1,80.9113300492611,60.2393617021277,39.7606382978723,68.2123655913979,56.1133603238866,NA,13.9,23,46.9,9.8,16.3,45.2743902439024,48.0691056910569,8.01726866071975,43.3862433862434,94,95.0152207001522
"24025302902","Census Tract 3029.02; Harford County; Maryland",-76.17443233,39.50074471,4535,91.6207276736494,59.7794928335171,23.0871003307607,0,1.10253583241455,0,0,7.651598676957,8.37927232635061,3328,39548,4535,762,6.56167979002625,19.4225721784777,1.8,25.9842519685039,46.3341346153846,53.6658653846154,85.3953147877013,40.2205071664829,NA,11.6,13.9,39.6,7,9.7,55.0553683196919,74.8194511314396,8.01717950462889,33.0468992041116,44,48.8485644059125
"24025303101","Census Tract 3031.01; Harford County; Maryland",-76.30909308,39.58828593,6571,97.1845989955867,91.2950844620301,2.6479987825293,0,1.73489575407092,0,0,1.50661999695632,2.81540100441333,4286,63862,6543,1673,0,7.47160789001793,4.6,7.47160789001793,35.1609892673822,64.8390107326178,88.7918122815776,8.70491553796987,NA,10.1,9.2,32.8,4.8,5.8,78.8541187298665,91.2103083294984,7.47030876950377,13.9908256880734,38,NA
"24025303102","Census Tract 3031.02; Harford County; Maryland",-76.25868299,39.57834082,2662,93.5762584522915,84.2223891810669,1.80315552216379,0,1.54019534184823,0,5.18407212622089,0.826446280991736,6.42374154770849,1866,69107,2641,538,1.30111524163569,3.15985130111524,0.7,4.46096654275093,23.8478027867095,76.1521972132905,77.3130544993663,15.7776108189331,NA,9.8,8.6,31.8,5.4,4.9,76.4845605700713,96.3182897862233,7.53478442014405,11.046511627907,6,NA
"24025303201","Census Tract 3032.01; Harford County; Maryland",-76.37524874,39.60157945,5869,97.5805077525984,93.1504515249617,0.971204634520361,0,0.579315045152496,0,0.596353722951099,2.28318282501278,2.4194922474016,4017,53070,5833,1276,3.29153605015674,3.84012539184953,2.2,7.13166144200627,27.0351008215086,72.9648991784914,83.9167169583585,6.84954847503834,NA,10.7,11.9,34.2,6.2,5.7,73.8275340393343,94.9571356530509,7.48585919027848,17.6782189076552,30.5,37.0451499457316
