"GEOID","NAME","unw_centroid_long","unw_centroid_lat","Estimated Population","Percent Non-Hispanic","Percent Non-Hispanic White ","Percent Non-Hispanic Black ","Percent Non-Hispanic American Indian/Alaska Native ","Percent Non-Hispanic Asian ","Percent Non-Hispanic Native Hawaiian/Other Pacific Islander ","Percent Non-Hispanic Other ","Percent Non-Hispanic Two or More Races","Percent Hispanic ","Estimate Educated","Median Income ","Population Below Poverty Level","Population Income to Poverty Level","Percent Below 100% FPL","Percent Between 100% and 199% FPL","Unemployment Rate, 16 and Over","Percent Below 200% FPL","Percent High School or Less","Percent Some College or Greater","Labor Force Participation Rate ","Percent Non-White","Redlining (HOLC Grade)","Asthma Prevalence","Smoking Prevalence","Obesity Prevalence","COPD Prevalence","Lack of Health Care Access Prevalence","ICE, Nonwhite by Income ","ICE, Rent Versus Owned ","Particulate Matter ","Housing Stress","Percent Population Within Half a Mile to Parks","Percent Population With Access to Healthy Foods"
"24033800102","Census Tract 8001.02; Prince George's County; Maryland",-76.85683168,39.10611557,3011,73.430753902358,31.0860179342411,33.7097309863833,0,3.08867485885088,0,1.52773165061441,4.01859847226835,26.569246097642,2532,41334,3011,262,9.16030534351145,0,3.3,9.16030534351145,43.2859399684044,56.7140600315956,91.3734939759036,68.9139820657589,NA,10.8,13.4,33.9,5.9,12.6,50.8904109589041,36.4383561643836,8.15417105508826,38.2834757834758,100,4.5021645021645
"24033800103","Census Tract 8001.03; Prince George's County; Maryland",-76.84018087,39.09670668,2323,59.4059405940594,11.3646147223418,33.4481274214378,0,4.99354283254412,0,0,9.59965561773569,40.5940594059406,1458,37556,2323,463,13.6069114470842,28.5097192224622,3.8,42.1166306695464,50.2743484224966,49.7256515775034,90.1468788249694,88.6353852776582,NA,10.9,15.1,36.5,6,16,45.8860759493671,16.8776371308017,8.4260274870675,43.979057591623,92,NA
"24033800105","Census Tract 8001.05; Prince George's County; Maryland",-76.87536599,39.1065459,3474,89.5221646516983,17.1560161197467,62.2913068508923,0,6.39032815198618,0,0.460564191134139,3.22394933793897,10.4778353483017,2561,53943,3474,692,6.06936416184971,16.7630057803468,3.2,22.8323699421965,19.4845763373682,80.5154236626318,77.7455449647741,82.8439838802533,NA,10.6,10.4,35.2,4.6,10.1,53.0492285084497,64.364437913299,7.96441190584656,33.8229264178631,91,47.0652873310446
"24033800106","Census Tract 8001.06; Prince George's County; Maryland",-76.87980133,39.09512023,3439,77.7842396045362,12.6490258796162,52.8351264902588,0,6.33905205001454,0,0,5.9610351846467,22.2157603954638,2315,62130,3439,756,0,10.5820105820106,6.7,10.5820105820106,24.3628509719222,75.6371490280778,91.7853751187085,87.3509741203838,NA,11,12,36.9,5,8.8,52.56,84.96,8.1114305621522,36.3944039676257,73.5,11.8823085628065
"24033800108","Census Tract 8001.08; Prince George's County; Maryland",-76.86041149,39.09572346,3741,84.8703555199145,8.31328521785619,63.9133921411387,0,9.86367281475541,0,0,2.78000534616413,15.1296444800855,2657,63695,3741,997,15.0451354062187,23.8716148445336,1.5,38.9167502507523,26.8724124952954,73.1275875047046,79.6933278077082,91.6867147821438,NA,10.7,9.6,35.5,3.6,9.1,47.0444685466377,30.4229934924078,8.59612368137353,33.5384615384615,97,NA
"24033800109","Census Tract 8001.09; Prince George's County; Maryland",-76.8656838,39.09893889,4376,47.1892138939671,10.4890310786106,31.6956124314442,1.02833638025594,1.69104204753199,0,0.137111517367459,2.14808043875686,52.8107861060329,2758,37688,4343,1140,29.4736842105263,8.15789473684211,5.2,37.6315789473684,45.5765047135606,54.4234952864394,83.0601092896175,89.5109689213894,NA,10.6,12.2,35.3,5.3,16.9,48.3269961977186,49.277566539924,8.29066876838311,45.1737451737452,91,NA
"24033800203","Census Tract 8002.03; Prince George's County; Maryland",-76.89928911,39.10295111,4764,85.0965575146935,33.9210747271201,20.6339210747271,0,14.4206549118388,0,3.88329135180521,12.2376154492023,14.9034424853065,3408,67364,4724,1123,2.04808548530721,2.58236865538736,3.3,4.63045414069457,27.5528169014084,72.4471830985916,85.7831325301205,66.0789252728799,NA,9.8,10.4,30,5.7,7.9,61.9135802469136,96.358024691358,7.80128347457829,28.1475170399221,91,47.0652873310446
"24033800206","Census Tract 8002.06; Prince George's County; Maryland",-76.83109712,39.0479761,3813,87.411487018096,17.2305271439811,63.0736952530816,0,4.77314450563861,0,0.1835824809861,2.1505376344086,12.588512981904,3015,49957,3809,497,16.4989939637827,24.1448692152917,7.7,40.6438631790744,21.2603648424544,78.7396351575456,84.9613492621223,82.7694728560189,NA,10.7,9.3,35.1,4,8.1,46.7265353418308,50.6373117033604,7.71244323296164,42.4698795180723,89,73.8280270744548
"24033800209","Census Tract 8002.09; Prince George's County; Maryland",-76.85001563,39.08640265,4005,70.7365792759051,8.33957553058677,57.6529338327091,0,1.19850187265918,0,0.474406991260924,3.07116104868914,29.2634207240949,2405,36066,3817,1167,23.1362467866324,13.5389888603256,6.3,36.675235646958,40.3742203742204,59.6257796257796,93.1277533039648,91.6604244694132,NA,11.3,14.6,38.4,5.5,16.5,43.2893948472139,14.0802875973637,8.48837279557043,54.2662116040956,86,NA
"24033800210","Census Tract 8002.10; Prince George's County; Maryland",-76.85522098,39.07689444,3330,70.9009009009009,4.98498498498498,57.3273273273273,0,6.48648648648649,0,1.38138138138138,0.720720720720721,29.0990990990991,2233,37529,3323,965,4.04145077720207,25.9067357512953,4.6,29.9481865284974,48.9476041200179,51.0523958799821,87.5785403576607,95.015015015015,NA,11.7,13.6,37.7,5.3,13.3,46.4255677039529,21.7830109335576,8.37802994015336,58.9958158995816,100,NA
"24033800211","Census Tract 8002.11; Prince George's County; Maryland",-76.84051877,39.078438,2552,81.7006269592476,15.948275862069,60.1097178683385,0,2.46865203761755,0,1.84169278996865,1.33228840125392,18.2993730407524,1843,55250,2502,337,11.8694362017804,26.7062314540059,7.2,38.5756676557863,29.8426478567553,70.1573521432447,86.4781807006761,84.051724137931,NA,10.9,10.7,35.3,5.1,10.9,44.9579831932773,17.4942704354469,8.0992992899696,61.3718411552347,100,NA
"24033800212","Census Tract 8002.12; Prince George's County; Maryland",-76.8800099,39.07957978,7362,96.3325183374083,12.6596033686498,55.4876392284705,0.421081227927194,21.8962238522141,0,0,5.8679706601467,3.66748166259169,5410,57484,7189,1562,3.32906530089629,16.2612035851472,2.5,19.5902688860435,25.7301293900185,74.2698706099815,85.2823588205897,87.3403966313502,NA,10,8.8,30.5,4.1,8.4,51.6857962697274,47.8479196556671,7.85878464615872,31.6971727274199,41,37.3565346560542
"24033800213","Census Tract 8002.13; Prince George's County; Maryland",-76.86121717,39.08678354,3699,88.5644768856448,19.4376858610435,51.2300621789673,0,9.02946742362801,0,1.00027034333604,7.86699107866991,11.4355231143552,2568,63606,3699,835,13.4131736526946,20,11.9,33.4131736526946,26.0514018691589,73.9485981308411,91.7065390749601,80.5623141389565,NA,10,9.4,32.2,3.4,9.1,49.539312039312,63.6363636363636,8.4452496176196,32.6018808777429,96,NA
"24033800216","Census Tract 8002.16; Prince George's County; Maryland",-76.86527759,39.06168866,3812,87.9853095487933,16.7890870933893,51.2854144805876,0,15.7922350472193,0,0.865687303252886,3.25288562434418,12.0146904512067,3045,67265,3807,512,1.5625,13.0859375,5.2,14.6484375,25.0246305418719,74.9753694581281,90.2834008097166,83.2109129066107,NA,9.8,8,31.1,3.5,8.1,54.4027303754266,76.3139931740614,7.9265789853556,NA,94,30.9907080225101
"24033800217","Census Tract 8002.17; Prince George's County; Maryland",-76.84782244,39.05407474,4086,93.7591776798825,16.1037689672051,60.5726872246696,0,5.38423886441508,0,1.73764072442487,9.96084189916789,6.24082232011747,3141,53738,3990,608,3.45394736842105,22.6973684210526,6.2,26.1513157894737,28.8443170964661,71.1556829035339,71.930447125621,83.8962310327949,NA,10.2,9.5,34,4.2,8.9,48.521584861029,53.163808397398,7.9265789853556,NA,94,30.9907080225101
"24033800218","Census Tract 8002.18; Prince George's County; Maryland",-76.85919922,39.06934453,7312,72.3468271334792,6.89277899343545,61.4332603938731,0,2.01039387308534,0,0,2.01039387308534,27.6531728665208,4095,42424,7039,1962,43.0173292558614,16.0040774719674,7.4,59.0214067278288,36.0683760683761,63.9316239316239,86.0022396416573,93.1072210065646,NA,11.5,13.3,38.2,5.5,13.7,46.4853556485356,27.2384937238494,8.20154223194838,NA,100,1.13895216400911
"24033800401","Census Tract 8004.01; Prince George's County; Maryland",-76.72661093,38.99551328,2352,89.7534013605442,49.7448979591837,29.7619047619048,0,8.24829931972789,0,0,1.99829931972789,10.2465986394558,1846,71200,2290,354,0,0,7.8,0,29.5774647887324,70.4225352112676,85.239852398524,50.2551020408163,NA,9.9,10.2,30.4,5.3,7.2,65.3356481481482,98.6111111111111,7.72023629133485,19.8301874678993,94,62.6382306477093
"24033800402","Census Tract 8004.02; Prince George's County; Maryland",-76.74388196,38.98378486,5096,95.9576138147567,39.8351648351648,43.2299843014129,1.96232339089482,6.27943485086342,0,0.686813186813187,3.96389324960754,4.04238618524333,3798,47688,5052,1044,10.727969348659,13.5057471264368,1.9,24.2337164750958,30.8056872037915,69.1943127962085,81.8239192174187,60.1648351648352,NA,10,9.7,30.9,5,8.5,60.7704402515723,89.0461215932914,8.32953136416425,23.8219895287958,100,1.28022759601707
"24033800403","Census Tract 8004.03; Prince George's County; Maryland",-76.75084208,38.99821996,4136,89.28916827853,38.7814313346228,37.862669245648,0,3.04642166344294,0,0.94294003868472,8.65570599613153,10.71083172147,2665,62428,4104,1004,9.7609561752988,4.58167330677291,3.5,14.3426294820717,20,80,77.84,61.2185686653772,NA,9.8,7.9,31,4.2,7,64.12157153447,94.0696812453669,7.88607669860449,22.0472440944882,92,92.9133858267717
"24033800408","Census Tract 8004.08; Prince George's County; Maryland",-76.80930739,38.97418444,7502,82.4580111970141,11.8901626233005,53.425753132498,0,10.9037589976006,0.279925353239136,2.55931751532925,3.39909357504665,17.5419888029859,5074,59604,7481,1692,0,27.5413711583924,3.2,27.5413711583924,32.6369728025227,67.3630271974773,80.0750220653133,88.1098373766995,NA,10.8,10.6,34.9,5.3,9.5,51.1388523872098,93.1668856767411,7.67178435877396,19.206290924668,77,27.4929877018174
"24033800409","Census Tract 8004.09; Prince George's County; Maryland",-76.77387239,38.9838532,7047,88.6760323541933,24.3933588761175,51.3693770398751,0,2.85227756492124,0,3.34894281254434,6.71207606073506,11.3239676458067,4779,61656,7015,1501,5.52964690206529,1.59893404397069,3.1,7.12858094603598,22.3268466206319,77.6731533793681,83.9274141283215,75.6066411238825,NA,10.3,9.3,33.1,4.6,7,57.7497865072587,94.7053800170794,7.62745860859403,25.6637058356491,93.5,67.7459918264697
"24033800410","Census Tract 8004.10; Prince George's County; Maryland",-76.76856138,39.01361998,6681,92.0071845532106,17.6769944619069,62.7151624008382,0,3.93653644663972,0,2.03562340966921,5.64286783415656,7.9928154467894,3595,65567,5303,1310,1.90839694656489,4.50381679389313,5.7,6.41221374045802,17.663421418637,82.336578581363,69.830213321724,82.3230055380931,NA,10.7,7.9,30.5,3.9,6.9,56.4334085778781,95.3160270880361,7.7755164270914,20.569206343429,93.3333333333333,72.7299490407301
"24033800411","Census Tract 8004.11; Prince George's County; Maryland",-76.81357098,39.02182717,4510,89.3348115299335,22.3946784922395,52.7272727272727,0,8.15964523281596,0.133037694013304,4.83370288248337,1.08647450110865,10.6651884700665,3159,58698,4451,1021,5.9745347698335,11.1655239960823,3.2,17.1400587659158,28.1418170307059,71.8581829692941,83.8150289017341,77.6053215077605,NA,10.4,9.4,34,4.5,7.9,57.1381142098274,83.3997343957503,7.65066802148936,38.8888888888889,81,46.8250235183443
"24033800412","Census Tract 8004.12; Prince George's County; Maryland",-76.84334909,38.98391311,4787,65.9076665970336,10.8627532901609,43.2421140589096,0.66847712554836,10.0271568832254,0,0,1.10716523918947,34.0923334029664,3120,51982,4779,1378,17.7068214804064,18.7953555878084,4.4,36.5021770682148,45,55,83.4315169366716,89.1372467098391,NA,10.6,12.3,33.9,5.5,12.7,53.4789045151739,67.3575129533679,8.59853678394912,40.1639344262295,100,26.9865525672372
"24033800413","Census Tract 8004.13; Prince George's County; Maryland",-76.82885153,38.98616379,4252,91.8391345249294,2.49294449670743,72.6246472248354,0,8.81937911571026,0,0.376293508936971,7.52587017873942,8.16086547507055,2990,46809,4240,994,8.35010060362173,14.989939637827,7.6,23.3400402414487,27.5585284280936,72.4414715719064,83.1698113207547,97.5070555032926,NA,10.9,9,36.4,3.9,7.7,47.2089857045609,59.9046970728387,8.40802488038772,36.8078175895765,100,NA
"24033800504","Census Tract 8005.04; Prince George's County; Maryland",-76.71775419,38.97126436,4442,89.4642053129221,46.9158036920306,34.5790184601531,0,2.92660963529941,0,0.427735254389914,4.61503827104908,10.5357946870779,3291,60371,4409,861,3.60046457607433,4.64576074332172,3.9,8.24622531939605,29.2008508052264,70.7991491947736,85.0281425891182,53.0841963079694,NA,10.1,10.4,30.7,6.1,8,63.2994620442319,89.0615660490137,7.7918480215055,19.1489361702128,89,5.47210300429185
"24033800505","Census Tract 8005.05; Prince George's County; Maryland",-76.73064833,38.95810732,2569,84.1183339820942,42.9349941611522,30.3230829116388,0,2.10198520825224,0,0.233553912028026,8.52471778902297,15.8816660179058,1946,51829,2560,436,1.8348623853211,0,3.5,1.8348623853211,24.9743062692703,75.0256937307297,79.2346298619824,57.0650058388478,NA,9.7,8.9,30.1,4.3,7.1,63.7286324786325,94.6581196581197,8.06289099363562,20.8310125877242,85,5.47210300429185
"24033800507","Census Tract 8005.07; Prince George's County; Maryland",-76.70551234,38.8995756,3158,92.273590880304,22.7042431918936,67.5427485750475,0,0.918302723242559,0,0,1.10829639012033,7.72640911969601,2293,52232,3158,534,5.80524344569288,3.18352059925094,10.1,8.98876404494382,32.22852158744,67.77147841256,77.8285134449518,77.2957568081064,NA,10.7,9.3,34.1,4.2,6.9,49.6194824961948,60.958904109589,7.39832311028871,41.5178571428571,44,NA
"24033800511","Census Tract 8005.11; Prince George's County; Maryland",-76.72945945,38.91130381,5680,86.3204225352113,19.6830985915493,55.1584507042253,0,5.08802816901408,0,0.545774647887324,5.84507042253521,13.6795774647887,3906,60690,5641,1258,6.27980922098569,6.91573926868044,3.6,13.1955484896661,26.7793138760881,73.2206861239119,90.2240896358543,80.3169014084507,NA,10.8,9.7,34.1,5.1,7.7,50.4785894206549,82.8715365239295,8.37487858453455,23.8693467336683,100,100
"24033800513","Census Tract 8005.13; Prince George's County; Maryland",-76.75586397,38.95999407,7290,94.2661179698217,33.360768175583,51.358024691358,0,2.45541838134431,0,0.288065843621399,6.80384087791495,5.73388203017833,5046,82083,7193,1908,0,4.87421383647799,5.4,4.87421383647799,24.7324613555291,75.2675386444709,85.7208448117539,66.639231824417,NA,10.6,10.4,33.4,4.9,7.1,59.8588537211292,94.5252352437981,7.77731777064711,19.0909090909091,82,19.903988183161
