"GEOID","NAME","unw_centroid_long","unw_centroid_lat","Estimated Population","Percent Non-Hispanic","Percent Non-Hispanic White ","Percent Non-Hispanic Black ","Percent Non-Hispanic American Indian/Alaska Native ","Percent Non-Hispanic Asian ","Percent Non-Hispanic Native Hawaiian/Other Pacific Islander ","Percent Non-Hispanic Other ","Percent Non-Hispanic Two or More Races","Percent Hispanic ","Estimate Educated","Median Income ","Population Below Poverty Level","Population Income to Poverty Level","Percent Below 100% FPL","Percent Between 100% and 199% FPL","Unemployment Rate, 16 and Over","Percent Below 200% FPL","Percent High School or Less","Percent Some College or Greater","Labor Force Participation Rate ","Percent Non-White","Redlining (HOLC Grade)","Asthma Prevalence","Smoking Prevalence","Obesity Prevalence","COPD Prevalence","Lack of Health Care Access Prevalence","ICE, Nonwhite by Income ","ICE, Rent Versus Owned ","Particulate Matter ","Housing Stress","Percent Population Within Half a Mile to Parks","Percent Population With Access to Healthy Foods"
"24037875000","Census Tract 8750; St. Mary's County; Maryland",-76.69616475,38.45737364,6172,96.2248865845755,83.7167854828257,7.01555411535969,0,1.19896305897602,0,0,4.29358392741413,3.7751134154245,4093,65388,6172,1750,0.685714285714286,25.8857142857143,2.4,26.5714285714286,39.7507940386025,60.2492059613975,83.3694474539545,16.2832145171743,NA,10.7,13.2,34.7,6.3,7,72.7980535279805,94.647201946472,6.23276818087153,22.3325062034739,3,NA
"24037875100","Census Tract 8751; St. Mary's County; Maryland",-76.76523669,38.4666252,5582,94.7509853099248,79.9534217126478,10.7130060910068,0,0.662844858473665,0,0.680759584378359,2.74095306341813,5.24901469007524,3813,47177,5226,1311,15.4080854309687,7.85659801678108,4.4,23.2646834477498,43.8762129556779,56.1237870443221,75.4304635761589,20.0465782873522,NA,10.8,14,36.2,7.8,8,64.9653979238754,85.8131487889273,6.09684494417108,26.4367816091954,11,NA
"24037875201","Census Tract 8752.01; St. Mary's County; Maryland",-76.7394323,38.37711252,5611,97.8791659240777,92.4434147210836,3.60007128854037,0,0,0,0,1.83567991445375,2.1208340759223,3884,59973,5593,1331,0,1.35236664162284,4.9,1.35236664162284,43.3316168898043,56.6683831101957,84.1674249317561,7.55658527891641,NA,10.7,12.6,35.4,6.1,6.6,74.7686312713103,94.0574768631271,6.17522957582926,15.9090909090909,0,NA
"24037875202","Census Tract 8752.02; St. Mary's County; Maryland",-76.81269128,38.37135911,6220,98.3601286173633,87.3311897106109,3.37620578778135,0,0.707395498392283,0,0,6.94533762057878,1.63987138263666,3856,51817,6215,1654,5.01813784764208,18.3796856106409,4.3,23.397823458283,46.1099585062241,53.8900414937759,84.9559882635369,12.6688102893891,NA,11.1,13.6,36.9,6.5,7.7,70.0686947988224,95.7311089303239,6.39966805870334,26.0759493670886,0,0.118724559023066
"24037875300","Census Tract 8753; St. Mary's County; Maryland",-76.76094091,38.27726529,3264,99.1727941176471,74.5404411764706,23.8051470588235,0,0.214460784313726,0,0,0.612745098039216,0.827205882352941,2608,49643,3233,462,0,27.0562770562771,8.2,27.0562770562771,47.7377300613497,52.2622699386503,80.7339449541284,25.4595588235294,NA,11,14.4,36.5,7.7,7.8,64.4194756554307,87.6404494382022,6.23722932580663,16.8103448275862,8.5,NA
"24037875400","Census Tract 8754; St. Mary's County; Maryland",-76.65887682,38.26623913,7213,98.2947455982254,81.1035630112297,4.85234992374879,0,2.93913766809927,0,0,9.39969499514765,1.70525440177457,4945,66081,7202,1604,0,10.6608478802993,6.5,10.6608478802993,31.6885743174924,68.3114256825076,82.56735340729,18.8964369887703,NA,10.1,10.2,33.1,5.3,5.9,73.5338630344306,77.0336738554673,6.32151875537824,21.3836477987421,6.5,75.6714509023732
"24037875501","Census Tract 8755.01; St. Mary's County; Maryland",-76.58944705,38.29229803,7099,84.8429356247359,65.76982673616,9.95914917594027,0,4.0005634596422,0,0,5.11339625299338,15.1570643752641,4403,71250,7065,2322,11.9724375538329,10.5081826012059,1.2,22.4806201550388,26.1866908925732,73.8133091074267,84.2500670780789,34.23017326384,NA,10.2,10.3,34,4.5,6,68.4421534936999,81.9396716303933,6.24265634640553,NA,10,NA
"24037875502","Census Tract 8755.02; St. Mary's County; Maryland",-76.67137509,38.3361859,4475,93.9888268156425,81.5418994413408,7.64245810055866,0,3.06145251396648,0,0.491620111731844,1.25139664804469,6.01117318435754,2740,75123,4136,1178,0,0,1.1,0,37.007299270073,62.992700729927,71.7162872154116,18.4581005586592,NA,10.5,11.3,34.6,5.3,6.7,75.7236842105263,69.4736842105263,6.27914255552195,NA,10,NA
"24037875601","Census Tract 8756.01; St. Mary's County; Maryland",-76.6566181,38.37889916,1930,96.8911917098446,85.1813471502591,10.4145077720207,0,1.29533678756477,0,0,0,3.10880829015544,1311,40568,1914,510,5.68627450980392,18.0392156862745,0,23.7254901960784,51.1823035850496,48.8176964149504,75.1126126126126,14.8186528497409,NA,12.1,17.7,38.2,9.1,9.8,65.8519553072626,78.2122905027933,6.20617013728911,NA,10,NA
"24037875602","Census Tract 8756.02; St. Mary's County; Maryland",-76.58100863,38.33503851,7628,89.5516518091243,74.6067121132669,8.18038804404824,0.0262191924488726,2.674357629785,0,0,4.06397482957525,10.4483481908757,5228,52068,7628,1899,1.31648235913639,12.1116377040548,1.9,13.4281200631912,26.2241775057383,73.7758224942617,83.1200353045013,25.3932878867331,NA,11,13.3,35,5.9,7.2,71.1367673179396,60.1776198934281,6.20617013728911,NA,10,NA
"24037875700","Census Tract 8757; St. Mary's County; Maryland",-76.57656702,38.38221996,6974,95.9564095210783,84.5282477774591,8.07284198451391,0.129050759965586,0.415830226555779,0,0.860338399770576,1.95010037281331,4.04359047892171,4737,58333,6927,1511,11.5817339510258,0,5.4,11.5817339510258,46.8651044965168,53.1348955034832,79.7839135654262,15.4717522225409,NA,11.2,15.5,35.7,8.1,7.8,73.3063485300383,89.3907115466553,6.26146818705381,21.2809917355372,13,NA
"24037875803","Census Tract 8758.03; St. Mary's County; Maryland",-76.45412717,38.29483262,5555,87.5967596759676,67.5607560756076,10.6750675067507,1.04410441044104,1.31413141314131,0,0,7.002700270027,12.4032403240324,3670,59125,5403,1392,0,21.7672413793103,0.8,21.7672413793103,20.299727520436,79.700272479564,78.1509570241965,32.4392439243924,NA,10.3,10.9,33.7,5.2,6.8,67.253861003861,65.5405405405405,6.49893878698426,NA,3,58.4090835351482
