"GEOID","NAME","unw_centroid_long","unw_centroid_lat","Estimated Population","Percent Non-Hispanic","Percent Non-Hispanic White ","Percent Non-Hispanic Black ","Percent Non-Hispanic American Indian/Alaska Native ","Percent Non-Hispanic Asian ","Percent Non-Hispanic Native Hawaiian/Other Pacific Islander ","Percent Non-Hispanic Other ","Percent Non-Hispanic Two or More Races","Percent Hispanic ","Estimate Educated","Median Income ","Population Below Poverty Level","Population Income to Poverty Level","Percent Below 100% FPL","Percent Between 100% and 199% FPL","Unemployment Rate, 16 and Over","Percent Below 200% FPL","Percent High School or Less","Percent Some College or Greater","Labor Force Participation Rate ","Percent Non-White","Redlining (HOLC Grade)","Asthma Prevalence","Smoking Prevalence","Obesity Prevalence","COPD Prevalence","Lack of Health Care Access Prevalence","ICE, Nonwhite by Income ","ICE, Rent Versus Owned ","Particulate Matter ","Housing Stress","Percent Population Within Half a Mile to Parks","Percent Population With Access to Healthy Foods"
"24043000100","Census Tract 1; Washington County; Maryland",-77.69993313,39.6554937,3939,92.6631124650927,72.7341964965727,12.0842853516121,0,1.26935770500127,0,1.75171363290175,4.82355927900482,7.33688753490734,2773,37093,3931,747,14.9933065595716,12.3159303882195,10,27.3092369477912,35.1965380454382,64.8034619545619,78.4534836890858,27.2658035034273,NA,12.6,14.9,43.3,7.7,8.8,52.0145495243425,61.8914381645215,8.30805272596694,27.7008310249307,73,0.978535353535354
"24043000200","Census Tract 2; Washington County; Maryland",-77.71898725,39.661345,4206,89.1583452211127,72.2301474084641,9.12981455064194,0,1.33143128863528,0,0.21398002853067,6.2529719448407,10.8416547788873,3007,37560,4107,787,4.44726810673443,9.02160101651842,4.7,13.4688691232529,38.3438643165946,61.6561356834054,84.8401105408606,27.7698525915359,NA,11.9,12.5,39.9,6.9,8.2,56.3547082611207,78.5673021374928,8.20384369741058,18.3333333333333,99,1.5601409159537
"24043000301","Census Tract 3.01; Washington County; Maryland",-77.73746113,39.65624455,3421,87.3428821981877,61.7363344051447,19.0002923121894,0,2.01695410698626,0,0.175387313650979,4.41391406021631,12.6571178018123,2286,38107,3356,741,11.0661268556005,40.8906882591093,5.1,51.9568151147099,53.4558180227472,46.5441819772528,81.5317498788173,38.2636655948553,NA,13.3,19.6,45.7,10.5,11,50.4175365344468,60.4036186499652,8.18928132080531,40,82,5.18301610541728
"24043000302","Census Tract 3.02; Washington County; Maryland",-77.72778189,39.64950613,2810,90,66.9395017793594,11.2099644128114,0,0,0,0.284697508896797,11.5658362989324,10,1720,23331,2810,914,24.72647702407,37.855579868709,11.6,62.582056892779,63.6627906976744,36.3372093023256,72.8737113402062,33.0604982206406,NA,14.9,27.5,50.2,12.6,16.9,48.1776765375854,41.3439635535307,8.53347753386671,39.5939086294416,99,0.0364697301239971
"24043000400","Census Tract 4; Washington County; Maryland",-77.72082862,39.64662446,1607,96.3285625388923,39.576851275669,42.5015556938395,0.311138767890479,0,0,0,13.9390168014935,3.67143746110765,1157,22348,1598,309,22.6537216828479,75.7281553398058,5.5,98.3818770226537,57.1305099394987,42.8694900605013,67.8090575275398,60.4231487243311,NA,15.4,25.9,53.5,13.4,14.9,35.9774820880246,14.2272262026612,8.55771063918022,38.0434782608696,100,NA
"24043000500","Census Tract 5; Washington County; Maryland",-77.70437118,39.64642094,6263,83.0113364202459,53.009739741338,18.9525786364362,0.12773431262973,1.45297780616318,0,0,9.46830592367875,16.9886635797541,3998,26022,6263,1778,44.8256467941507,22.8346456692913,9.9,67.6602924634421,58.9294647323662,41.0705352676338,69.1261119832548,46.990260258662,NA,14.3,23.1,50.6,10.9,14.6,48.3634311512415,30.6621519939804,8.45100647332795,46.8690702087287,100,1.78181818181818
"24043000601","Census Tract 6.01; Washington County; Maryland",-77.6997389,39.63835581,2582,89.1169635941131,62.1998450813323,18.1254841208366,0,3.64058869093726,0,0,5.15104570100697,10.8830364058869,1636,31083,2328,718,22.4233983286908,45.6824512534819,11.2,68.1058495821727,49.4498777506113,50.5501222493887,72.7007299270073,37.8001549186677,NA,13.3,18.9,45.4,10.1,15,50.1970443349754,29.8522167487685,8.27660280324683,50.2564102564103,54,0.16597510373444
"24043000602","Census Tract 6.02; Washington County; Maryland",-77.71609895,39.61890791,3155,92.5198098256735,76.5768621236133,9.54041204437401,0.063391442155309,0.253565768621236,0,0,6.08557844690967,7.48019017432647,2576,40523,3030,320,0,23.75,14.6,23.75,45.7298136645963,54.2701863354037,85.4469854469855,23.4231378763867,NA,12.2,13.8,41,10.3,10,53.8554948391014,60.8986035215543,8.29394759951148,25.8823529411765,78,2.12628865979381
"24043000700","Census Tract 7; Washington County; Maryland",-77.72043964,39.63152304,3291,91.79580674567,37.5569735642662,42.2060164083865,0,1.42813734427226,0,0,10.6046794287451,8.20419325432999,2229,29029,3128,804,62.4378109452736,20.1492537313433,8.8,82.5870646766169,66.3077613279497,33.6922386720502,72.8283898305085,62.4430264357338,NA,14.7,25.1,50.6,13.8,15.5,42.0234806629834,28.0386740331492,8.68169662678326,54.9645390070922,97,NA
"24043000800","Census Tract 8; Washington County; Maryland",-77.72815478,39.63217717,3750,93.5733333333333,65.6266666666667,17.9733333333333,0,0.64,0,0,9.33333333333333,6.42666666666667,2579,22804,3733,699,57.5107296137339,18.5979971387697,9.3,76.1087267525036,57.5029081039162,42.4970918960838,65.7348581109699,34.3733333333333,NA,14.4,24.8,50.7,12.8,15.1,47.0268724985706,34.190966266438,8.66084794251479,44.8648648648649,100,NA
