"GEOID","NAME","unw_centroid_long","unw_centroid_lat","Estimated Population","Percent Non-Hispanic","Percent Non-Hispanic White ","Percent Non-Hispanic Black ","Percent Non-Hispanic American Indian/Alaska Native ","Percent Non-Hispanic Asian ","Percent Non-Hispanic Native Hawaiian/Other Pacific Islander ","Percent Non-Hispanic Other ","Percent Non-Hispanic Two or More Races","Percent Hispanic ","Estimate Educated","Median Income ","Population Below Poverty Level","Population Income to Poverty Level","Percent Below 100% FPL","Percent Between 100% and 199% FPL","Unemployment Rate, 16 and Over","Percent Below 200% FPL","Percent High School or Less","Percent Some College or Greater","Labor Force Participation Rate ","Percent Non-White","Redlining (HOLC Grade)","Asthma Prevalence","Smoking Prevalence","Obesity Prevalence","COPD Prevalence","Lack of Health Care Access Prevalence","ICE, Nonwhite by Income ","ICE, Rent Versus Owned ","Particulate Matter ","Housing Stress","Percent Population Within Half a Mile to Parks","Percent Population With Access to Healthy Foods"
"24045000100","Census Tract 1; Wicomico County; Maryland",-75.58326181,38.37225465,5605,89.5272078501338,18.3407671721677,67.3327386262266,0,0,0,0,3.85370205173952,10.4727921498662,3428,31169,5327,1340,28.6567164179104,51.7910447761194,5.7,80.4477611940299,53.2380396732789,46.7619603267211,81.021021021021,81.6592328278323,NA,13.1,19.9,42.4,8.4,13.2,45.0289575289575,32.9633204633205,7.43445468471078,33.3110360879867,51,67.3114124391688
"24045000200","Census Tract 2; Wicomico County; Maryland",-75.59646933,38.37323652,1809,94.3062465450525,64.6213377556661,23.1619679380873,0,0.939745715865119,0,0,5.58319513543394,5.69375345494748,1282,37557,1809,281,12.8113879003559,61.5658362989324,5.4,74.3772241992883,43.2917316692668,56.7082683307332,69.1069991954948,35.3786622443339,NA,12.1,15.7,38.3,6.9,10.7,56.8331143232589,37.8449408672799,7.95651405880443,31.9444444444444,91,16.0780179230364
"24045000300","Census Tract 3; Wicomico County; Maryland",-75.60834079,38.36908473,1267,93.3701657458564,4.89344909234412,86.0299921073402,0.236779794790845,0,0,1.81531176006314,0.394632991318074,6.62983425414365,659,26219,1267,505,46.7326732673267,42.970297029703,8.4,89.7029702970297,81.3353566009105,18.6646433990895,71.2369597615499,95.1065509076559,NA,15.2,31,52.8,13,19.9,36.87374749499,3.00601202404809,7.81550914615655,56.3106796116505,65,NA
"24045000400","Census Tract 4; Wicomico County; Maryland",-75.60803658,38.35551007,3494,98.712077847739,69.7195191757298,21.1791642816256,0,0.171722953634803,0,1.45964510589582,6.18202633085289,1.28792215226102,2080,25109,3391,601,14.9750415973378,21.7970049916805,5.9,36.7720465890183,28.75,71.25,77.7730736663844,30.2804808242702,NA,12.3,15.9,37.6,7.2,9.7,54.6374918354017,33.3768778576094,7.20014233901146,36.2603788271925,23.5,15.1227213700378
"24045000500","Census Tract 5; Wicomico County; Maryland",-75.59178841,38.35683657,2698,79.3550778354336,34.2475908080059,42.4759080800593,0.481838398813936,0,0,0,2.14974054855448,20.6449221645663,1481,24797,2698,773,28.0724450194049,45.2781371280724,15.7,73.3505821474774,57.0560432140446,42.9439567859554,82.2952710495963,65.7524091919941,NA,12.8,19.8,42.4,7.8,14.9,48.3963344788087,38.0297823596793,7.86945933434781,55.1401869158878,60,NA
"24045010101","Census Tract 101.01; Wicomico County; Maryland",-75.56765724,38.38606238,6843,96.7265819085197,58.2200789127576,24.258366213649,0,4.7786058746164,0,0,9.46953090749671,3.27341809148035,4633,40789,6750,1574,13.5959339263024,32.1473951715375,4.8,45.7433290978399,40.8374703216059,59.1625296783941,79.2972699696663,41.7799210872424,NA,12,15.9,36.7,7.2,8.8,56.0278490289483,47.3799926713082,7.126922206119,30.6417008263346,46.6666666666667,67.3114124391688
"24045010102","Census Tract 101.02; Wicomico County; Maryland",-75.55654769,38.35745057,3144,98.0916030534351,53.9440203562341,29.8346055979644,0,7.44274809160305,0,0,6.87022900763359,1.90839694656489,2194,44592,3122,609,9.35960591133005,33.1691297208539,5.3,42.5287356321839,33.59161349134,66.40838650866,86.9284561592254,46.0559796437659,NA,11.1,11.9,33.4,6.6,7.8,56.0939794419971,64.2437591776799,6.82091086378628,29.0076335877863,22,23.4965902045877
"24045010200","Census Tract 102; Wicomico County; Maryland",-75.61555906,38.40089772,5800,95,15.7758620689655,75.7758620689655,0,0,0,1.91379310344828,1.53448275862069,5,3946,25283,5660,1409,14.194464158978,48.4740951029099,7.9,62.6685592618879,67.3846933603649,32.6153066396351,69.0095846645367,84.2241379310345,NA,13.7,20.9,46.2,10.3,14.2,44.0995065789474,40.3371710526316,6.78801379920449,40.8203125,47,50.1953760989906
"24045010300","Census Tract 103; Wicomico County; Maryland",-75.6495473,38.37090328,8678,93.7082277022355,65.7755243143582,20.8227702235538,0,4.54021663977875,0,0,2.56971652454483,6.29177229776446,5498,47957,8532,2414,31.7315658657829,7.53935376967689,2.1,39.2709196354598,29.8835940341943,70.1164059658058,87.7106268254325,34.2244756856419,NA,11.1,13.5,34,6.9,6.6,63.0360999691453,75.4088244369022,6.76831803105404,28.4603421461897,23,83.2713277742142
"24045010400","Census Tract 104; Wicomico County; Maryland",-75.63743685,38.32628939,7953,88.6583679114799,63.5106249214133,19.1248585439457,0.138312586445367,3.11832013076826,0,0,2.76625172890733,11.3416320885201,4113,29379,6200,1670,0,33.8922155688623,11.3,33.8922155688623,26.4283977631899,73.5716022368101,68.1538461538462,36.4893750785867,NA,11.5,11.7,30.7,5.9,7.8,62.9317434210526,67.0230263157895,6.52222441614464,25.2569184940385,28.3333333333333,58.5898064560838
"24045010501","Census Tract 105.01; Wicomico County; Maryland",-75.60635093,38.31927927,5484,95.9518599562363,59.5003646973012,26.7687819110139,0.309992706053975,4.50401167031364,0,0,4.86870897155361,4.04814004376368,3244,33472,5469,1212,19.2244224422442,20.7920792079208,3.2,40.016501650165,37.7928483353884,62.2071516646116,69.7837686043246,40.4996353026988,NA,11.1,13.8,34,6.4,8,53.9669861554846,79.9254526091587,6.58770278019609,25.4364089775561,26,46.5007776049767
"24045010503","Census Tract 105.03; Wicomico County; Maryland",-75.58784366,38.33884819,4333,97.1613201015463,54.7195938149088,35.4488806831295,0.161550888529887,0,0,0,6.83129471497808,2.83867989845373,1290,10365,3521,698,3.58166189111748,31.8051575931232,20,35.3868194842407,56.8992248062016,43.1007751937985,66.2643331321666,45.2804061850912,NA,14.2,19.3,38.8,7.3,13.1,50.8977900552486,5.52486187845304,7.00686559877986,NA,13,15.1098591549296
"24045010504","Census Tract 105.04; Wicomico County; Maryland",-75.57156262,38.34602201,4710,88.4713375796178,45.9660297239915,23.0785562632696,0,9.00212314225053,0,0,10.4246284501062,11.5286624203822,3047,34307,4695,775,20.7741935483871,33.8064516129032,4.8,54.5806451612903,56.4161470298654,43.5838529701346,76.536312849162,54.0339702760085,NA,12.1,15.5,36.9,8.1,10.2,51.9069767441861,30.8372093023256,7.00686559877986,NA,13,15.1098591549296
"24045010603","Census Tract 106.03; Wicomico County; Maryland",-75.51322844,38.42185077,9304,91.4982803095443,66.487532244196,17.2936371453138,0,1.6981943250215,0,0,6.0189165950129,8.50171969045572,6238,40802,9304,1634,12.6070991432069,30.4773561811506,9.3,43.0844553243574,41.1029176017954,58.8970823982045,85.1722495634228,33.512467755804,NA,11.2,14.8,33.6,7,9,55.5555555555556,54.0598290598291,6.51185724893543,25.3030303030303,38,NA
"24045010604","Census Tract 106.04; Wicomico County; Maryland",-75.40371154,38.41366384,5341,88.2606253510579,79.7790675903389,3.01441677588467,0.018723085564501,0.617861823628534,0,0,4.83055607564127,11.7393746489421,3656,40742,5259,1261,28.6280729579699,12.9262490087232,4.1,41.5543219666931,56.4277899343545,43.5722100656455,82.641252552757,20.2209324096611,NA,12,20.5,36.4,9.9,10.3,53.5233393177738,77.1095152603232,6.19582064887736,25.1781472684086,30,NA
"24045010605","Census Tract 106.05; Wicomico County; Maryland",-75.54718179,38.30145476,4384,97.6049270072993,81.4324817518248,11.2454379562044,0.0684306569343066,1.73357664233577,0.273722627737226,0,2.85127737226277,2.39507299270073,2802,52903,4382,1261,2.45836637589215,22.9183187946075,4.3,25.3766851704996,29.5860099928622,70.4139900071378,82.9132849209739,18.5675182481752,NA,10.4,10.2,31,5.9,5.7,66.8249660786974,95.8616010854817,6.36849687998713,17.1428571428571,53,100
"24045010606","Census Tract 106.06; Wicomico County; Maryland",-75.42474996,38.34176972,4007,97.704017968555,86.3239331170452,2.79510856001996,0,1.59720489143998,0,0,6.98777140004991,2.29598203144497,2906,40651,3987,681,8.37004405286344,8.37004405286344,4,16.7400881057269,51.1699931176875,48.8300068823125,81.407249466951,13.6760668829548,NA,11.1,15.7,33.3,7.9,8.4,60.2160493827161,91.1111111111111,6.19002454460747,17.4698795180723,40,NA
"24045010701","Census Tract 107.01; Wicomico County; Maryland",-75.76174641,38.46218352,4335,95.524798154556,72.2952710495963,19.0311418685121,0.0692041522491349,0.853517877739331,0.346020761245675,0,2.92964244521338,4.47520184544406,2931,42806,4328,881,1.58910329171396,37.3439273552781,3.4,38.9330306469921,49.6758785397475,50.3241214602525,80.1284472988289,27.7047289504037,NA,11.4,16.2,35.3,7.8,7.7,58.0329871716555,84.6670739156994,6.70901823985987,17.2839506172839,57,NA
"24045010703","Census Tract 107.03; Wicomico County; Maryland",-75.57922511,38.43437167,4560,88.9912280701754,55.3070175438597,21.4473684210526,0.175438596491228,8.37719298245614,0,0.43859649122807,3.24561403508772,11.0087719298246,3314,31280,4296,804,10.5721393034826,13.9303482587065,0.4,24.5024875621891,45.4435727217864,54.5564272782136,74.6703678001388,44.6929824561403,NA,11.9,17.8,36.9,7.7,10.4,54.0659340659341,78.3516483516484,6.6553248443625,NA,23,NA
"24045010704","Census Tract 107.04; Wicomico County; Maryland",-75.65784218,38.42875025,4695,97.0394036208733,68.5623003194888,24.7923322683706,0,0.255591054313099,0,0.489882854100107,2.93929712460064,2.96059637912673,2935,45705,4690,1066,8.44277673545966,9.56848030018762,4.9,18.0112570356473,44.0545144804089,55.9454855195911,90.726096333573,31.4376996805112,NA,11.9,17,36.5,8.2,8.1,59.51821386604,80.4347826086957,6.6553248443625,NA,23,NA
"24045010800","Census Tract 108; Wicomico County; Maryland",-75.7825129,38.32658207,5673,91.6446324695928,77.8776661378459,6.41635818790763,0,0.881367882954345,0,0,6.46924026088489,8.35536753040719,4319,42955,5580,948,4.85232067510549,32.3839662447257,6.6,37.2362869198312,40.8890946978467,59.1109053021533,82.2627975220085,22.1223338621541,NA,11.1,14.2,33.9,7.8,7.5,64.8479800083299,91.0453977509371,6.31519751999231,23.2067510548523,59,18.772504091653
