"GEOID","NAME","unw_centroid_long","unw_centroid_lat","Estimated Population","Percent Non-Hispanic","Percent Non-Hispanic White ","Percent Non-Hispanic Black ","Percent Non-Hispanic American Indian/Alaska Native ","Percent Non-Hispanic Asian ","Percent Non-Hispanic Native Hawaiian/Other Pacific Islander ","Percent Non-Hispanic Other ","Percent Non-Hispanic Two or More Races","Percent Hispanic ","Estimate Educated","Median Income ","Population Below Poverty Level","Population Income to Poverty Level","Percent Below 100% FPL","Percent Between 100% and 199% FPL","Unemployment Rate, 16 and Over","Percent Below 200% FPL","Percent High School or Less","Percent Some College or Greater","Labor Force Participation Rate ","Percent Non-White","Redlining (HOLC Grade)","Asthma Prevalence","Smoking Prevalence","Obesity Prevalence","COPD Prevalence","Lack of Health Care Access Prevalence","ICE, Nonwhite by Income ","ICE, Rent Versus Owned ","Particulate Matter ","Housing Stress","Percent Population Within Half a Mile to Parks","Percent Population With Access to Healthy Foods"
"24047950000","Census Tract 9500; Worcester County; Maryland",-75.08589448,38.34862927,1919,77.3319437206879,74.2574257425743,0.833767587285044,0,1.56331422615946,0,0,0.677436164669099,22.6680562793121,1278,35528,1903,226,40.2654867256637,42.9203539823009,7.6,83.1858407079646,42.4100156494523,57.5899843505477,84.7144006436042,25.7425742574257,NA,11.1,16.8,37.6,8.9,9.5,57.4252136752137,48.6111111111111,6.60494291854644,44.311377245509,85,49.375
"24047950100","Census Tract 9501; Worcester County; Maryland",-75.07867813,38.39131371,2035,93.3169533169533,86.4864864864865,1.37592137592138,0.835380835380835,1.27764127764128,0,3.34152334152334,0,6.68304668304668,1722,54616,2013,136,46.3235294117647,29.4117647058824,5.3,75.7352941176471,22.6480836236934,77.3519163763066,84.954954954955,13.5135135135135,NA,10.6,12.3,35.4,8.1,6.1,64.929107589658,79.7331109257715,6.43213941205545,33.0578512396694,45,NA
"24047950300","Census Tract 9503; Worcester County; Maryland",-75.06558034,38.43450712,3080,99.2532467532467,93.8311688311688,0,0,0.779220779220779,0,1.13636363636364,3.50649350649351,0.746753246753247,2701,47961,3080,227,0,36.5638766519824,5,36.5638766519824,32.3954091077379,67.6045908922621,80.296200901481,6.16883116883117,NA,10.9,13.9,33.8,9.8,6.8,58.96,83.68,6.5129162697691,36.0205314009662,47,54.6393972994161
"24047950400","Census Tract 9504; Worcester County; Maryland",-75.11813458,38.35357314,3376,94.0165876777251,86.4632701421801,0.266587677725118,0,0.0592417061611374,0,4.17654028436019,3.05094786729858,5.98341232227488,2459,41513,3348,682,9.2375366568915,17.5953079178886,10.1,26.8328445747801,34.7702318015453,65.2297681984547,81.7134268537074,13.5367298578199,NA,10.2,11.7,33,6.4,5.6,64.7505422993492,72.6681127982646,6.46138698650596,23.1075697211155,29,52.1008403361345
"24047950600","Census Tract 9506; Worcester County; Maryland",-75.14719977,38.39241727,2922,99.2470910335387,95.6536618754278,0.889801505817933,0.136892539356605,0,0,0,2.56673511293634,0.752908966461328,2438,50804,2922,298,3.35570469798658,28.1879194630872,8.1,31.5436241610738,26.7432321575062,73.2567678424939,75.3480753480754,4.34633812457221,NA,9.9,10.6,32,7,5.2,67.5246025738077,88.7206661619985,6.27006214598246,23.4657039711191,25,58.7254901960784
"24047950700","Census Tract 9507; Worcester County; Maryland",-75.17925111,38.39871378,2574,95.7264957264957,89.5493395493395,4.62315462315462,0,0,0,1.55400155400155,0,4.27350427350427,2106,37361,2574,394,0,24.8730964467005,1.7,24.8730964467005,36.372269705603,63.627730294397,80.6148590947908,10.4506604506605,NA,10.3,11.6,33.1,8.2,6.4,62.0253164556962,82.5316455696203,6.31222728067464,30.3738317757009,36,NA
"24047950800","Census Tract 9508; Worcester County; Maryland",-75.23686035,38.38932363,5149,98.757040201981,88.9104680520489,4.60283550203923,0,0.0194212468440474,0,0,5.22431540104875,1.24295979801903,4211,43897,5149,662,6.94864048338369,12.2356495468278,3.2,19.1842900302115,32.5813345998575,67.4186654001425,80.4837640821736,11.0895319479511,NA,10.7,13.6,34.7,7.2,7.1,64.7717484926787,85.0129198966408,6.25188897339652,28.9855072463768,23,91.8835304822566
"24047950900","Census Tract 9509; Worcester County; Maryland",-75.1965513,38.30885813,2244,97.1033868092692,72.9946524064171,19.7860962566845,0.089126559714795,0.35650623885918,0,0,3.87700534759358,2.89661319073084,1671,41919,2233,429,8.15850815850816,13.7529137529138,8.7,21.9114219114219,41.2926391382406,58.7073608617594,85.1118760757315,27.0053475935829,NA,11.1,14.2,35.8,8.2,8.4,60.7692307692308,80.1098901098901,6.21518231970942,29.2397660818713,3,NA
"24047951000","Census Tract 9510; Worcester County; Maryland",-75.20819315,38.32144967,5186,94.0416505977632,65.001928268415,22.4257616660239,0,0.694176629386811,0,0.385653682992673,5.53413035094485,5.95834940223679,3473,31299,4999,1317,7.44115413819286,24.2217160212604,2.3,31.6628701594533,46.8471062482004,53.1528937517996,80.3976281827694,34.998071731585,NA,11.6,15.8,38.3,7.6,9.1,57.1851453175457,55.4897739504844,6.18449895800153,41.1594202898551,43,36.3016810540663
"24047951101","Census Tract 9511.01; Worcester County; Maryland",-75.14622323,38.36697151,3347,95.7872721840454,84.1051688078877,1.91216014341201,0,5.01942037645653,0,0,4.75052285628921,4.21272781595459,2833,57007,3293,486,9.87654320987654,16.6666666666667,8.7,26.5432098765432,26.6854924108719,73.3145075891281,70.2616464582004,15.8948311921123,NA,10.1,11.4,32.6,8.4,6.3,63.6506935687264,91.5510718789407,6.34894536257237,NA,23,50.7361963190184
"24047951102","Census Tract 9511.02; Worcester County; Maryland",-75.13597882,38.38176594,3414,96.1628588166374,87.4340949033392,0.73227885178676,0.0292911540714704,5.7410661980082,0,0,2.22612770943175,3.83714118336262,2936,42137,3378,319,0,24.7648902821317,2.5,24.7648902821317,29.8365122615804,70.1634877384196,68.9069423929099,12.5659050966608,NA,9.9,9.5,31.6,7.6,5.8,62.3522458628842,90.7801418439716,6.34894536257237,NA,23,50.7361963190184
"24047951200","Census Tract 9512; Worcester County; Maryland",-75.35157533,38.20041785,3139,97.5469894870978,81.8413507486461,7.96431984708506,0,0,0,0,7.74131889136668,2.4530105129022,2191,50074,3131,666,15.3153153153153,18.018018018018,4.2,33.3333333333333,39.5709721588316,60.4290278411684,82.2979659153381,18.1586492513539,NA,11,13.7,36.3,7.4,6.8,64.1703377386197,80.3230543318649,6.09559781962834,36.6298698835401,50,NA
"24047951300","Census Tract 9513; Worcester County; Maryland",-75.40003197,38.16393602,2959,95.5390334572491,60.865157147685,31.5309226089895,0,1.82494085839811,0,0.0675904021628929,1.25042244001352,4.46096654275093,1846,28030,2705,751,19.4407456724368,17.1770972037284,12,36.6178428761651,52.7085590465872,47.2914409534128,79.4838709677419,39.134842852315,NA,11.7,16.3,40.1,8.2,10.2,50.9030418250951,63.8783269961977,6.09559781962834,36.6298698835401,50,NA
"24047951400","Census Tract 9514; Worcester County; Maryland",-75.48873551,38.13488748,3387,97.4608798346619,68.4676705048716,23.8854443460289,0,2.65721877767936,0,0,2.45054620608208,2.53912016533806,2365,33574,3359,653,10.4134762633997,20.52067381317,8.5,30.9341500765697,54.8414376321353,45.1585623678647,81.2026275896918,31.5323294951284,NA,11.5,16.7,37.9,9.7,8.7,58.7460063897764,80.111821086262,6.21982613349081,27.5303643724696,67,NA
"24047951500","Census Tract 9515; Worcester County; Maryland",-75.58972435,38.03737003,4924,99.0454914703493,52.1933387489846,38.8099106417547,0,1.21852152721365,0,0,6.82372055239643,0.95450852965069,3356,34974,4863,990,4.54545454545455,47.4747474747475,10,52.020202020202,40.3754469606675,59.6245530393325,80.3632625085675,47.8066612510154,NA,12.6,17,41.5,8.6,9.6,50.6628787878788,59.8011363636364,6.29384273622312,37.712895377129,62,17.6328014542517
"24047951700","Census Tract 9517; Worcester County; Maryland",-75.154957,38.27362204,3624,96.9646799116998,84.878587196468,10.0717439293598,0,0.745033112582781,0,0,1.26931567328918,3.03532008830022,2930,43874,3624,477,11.3207547169811,11.7400419287212,7,23.0607966457023,30.6484641638225,69.3515358361775,77.8913144449605,15.121412803532,NA,10.5,12.1,33.7,7.1,6.3,68.9113355780022,78.395061728395,6.26763893457753,28.3489096573209,25,0
"24047980000","Census Tract 9800; Worcester County; Maryland",-75.24105179,38.12584612,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.26428465574378,28.3489096573209,32,0
