"GEOID","NAME","unw_centroid_long","unw_centroid_lat","Estimated Population","Percent Non-Hispanic","Percent Non-Hispanic White ","Percent Non-Hispanic Black ","Percent Non-Hispanic American Indian/Alaska Native ","Percent Non-Hispanic Asian ","Percent Non-Hispanic Native Hawaiian/Other Pacific Islander ","Percent Non-Hispanic Other ","Percent Non-Hispanic Two or More Races","Percent Hispanic ","Estimate Educated","Median Income ","Population Below Poverty Level","Population Income to Poverty Level","Percent Below 100% FPL","Percent Between 100% and 199% FPL","Unemployment Rate, 16 and Over","Percent Below 200% FPL","Percent High School or Less","Percent Some College or Greater","Labor Force Participation Rate ","Percent Non-White","Redlining (HOLC Grade)","Asthma Prevalence","Smoking Prevalence","Obesity Prevalence","COPD Prevalence","Lack of Health Care Access Prevalence","ICE, Nonwhite by Income ","ICE, Rent Versus Owned ","Particulate Matter ","Housing Stress","Percent Population Within Half a Mile to Parks","Percent Population With Access to Healthy Foods"
"51001090101","Census Tract 901.01; Accomack County; Virginia",-75.35200077,37.95918792,1864,96.7811158798283,94.3133047210301,0,0,0,0,0,2.46781115879828,3.21888412017167,1539,41736,1864,242,0,6.61157024793388,8.4,6.61157024793388,28.8499025341131,71.1500974658869,78.101402373247,5.68669527896996,NA,10.2,13.9,36.9,10.4,5.8,62.1085594989562,85.3862212943633,6.12667992444225,NA,33,NA
"51001090102","Census Tract 901.02; Accomack County; Virginia",-75.39103266,37.91396651,1436,99.6518105849582,91.6434540389972,0,0,0,0,0,8.008356545961,0.348189415041783,1058,28002,1431,172,21.5116279069767,29.0697674418605,8.1,50.5813953488372,43.0056710775047,56.9943289224953,65.7620041753653,8.35654596100279,NA,10.6,18.3,40.3,12.6,7.1,52.7308192457737,60.9882964889467,6.12667992444225,NA,33,NA
"51001090201","Census Tract 902.01; Accomack County; Virginia",-75.4449852,37.97850504,3307,92.9241003931055,81.4635621409132,6.71303296038706,0,3.84033867553674,0,0,0.907166616268521,7.07589960689447,2661,36012,3199,500,0,0,5.9,0,38.8951521984216,61.1048478015784,75.0449910017996,18.5364378590868,NA,10.4,15.3,39.3,9.6,7.7,52.3391812865497,81.9363222871995,6.07625314500366,NA,2,NA
"51001090202","Census Tract 902.02; Accomack County; Virginia",-75.55165239,37.93723166,2551,97.7263818110545,45.1979615836927,49.1963935711486,0,1.99921599372795,0,0,1.3328106624853,2.27361818894551,1909,21729,2514,440,66.1363636363636,0,3.7,66.1363636363636,59.2980618124673,40.7019381875327,73.6047275114905,54.8020384163073,NA,11.7,20.9,45.6,11,9.9,49.3832599118943,67.7533039647577,6.07625314500366,NA,2,NA
"51001090300","Census Tract 903; Accomack County; Virginia",-75.63937004,37.888845,1920,83.8541666666667,58.1770833333333,20.2604166666667,0,0,0,0,5.41666666666667,16.1458333333333,1411,28750,1920,356,26.9662921348315,34.5505617977528,3.8,61.5168539325843,67.5407512402551,32.4592487597449,60.1516427969671,41.8229166666667,NA,11.4,21.8,44.3,11.8,12,50.3911342894394,80.7040417209909,6.06478503198356,19.8830409356725,1,NA
"51001090401","Census Tract 904.01; Accomack County; Virginia",-75.56517315,37.81833815,3066,98.5649054142205,58.6105675146771,31.2785388127854,0,1.59817351598174,0,0.424005218525766,6.65362035225049,1.43509458577952,2091,33517,3066,807,5.57620817843866,42.7509293680297,0.6,48.3271375464684,63.7972262075562,36.2027737924438,75.7340720221607,41.3894324853229,NA,11.3,18.8,44.2,9,14.4,46.0339943342776,79.6978281397545,6.1852442307474,NA,60,NA
"51001090402","Census Tract 904.02; Accomack County; Virginia",-75.62063279,37.70859379,4288,62.8264925373134,25.3964552238806,36.5904850746269,0,0.139925373134328,0,0.419776119402985,0.279850746268657,37.1735074626866,2757,29673,4043,1301,37.0484242890085,45.4265949269792,3.1,82.4750192159877,69.3507435618426,30.6492564381574,79.651795429815,74.6035447761194,NA,12.2,23.4,48,13.3,18.6,45.9119496855346,51.6352201257862,6.1852442307474,NA,20,NA
"51001090500","Census Tract 905; Accomack County; Virginia",-75.67899255,37.78473206,2280,90.9649122807018,65.7017543859649,22.280701754386,0,0.350877192982456,0,0,2.63157894736842,9.03508771929825,1500,28822,2280,458,23.7991266375546,41.9213973799127,4.9,65.7205240174673,60.5333333333333,39.4666666666667,77.4260151410874,34.2982456140351,NA,11.7,20.5,43.8,11.2,12.6,54.0596094552929,66.0842754367934,6.06406301510598,20.7650273224044,4,NA
"51001090600","Census Tract 906; Accomack County; Virginia",-75.78430152,37.74339066,3748,91.0352187833511,61.6061899679829,24.5997865528282,0.880469583778015,0.0266808964781217,0,0.106723585912487,3.8153681963714,8.96478121664888,3006,36577,3706,526,28.3269961977186,8.74524714828897,3.9,37.0722433460076,49.3013972055888,50.6986027944112,79.0748898678414,38.3938100320171,NA,10.7,14.9,39.3,10.8,7.4,54.8370408691154,71.5985514743921,5.89363303379358,23.3333333333333,0,16.5189729606908
"51001090700","Census Tract 907; Accomack County; Virginia",-75.81548292,37.62461322,5125,95.2390243902439,63.0439024390244,29.1707317073171,0,0.682926829268293,0,0.721951219512195,1.61951219512195,4.7609756097561,3776,35358,5123,1005,14.5273631840796,47.9601990049751,3.9,62.4875621890547,41.6843220338983,58.3156779661017,78.5900783289817,36.9560975609756,NA,11.1,16.4,42.4,10,8.1,53.012570437798,70.134373645427,5.77411842671109,31.9101123595506,0,NA
"51001090800","Census Tract 908; Accomack County; Virginia",-75.7187856,37.55784349,3718,88.2463690155998,38.6767079074771,46.2076385153308,0,0.215169445938677,0,0.403442711135019,2.74341043571813,11.7536309844002,2651,28187,3679,648,2.62345679012346,67.2839506172839,1.5,69.9074074074074,54.9603923047906,45.0396076952094,72.1704394141145,61.3232920925229,NA,12,21.6,47.9,12.9,12,46.9975980784628,65.0120096076862,5.8556489472898,29.4004343310358,2,0
"51001980100","Census Tract 9801; Accomack County; Virginia",-75.3175358,37.9575458,23,100,100,0,0,0,0,0,0,0,23,NA,23,0,NA,NA,0,NA,100,0,100,0,NA,NA,NA,NA,NA,NA,50,100,6.21441778054829,NA,86,NA
"51001980200","Census Tract 9802; Accomack County; Virginia",-75.45268888,37.89962331,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.16172117036288,NA,20,NA
