"GEOID","NAME","unw_centroid_long","unw_centroid_lat","Estimated Population","Percent Non-Hispanic","Percent Non-Hispanic White ","Percent Non-Hispanic Black ","Percent Non-Hispanic American Indian/Alaska Native ","Percent Non-Hispanic Asian ","Percent Non-Hispanic Native Hawaiian/Other Pacific Islander ","Percent Non-Hispanic Other ","Percent Non-Hispanic Two or More Races","Percent Hispanic ","Estimate Educated","Median Income ","Population Below Poverty Level","Population Income to Poverty Level","Percent Below 100% FPL","Percent Between 100% and 199% FPL","Unemployment Rate, 16 and Over","Percent Below 200% FPL","Percent High School or Less","Percent Some College or Greater","Labor Force Participation Rate ","Percent Non-White","Redlining (HOLC Grade)","Asthma Prevalence","Smoking Prevalence","Obesity Prevalence","COPD Prevalence","Lack of Health Care Access Prevalence","ICE, Nonwhite by Income ","ICE, Rent Versus Owned ","Particulate Matter ","Housing Stress","Percent Population Within Half a Mile to Parks","Percent Population With Access to Healthy Foods"
"51003010100","Census Tract 101; Albemarle County; Virginia",-78.63824863,38.17425595,4593,98.8678423688221,86.7842368822121,3.91900718484651,0.0217722621380361,0,0,0.304811669932506,7.83801436969301,1.13215763117788,3571,54056,4558,865,0,35.7225433526012,1.1,35.7225433526012,21.7306076729208,78.2693923270792,76.417419884963,13.2157631177879,NA,9.8,12.2,32.1,7.4,5.2,71.0797612588171,85.4584915897992,5.21027277120927,21.4155960768062,22.5,2.67822736030829
"51003010201","Census Tract 102.01; Albemarle County; Virginia",-78.42354849,38.17173522,6127,93.2756650889505,70.279092541211,7.32821935694467,0.0163212012404113,7.40982536314673,0,0.473314835971928,7.76889179043578,6.72433491104945,4251,60259,6123,1571,8.78421387651178,2.10057288351369,0.6,10.8847867600255,20.2305339920019,79.7694660079981,81.3260730301089,29.720907458789,NA,9.6,10.1,31.6,5.8,4.8,66.8001885014138,89.3025447690858,6.07026657248203,20,3.5,55.5494805904866
"51003010202","Census Tract 102.02; Albemarle County; Virginia",-78.51179535,38.12230166,3228,94.0830235439901,84.1387856257745,1.23915737298637,0,3.56257744733581,0,1.48698884758364,3.65551425030979,5.91697645600991,2330,75080,3216,663,5.58069381598793,1.80995475113122,0.7,7.39064856711916,11.7596566523605,88.2403433476395,81.6956765861875,15.8612143742255,NA,9.3,9.4,30.1,6.2,4,79.8956661316212,87.6404494382022,5.98428179788412,16.5957446808511,4,NA
"51003010301","Census Tract 103.01; Albemarle County; Virginia",-78.44315062,38.13469528,2233,87.371249440215,61.9793999104344,15.5844155844156,0,5.86654724585759,0,0,3.94088669950739,12.628750559785,1451,54821,2233,542,4.4280442804428,6.64206642066421,3.9,11.070110701107,21.8470020675396,78.1529979324604,82.3570924488356,38.0206000895656,NA,9.8,13.3,33.3,6.3,8.2,63.6304909560724,84.2377260981912,6.21022714261334,NA,1,35.6754754260311
"51003010302","Census Tract 103.02; Albemarle County; Virginia",-78.44228253,38.1024857,1270,95.0393700787402,59.9212598425197,7.95275590551181,0,8.89763779527559,0,1.65354330708661,16.6141732283465,4.96062992125984,922,86078,1270,305,0,0,3.5,0,20.0650759219089,79.9349240780911,88.955223880597,40.0787401574803,NA,8.8,8.7,28.4,4.6,4.2,74.7854077253219,72.5321888412017,6.21022714261334,NA,1,35.6754754260311
"51003010303","Census Tract 103.03; Albemarle County; Virginia",-78.42394517,38.12742919,5477,95.1981011502647,83.2024831111923,3.08563081979186,0,4.34544458645244,0,0,4.56454263282819,4.80189884973526,3973,59986,5433,1285,2.56809338521401,3.34630350194553,2.6,5.91439688715953,23.4331739239869,76.5668260760131,86.9969040247678,16.7975168888077,NA,9.3,9.4,29.8,4.7,4.8,71.5840666975452,85.5951829550718,6.21022714261334,NA,1,35.6754754260311
"51003010401","Census Tract 104.01; Albemarle County; Virginia",-78.32943131,38.08508825,4692,95.5029838022165,79.7740835464621,13.9173060528559,0,0,0,0.298380221653879,1.51321398124467,4.49701619778346,3657,54095,4684,804,0,11.81592039801,1.9,11.81592039801,24.0634399781241,75.9365600218758,79.5644891122278,20.2259164535379,NA,9.6,10.7,32,6.9,5.6,69.5042563845769,68.8032048072108,5.82473255148698,23.9552597026726,6.75,NA
"51003010402","Census Tract 104.02; Albemarle County; Virginia",-78.39354017,37.98800216,3525,98.6382978723404,87.1205673758865,4.99290780141844,0.0851063829787234,1.02127659574468,0,0,5.41843971631206,1.36170212765957,2615,63302,3525,810,8.02469135802469,1.23456790123457,5.5,9.25925925925926,11.2045889101338,88.7954110898662,79.8272671190623,12.8794326241135,NA,9.2,9.2,30.1,7.1,4.1,71.1658570437196,87.9944482997918,5.91715740802226,22.8667705351643,10.25,79.5418049459373
"51003010501","Census Tract 105.01; Albemarle County; Virginia",-78.42144839,38.05164301,3067,98.5979784805999,74.2419302249755,3.71698728399087,0,15.91131398761,0,0,4.72774698402348,1.40202151940007,2275,67790,3067,685,0,0,4.6,0,17.1868131868132,82.8131868131868,80.1146131805158,25.7580697750245,NA,9.2,9.2,29.4,5.9,4,73.7309644670051,87.8172588832487,5.82473255148698,20.708446866485,11,NA
"51003010502","Census Tract 105.02; Albemarle County; Virginia",-78.44370732,38.02584045,2718,95.5849889624724,75.2759381898455,13.2082413539367,0,2.98013245033113,0,1.98675496688742,2.13392200147167,4.41501103752759,2227,71509,2657,414,0,6.52173913043478,0.7,6.52173913043478,11.0911540188595,88.9088459811405,94.7178002894356,24.7240618101545,NA,9.2,7.5,27.9,7.8,5.4,68.1443951868271,30.5256491450285,5.99737654603307,NA,22,NA
"51003010602","Census Tract 106.02; Albemarle County; Virginia",-78.45647133,38.06517134,4609,95.6823605988284,76.9581254068128,7.31178129746149,0,5.85810371013235,0,0,5.55435018442178,4.31763940117162,3651,69313,4601,759,8.95915678524374,4.21607378129117,3.6,13.1752305665349,9.75075321829636,90.2492467817036,83.1202046035806,23.0418745931872,NA,9.9,10.8,31.6,6.3,4.5,68.2853459389772,70.0042973785991,6.337786161143,19.4896301849076,73,95.7730812013348
"51003010603","Census Tract 106.03; Albemarle County; Virginia",-78.47538729,38.07230203,2529,90.2332937920127,70.5417160933175,16.2910241202056,0.316330565440886,0,0,0,3.08422301304864,9.76670620798735,1598,41551,2316,524,5.91603053435114,8.77862595419847,3.5,14.6946564885496,34.2928660826033,65.7071339173967,91.6161616161616,29.4582839066825,NA,9.5,9.5,29.2,8.1,7.4,53.7763253449528,38.9251997095134,6.87687935417096,26.2987012987013,39,8.42358604091456
"51003010604","Census Tract 106.04; Albemarle County; Virginia",-78.45899198,38.08630766,4171,98.3936705825941,83.4572045073124,6.54519299928075,0,3.69216015344042,0,0.335650923040038,4.3634619995205,1.6063294174059,3085,57531,4163,850,9.64705882352941,0,7,9.64705882352941,8.23338735818477,91.7666126418152,80.5194805194805,16.5427954926876,NA,9.6,10,30.9,6.1,6.3,71.0101613867304,63.3592349073521,6.87687935417096,NA,7,8.42358604091456
