"GEOID","NAME","unw_centroid_long","unw_centroid_lat","Estimated Population","Percent Non-Hispanic","Percent Non-Hispanic White ","Percent Non-Hispanic Black ","Percent Non-Hispanic American Indian/Alaska Native ","Percent Non-Hispanic Asian ","Percent Non-Hispanic Native Hawaiian/Other Pacific Islander ","Percent Non-Hispanic Other ","Percent Non-Hispanic Two or More Races","Percent Hispanic ","Estimate Educated","Median Income ","Population Below Poverty Level","Population Income to Poverty Level","Percent Below 100% FPL","Percent Between 100% and 199% FPL","Unemployment Rate, 16 and Over","Percent Below 200% FPL","Percent High School or Less","Percent Some College or Greater","Labor Force Participation Rate ","Percent Non-White","Redlining (HOLC Grade)","Asthma Prevalence","Smoking Prevalence","Obesity Prevalence","COPD Prevalence","Lack of Health Care Access Prevalence","ICE, Nonwhite by Income ","ICE, Rent Versus Owned ","Particulate Matter ","Housing Stress","Percent Population Within Half a Mile to Parks","Percent Population With Access to Healthy Foods"
"51510200102","Census Tract 2001.02; Alexandria city; Virginia",-77.12649234,38.83345497,5003,58.0651609034579,23.3260043973616,20.0079952028783,0,13.5518688786728,0,0.979412352588447,0.199880071956826,41.9348390965421,2862,46667,4987,1979,14.6538655886812,58.4638706417382,6.8,73.1177362304194,38.0852550663871,61.9147449336129,87.4079814025571,76.6739956026384,NA,9.2,12.4,31.8,4.7,12.4,57.6114649681529,24.2675159235669,7.86897597870277,52.6143790849673,95,NA
"51510200104","Census Tract 2001.04; Alexandria city; Virginia",-77.1225141,38.82843318,4569,58.7218209673889,14.2700809805209,35.60954256949,0,6.63164806303349,0,0,2.2105493543445,41.2781790326111,2848,42697,4336,1200,24.25,25.3333333333333,5,49.5833333333333,32.4438202247191,67.5561797752809,91.280947255113,85.7299190194791,NA,10.6,14,34.6,4.2,13.7,51.7445482866044,0,8.05221106344436,61.7088607594937,58,NA
"51510200105","Census Tract 2001.05; Alexandria city; Virginia",-77.11347429,38.83275064,3992,89.3537074148297,24.4488977955912,57.9909819639279,0,4.18336673346693,0,0,2.73046092184369,10.6462925851703,3178,45508,3971,414,3.86473429951691,25.3623188405797,2.3,29.2270531400966,32.6305852737571,67.3694147262429,90.3834631515878,75.5511022044088,NA,10.3,13.8,35.2,4.6,8.6,47.7250957854406,0,8.29927033907565,42.5629290617849,54,NA
"51510200106","Census Tract 2001.06; Alexandria city; Virginia",-77.11377466,38.83823378,3339,67.3554956573824,42.0485175202156,14.6151542377957,0,7.8167115902965,0,0.808625336927224,2.06648697214735,32.6445043426175,2660,56667,3204,507,40.2366863905325,3.94477317554241,1.7,44.1814595660749,32.593984962406,67.406015037594,89.6361631753032,57.9514824797844,NA,9.6,11.7,28.4,8,10.3,65.6351791530945,28.4690553745928,8.28822812871212,43.0763363257642,62.5,NA
"51510200108","Census Tract 2001.08; Alexandria city; Virginia",-77.13859105,38.81734168,1491,78.4037558685446,25.4862508383635,33.065057008719,1.54258886653253,16.4989939637827,0,0,1.81086519114688,21.5962441314554,1153,54015,1491,248,38.7096774193548,27.0161290322581,0.9,65.7258064516129,25.7588898525585,74.2411101474415,80.421686746988,74.5137491616365,NA,9.7,12.7,32.3,4.6,7.7,51.510989010989,18.6813186813187,7.86569884886057,NA,76,NA
"51510200109","Census Tract 2001.09; Alexandria city; Virginia",-77.1349917,38.82415171,5067,82.9287546871916,28.1231497927768,41.2275508190251,0.611801855141109,8.99940793368857,0,0.769686204854944,3.19715808170515,17.0712453128084,3474,41933,5067,1216,25.8223684210526,15.1315789473684,4.1,40.953947368421,35.895221646517,64.104778353483,86.1533957845433,71.8768502072232,NA,9.8,13.6,34.2,4.5,10.6,51.6032064128257,48.997995991984,7.86569884886057,NA,76,NA
"51510200110","Census Tract 2001.10; Alexandria city; Virginia",-77.10284722,38.83671026,2211,93.2609678878336,51.2437810945274,17.0511080958842,0,14.2921754862053,0,3.07553143374039,7.59837177747626,6.73903211216644,2104,100121,2211,68,0,0,1.6,0,4.08745247148289,95.9125475285171,94.379746835443,48.7562189054726,NA,9.1,7,27.8,2.4,4.6,68.3950617283951,51.4814814814815,8.12542172902025,NA,96,NA
"51510200111","Census Tract 2001.11; Alexandria city; Virginia",-77.10720437,38.83681416,3689,80.2114394144755,37.0018975332068,29.3033342369206,0,6.96665763079425,0,0,6.93955001355381,19.7885605855245,3008,61731,3657,413,0,20.3389830508475,1.9,20.3389830508475,23.9029255319149,76.0970744680851,90.3260869565217,62.9981024667932,NA,10,11.8,30.6,3.5,6.8,54.5524691358025,23.09670781893,8.12542172902025,NA,96,NA
"51510200201","Census Tract 2002.01; Alexandria city; Virginia",-77.0986691,38.82723688,3754,77.8902503995738,50.6925945657965,22.6158763985083,0,2.23761321257326,0,0,2.34416622269579,22.1097496004262,2871,66287,3580,489,2.45398773006135,31.4928425357873,3.4,33.9468302658487,9.68303726924417,90.3169627307558,82.7558741537236,49.3074054342035,NA,9.6,9.7,29.2,4.3,5.4,60.9401231113598,37.9406827084499,7.96362569099404,30.8539944903581,95,NA
"51510200202","Census Tract 2002.02; Alexandria city; Virginia",-77.09746695,38.81707316,1522,99.8028909329829,81.6031537450723,3.94218134034166,0,7.95006570302234,0,0.854139290407359,5.45335085413929,0.197109067017083,1125,136536,1522,366,0,0,3.4,0,3.82222222222222,96.1777777777778,89.4736842105263,18.3968462549277,NA,8.4,6,25.7,3.7,3.2,85.8085808580858,91.5841584158416,8.14337133437646,9.73451327433628,34,NA
"51510200301","Census Tract 2003.01; Alexandria city; Virginia",-77.11647097,38.82603138,3395,72.3711340206186,30.0441826215022,14.4918998527246,0.206185567010309,18.0265095729013,0,0,9.60235640648012,27.6288659793814,2264,50110,3395,879,4.77815699658703,42.4345847554039,4.3,47.2127417519909,21.7756183745583,78.2243816254417,86.3124718595227,69.9558173784978,NA,9.6,11.4,31.5,3.6,7.9,58.1297709923664,35.2671755725191,8.07854929824693,48.8636363636364,27,NA
