"GEOID","NAME","unw_centroid_long","unw_centroid_lat","Estimated Population","Percent Non-Hispanic","Percent Non-Hispanic White ","Percent Non-Hispanic Black ","Percent Non-Hispanic American Indian/Alaska Native ","Percent Non-Hispanic Asian ","Percent Non-Hispanic Native Hawaiian/Other Pacific Islander ","Percent Non-Hispanic Other ","Percent Non-Hispanic Two or More Races","Percent Hispanic ","Estimate Educated","Median Income ","Population Below Poverty Level","Population Income to Poverty Level","Percent Below 100% FPL","Percent Between 100% and 199% FPL","Unemployment Rate, 16 and Over","Percent Below 200% FPL","Percent High School or Less","Percent Some College or Greater","Labor Force Participation Rate ","Percent Non-White","Redlining (HOLC Grade)","Asthma Prevalence","Smoking Prevalence","Obesity Prevalence","COPD Prevalence","Lack of Health Care Access Prevalence","ICE, Nonwhite by Income ","ICE, Rent Versus Owned ","Particulate Matter ","Housing Stress","Percent Population Within Half a Mile to Parks","Percent Population With Access to Healthy Foods"
"51019030101","Census Tract 301.01; Bedford County; Virginia",-79.28894444,37.45837694,7927,97.9941970480636,88.7977797401287,4.85681846852529,0,0.971363693705059,0,0,3.36823514570455,2.00580295193642,5329,61383,7925,2177,12.8158015617823,11.1162149747359,0.9,23.9320165365181,17.3578532557703,82.6421467442297,78.21020741086,11.2022202598713,NA,9.6,11.9,33.5,6.6,4.2,69.5036642238508,90.4397068620919,5.45632243421546,16.5722294604549,17,16.8872919818457
"51019030103","Census Tract 301.03; Bedford County; Virginia",-79.28748319,37.38420257,8371,95.6277625134393,80.2413092820452,5.3398638155537,0.191136064986262,1.72022458487636,0,1.95914466610919,6.17608409986859,4.37223748656075,5827,45779,8263,1568,7.01530612244898,12.6913265306122,1.6,19.7066326530612,18.2426634631886,81.7573365368114,74.5885186672019,19.7586907179548,NA,9.5,10,31.1,5.6,5.1,62.1697833184921,74.0872662511131,5.78873025400769,16.0680777304243,0,38.6664111898831
"51019030104","Census Tract 301.04; Bedford County; Virginia",-79.28700931,37.35062503,4699,97.7442008938072,72.9942540966163,16.8972121728027,0,0.872526069376463,0,0.276654607363269,6.70355394764844,2.25579910619281,3369,39171,4679,863,7.64774044032445,33.1402085747393,7.8,40.7879490150637,28.8809735826655,71.1190264173345,82.122905027933,27.0057459033837,NA,10.1,13.9,34.2,7.6,6,56.6339700567889,77.8007227671657,5.84241060709932,20.0534759358289,0,53.8180155464106
"51019030202","Census Tract 302.02; Bedford County; Virginia",-79.41958451,37.22866283,5606,94.5950767035319,79.0759900107028,5.54762754191937,0,0.998929718159115,0,0.998929718159115,7.97359971459151,5.40492329646807,4205,35618,5599,973,4.31654676258993,27.5436793422405,1.3,31.8602261048304,33.6504161712247,66.3495838287753,69.7491248541424,20.9240099892972,NA,10.2,15,35.9,8.8,6.4,60.8351648351648,93.2747252747253,5.66749264840422,15.1300236406619,0,0.232474964234621
"51019030203","Census Tract 302.03; Bedford County; Virginia",-79.32301985,37.34001391,4840,96.1776859504132,83.8842975206611,4.3801652892562,0,1.05371900826446,0,3.86363636363636,2.99586776859504,3.82231404958678,3106,44841,4812,1160,3.44827586206897,16.2068965517241,1.1,19.6551724137931,20.8306503541533,79.1693496458467,79.9510146955913,16.1157024793388,NA,9.2,9.6,30.9,4.7,4.4,69.4544364508393,90.167865707434,5.69311103403747,NA,0,NA
"51019030204","Census Tract 302.04; Bedford County; Virginia",-79.37621441,37.36214964,4203,99.3100166547704,90.7447061622651,3.52129431358553,0.975493694979776,1.61789198191768,0,0,2.45063050202236,0.689983345229598,3159,42460,4162,769,0.780234070221066,1.56046814044213,1.3,2.3407022106632,35.0110794555239,64.9889205444761,72.0128307939054,9.25529383773495,NA,9.9,14,34.4,7.5,5.8,67.8825048418335,93.3505487411233,5.69311103403747,NA,0,NA
"51019030300","Census Tract 303; Bedford County; Virginia",-79.45414375,37.48038399,3803,99.8422298185643,91.3752300815146,5.73231659216408,0.262950302392848,0.578490665264265,0,0,1.8932421772285,0.157770181435709,2966,35323,3803,659,13.8088012139605,48.2549317147193,1.8,62.0637329286798,46.5610249494268,53.4389750505732,70.5370101596517,8.62476991848541,NA,9.9,15.2,35.7,8.9,6.2,59.052247873633,78.7363304981774,5.13572531531418,17.6465964697008,37,32.7230695174863
"51019030401","Census Tract 304.01; Bedford County; Virginia",-79.57607923,37.38589046,3235,97.6197836166924,86.8006182380216,5.84234930448223,0,2.56568778979907,0,0.618238021638331,1.79289026275116,2.38021638330757,2709,36746,3235,423,7.32860520094563,31.4420803782506,1.4,38.7706855791962,38.6489479512735,61.3510520487265,78.5079928952043,13.1993817619784,NA,10.4,15.8,36.3,11.1,7.1,58.3054253181514,88.1446751507033,5.13572531531418,13.427535538473,24,15.8636947208081
"51019030403","Census Tract 304.03; Bedford County; Virginia",-79.60708141,37.31632732,3348,97.8793309438471,92.4133811230585,2.1505376344086,0,0,0,0,3.31541218637993,2.12066905615293,2514,43919,3344,506,6.32411067193676,34.9802371541502,4.4,41.304347826087,51.4717581543357,48.5282418456643,64.4455494778717,7.58661887694146,NA,10.6,17.4,35.7,9.9,7.3,59.9576271186441,89.5480225988701,5.79783951104587,NA,2,NA
"51019030404","Census Tract 304.04; Bedford County; Virginia",-79.49559181,37.29862869,4158,99.4468494468495,82.6358826358826,12.2895622895623,0,0,0,0.288600288600289,4.23280423280423,0.553150553150553,2549,29864,4152,1311,8.23798627002288,64.6834477498093,6.7,72.9214340198322,47.9795998430757,52.0204001569243,83.1060272767268,17.3641173641174,NA,10.5,16.4,36.7,9,7,52.1481481481481,90.5925925925926,5.73266607972504,15.1300236406619,1,0.232474964234621
