"GEOID","NAME","unw_centroid_long","unw_centroid_lat","Estimated Population","Percent Non-Hispanic","Percent Non-Hispanic White ","Percent Non-Hispanic Black ","Percent Non-Hispanic American Indian/Alaska Native ","Percent Non-Hispanic Asian ","Percent Non-Hispanic Native Hawaiian/Other Pacific Islander ","Percent Non-Hispanic Other ","Percent Non-Hispanic Two or More Races","Percent Hispanic ","Estimate Educated","Median Income ","Population Below Poverty Level","Population Income to Poverty Level","Percent Below 100% FPL","Percent Between 100% and 199% FPL","Unemployment Rate, 16 and Over","Percent Below 200% FPL","Percent High School or Less","Percent Some College or Greater","Labor Force Participation Rate ","Percent Non-White","Redlining (HOLC Grade)","Asthma Prevalence","Smoking Prevalence","Obesity Prevalence","COPD Prevalence","Lack of Health Care Access Prevalence","ICE, Nonwhite by Income ","ICE, Rent Versus Owned ","Particulate Matter ","Housing Stress","Percent Population Within Half a Mile to Parks","Percent Population With Access to Healthy Foods"
"51031020101","Census Tract 201.01; Campbell County; Virginia",-79.05617411,37.35110688,5462,97.034053460271,84.1083852068839,11.168070303918,0.0732332478945441,0,0,0.952032222629074,0.732332478945441,2.96594653972904,4148,32829,5281,938,7.88912579957356,37.5266524520256,1.9,45.4157782515991,39.9710703953713,60.0289296046287,82.5931232091691,15.8916147931161,NA,10.5,16.9,42.4,9.2,8.2,56.859571023877,75.8397409955484,5.30380150152416,17.9716981132075,0,NA
"51031020102","Census Tract 201.02; Campbell County; Virginia",-79.01121575,37.26235144,4485,99.5540691192865,85.7971014492754,9.49832775919732,0.178372352285396,1.18171683389075,0,0,2.89855072463768,0.445930880713489,3383,34634,4253,643,23.1726283048211,18.9735614307932,5.8,42.1461897356143,48.5368016553355,51.4631983446645,81.379821958457,14.2028985507246,NA,10.6,17,42.2,8.8,7.5,62.3376623376623,81.8800247371676,5.11890618443746,18.9277802392557,12,9.59268687803749
"51031020200","Census Tract 202; Campbell County; Virginia",-79.16016234,37.32599376,5251,92.839459150638,82.8223195581794,7.00818891639688,0,0.704627689963816,0,0.285659874309655,2.01866311178823,7.16054084936203,3681,42656,5089,988,7.99595141700405,24.5951417004049,4,32.5910931174089,37.1094811192611,62.8905188807389,79.3223891023402,17.1776804418206,NA,10.4,14.2,38.3,8.4,7.4,56.8009478672986,80.4739336492891,5.73465301417041,17.1875,4,NA
"51031020300","Census Tract 203; Campbell County; Virginia",-79.2521534,37.34213034,3779,95.3691452765282,86.1603598835671,5.42471553320984,0,0.926170944694364,0,0,2.85789891505689,4.63085472347182,2682,41131,3779,848,16.5094339622642,17.8066037735849,7.9,34.3160377358491,35.4213273676361,64.5786726323639,78.9066279632317,13.8396401164329,NA,10,13.8,37.7,8.2,6.5,59.5448369565217,79.8913043478261,5.97883322984084,18.6708057645246,0,47.0801252219997
"51031020401","Census Tract 204.01; Campbell County; Virginia",-79.23213847,37.32626548,4937,85.2339477415434,69.232327324286,10.7555195462832,0,0.789953413003848,0,1.86347984606036,2.59266761191007,14.7660522584566,3457,34360,4865,643,0,22.5505443234837,3.1,22.5505443234837,28.8689615273358,71.1310384726642,81.3789039481438,30.767672675714,NA,10.6,14.8,40.5,7.9,7.8,55.3958529688973,53.5815268614515,5.91771851822552,26.7857142857143,0,22.1530920060332
"51031020402","Census Tract 204.02; Campbell County; Virginia",-79.26918038,37.32007508,3492,97.4799541809851,78.2359679266896,13.3161512027491,0,1.26002290950745,0,2.34822451317297,2.31958762886598,2.52004581901489,2512,39261,3492,553,0,31.4647377938517,3.4,31.4647377938517,34.7133757961783,65.2866242038216,84.1109709962169,21.7640320733104,NA,10.2,12.9,38,6.3,5.9,56.7118644067797,61.8305084745763,6.0445453347183,20.7482993197279,0,21.47512864494
"51031020403","Census Tract 204.03; Campbell County; Virginia",-79.28133733,37.26562307,6129,99.2005221080111,74.4330233317017,15.5327133300702,0,4.25844346549192,0.228422254853973,0,4.74791972589329,0.799477891988905,4319,37837,6129,1384,9.75433526011561,20.4479768786127,1.2,30.2023121387283,39.268349154897,60.731650845103,85.0646123260437,25.5669766682983,NA,10.4,15.7,40.5,7.2,6.8,57.7354260089686,76.4125560538117,5.83513975786501,18.4446414499606,0,0.232474964234621
"51031020500","Census Tract 205; Campbell County; Virginia",-79.18543894,37.23494983,7421,100,77.4423932084625,14.5532947042178,0.821991645330818,1.19929928581054,0,0,5.98302115617841,0,5352,33240,7416,1481,4.9966239027684,37.744767049291,7.3,42.7413909520594,49.5515695067265,50.4484304932735,78.8465820529949,22.5576067915375,NA,11.3,19.6,44.5,11.2,8.4,57.890132960112,82.0503848845347,5.3624770361307,18.52487135506,0,NA
"51031020600","Census Tract 206; Campbell County; Virginia",-79.29367573,37.15509969,3773,97.2700768619136,77.8690697058044,10.5751391465677,0,0.689106811555791,0.583090379008746,0.689106811555791,6.86456400742115,2.7299231380864,2846,32273,3765,679,5.44918998527246,55.0810014727541,3.3,60.5301914580265,51.7568517217147,48.2431482782853,72.5045372050817,22.1309302941956,NA,10.6,17.1,42.2,10.2,7.4,52.4303305249514,87.2326636422553,5.47253555028137,20.1320132013201,0,NA
"51031020700","Census Tract 207; Campbell County; Virginia",-79.28609432,37.12309877,3356,97.6460071513707,61.3528009535161,34.5053635280095,0,0,0,0,1.78784266984505,2.35399284862932,2375,31659,3280,735,25.3061224489796,22.5850340136054,10.9,47.891156462585,46.9894736842105,53.0105263157895,77.9449922158796,38.6471990464839,NA,11.2,16.6,44.2,10,8.2,51.063829787234,61.9300911854103,5.74815262821828,35.4477611940299,0,21.3209733487833
