"GEOID","NAME","unw_centroid_long","unw_centroid_lat","Estimated Population","Percent Non-Hispanic","Percent Non-Hispanic White ","Percent Non-Hispanic Black ","Percent Non-Hispanic American Indian/Alaska Native ","Percent Non-Hispanic Asian ","Percent Non-Hispanic Native Hawaiian/Other Pacific Islander ","Percent Non-Hispanic Other ","Percent Non-Hispanic Two or More Races","Percent Hispanic ","Estimate Educated","Median Income ","Population Below Poverty Level","Population Income to Poverty Level","Percent Below 100% FPL","Percent Between 100% and 199% FPL","Unemployment Rate, 16 and Over","Percent Below 200% FPL","Percent High School or Less","Percent Some College or Greater","Labor Force Participation Rate ","Percent Non-White","Redlining (HOLC Grade)","Asthma Prevalence","Smoking Prevalence","Obesity Prevalence","COPD Prevalence","Lack of Health Care Access Prevalence","ICE, Nonwhite by Income ","ICE, Rent Versus Owned ","Particulate Matter ","Housing Stress","Percent Population Within Half a Mile to Parks","Percent Population With Access to Healthy Foods"
"51540000201","Census Tract 2.01; Charlottesville city; Virginia",-78.48896649,38.04188252,2933,90.1807023525401,66.4848278213433,10.8762359359018,0,4.29594272076372,0,4.46641663825435,4.05727923627685,9.81929764745994,1652,37099,2841,366,6.55737704918033,19.1256830601093,5.6,25.6830601092896,24.636803874092,75.363196125908,77.7137793531236,33.5151721786567,NA,10.6,10.8,30.7,4.5,7.5,53.3088235294118,27.4509803921569,7.3058995632506,56.6906560593087,93,NA
"51540000202","Census Tract 2.02; Charlottesville city; Virginia",-78.49546953,38.03622886,4987,95.588530178464,53.1983156206136,32.0032083416884,0.260677762181672,8.72267896530981,0,0,1.40364948867054,4.41146982153599,1480,8095,4180,755,60.3973509933775,22.3841059602649,12.5,82.7814569536424,35.6756756756757,64.3243243243243,54.6061072619964,46.8016843793864,NA,12.1,11.4,30.5,4.7,10.4,45.4293628808864,7.53462603878116,7.30173217758762,68.2451253481894,86,NA
"51540000302","Census Tract 3.02; Charlottesville city; Virginia",-78.46383657,38.02869968,3193,85.5308487316004,67.8358910115878,6.70216097713749,0,2.9126213592233,0,0.626370184779204,7.45380519887253,14.4691512683996,2582,45517,3193,464,0,26.2931034482759,2.3,26.2931034482759,27.14949651433,72.85050348567,85.7865685372585,32.1641089884121,NA,9.7,12.8,31.8,5.4,6.2,57.1556350626118,45.020870602266,7.11712214568319,31.505994005994,42,NA
"51540000401","Census Tract 4.01; Charlottesville city; Virginia",-78.48853076,38.02147405,3596,93.2981090100111,43.5205784204672,29.7274749721913,0,13.3759733036707,0,1.02892102335929,5.64516129032258,6.70189098998888,2547,38457,3577,955,38.7434554973822,17.1727748691099,10.4,55.9162303664922,32.2732626619552,67.7267373380448,78.961874138723,56.4794215795328,NA,10.8,14.5,36.6,6.7,8.4,48.9022662889518,47.2379603399433,6.64827591516465,27.6223776223776,92,NA
"51540000402","Census Tract 4.02; Charlottesville city; Virginia",-78.47465065,38.01952755,4235,97.1664698937426,74.1912632821724,19.5749704840614,0.25974025974026,1.77095631641086,0,0,1.36953955135773,2.83353010625738,3458,50384,4227,509,0,14.7347740667976,5.7,14.7347740667976,28.9762868710237,71.0237131289763,84.6708463949843,25.8087367178276,NA,10.5,15.3,34,6.3,7.9,59.6901017576318,61.4708603145236,6.73752771502337,28.4171104125233,51,NA
"51540000501","Census Tract 5.01; Charlottesville city; Virginia",-78.4964214,38.02600213,4118,97.3530840213696,36.765420106848,50.8013598834386,0,2.79261777561923,0,0.14570179698883,6.84798445847499,2.6469159786304,2920,36786,4085,793,45.2711223203026,30.390920554855,1.5,75.6620428751576,36.3698630136986,63.6301369863014,71.4285714285714,63.234579893152,NA,11.2,16.7,37.5,6.2,9.4,45.1701093560146,41.6767922235723,6.82666286993185,39.3846153846154,100,NA
"51540000502","Census Tract 5.02; Charlottesville city; Virginia",-78.51012133,38.01843905,5408,83.0621301775148,70.2662721893491,4.4008875739645,0,4.54881656804734,0,1.12795857988166,2.71819526627219,16.9378698224852,3708,57948,5391,1152,25.3472222222222,5.90277777777778,5,31.25,12.7562028047465,87.2437971952535,79.3331417073872,29.7337278106509,NA,9.4,9,29.5,4.1,5.6,60.5636743215031,48.3089770354906,6.21247509962515,27.0207852193995,55,NA
"51540000600","Census Tract 6; Charlottesville city; Virginia",-78.51075577,38.02844994,3169,92.4581887030609,53.234458819817,4.38624171662985,0.315556958030925,29.7885768381193,0,0,4.73335437046387,7.5418112969391,754,10415,2316,11,0,0,4.7,0,13.9257294429708,86.0742705570292,52.1959459459459,46.765541180183,NA,11,13.3,27.3,4.3,10.3,40.3884462151394,7.56972111553785,6.66528683682092,54.4247787610619,20,NA
"51540000700","Census Tract 7; Charlottesville city; Virginia",-78.49820652,38.0482072,4626,96.5845222654561,77.8858625162127,5.94466061392131,0,7.34976221357544,0,0.151318633808906,5.25291828793774,3.41547773454388,2427,28352,3695,480,1.875,12.5,3.2,14.375,8.24062628759786,91.7593737124022,61.1412268188302,22.1141374837873,NA,10.5,10.6,28.7,5,5.8,66.2385844748858,50.9132420091324,7.06865268361086,39.2142095022908,9.25,6.2049514258853
"51540000800","Census Tract 8; Charlottesville city; Virginia",-78.48158446,38.05967517,3574,97.5097929490767,77.5321768326805,11.6955791829882,0,1.90263010632345,0,0.363738108561835,6.01566871852266,2.49020705092334,2812,54479,3405,681,22.0264317180617,3.81791483113069,0.6,25.8443465491924,19.452347083926,80.547652916074,87.6237623762376,22.4678231673195,NA,9.3,10,30.5,6.1,6.5,66.973079448457,73.7360472751149,6.97584912949507,26.2987012987013,45.5,NA
