"GEOID","NAME","unw_centroid_long","unw_centroid_lat","Estimated Population","Percent Non-Hispanic","Percent Non-Hispanic White ","Percent Non-Hispanic Black ","Percent Non-Hispanic American Indian/Alaska Native ","Percent Non-Hispanic Asian ","Percent Non-Hispanic Native Hawaiian/Other Pacific Islander ","Percent Non-Hispanic Other ","Percent Non-Hispanic Two or More Races","Percent Hispanic ","Estimate Educated","Median Income ","Population Below Poverty Level","Population Income to Poverty Level","Percent Below 100% FPL","Percent Between 100% and 199% FPL","Unemployment Rate, 16 and Over","Percent Below 200% FPL","Percent High School or Less","Percent Some College or Greater","Labor Force Participation Rate ","Percent Non-White","Redlining (HOLC Grade)","Asthma Prevalence","Smoking Prevalence","Obesity Prevalence","COPD Prevalence","Lack of Health Care Access Prevalence","ICE, Nonwhite by Income ","ICE, Rent Versus Owned ","Particulate Matter ","Housing Stress","Percent Population Within Half a Mile to Parks","Percent Population With Access to Healthy Foods"
"51041100106","Census Tract 1001.06; Chesterfield County; Virginia",-77.54703351,37.51851081,3870,97.6227390180879,81.7312661498708,6.30490956072351,0,4.44444444444444,0,0,5.1421188630491,2.37726098191214,2765,58310,3733,750,11.6,1.2,3.1,12.8,23.4719710669078,76.5280289330922,85.3563714902808,18.2687338501292,NA,9.6,13,35.8,7.1,4.9,70.1045296167247,93.8675958188153,6.52542975234204,24.4080879719178,42.6666666666667,23.6913260687909
"51041100107","Census Tract 1001.07; Chesterfield County; Virginia",-77.53515324,37.50803911,2748,57.3871906841339,18.2678311499272,34.8617176128093,0,2.51091703056769,0,0,1.74672489082969,42.6128093158661,1633,34702,2728,648,38.7345679012346,26.6975308641975,11.1,65.4320987654321,45.254133496632,54.745866503368,75.0526315789474,81.7321688500728,NA,11.8,18.4,45.3,7,13.4,40.1090342679128,19.1588785046729,6.98079207170247,42.6057432041436,31.5,4.03524580933157
"51041100206","Census Tract 1002.06; Chesterfield County; Virginia",-77.5334907,37.45477273,7346,70.9501769670569,47.4543969507215,18.3637353661857,0,0.490062619112442,1.07541519194119,0,3.56656683909611,29.0498230329431,4937,36067,7339,1584,9.5959595959596,20.3914141414141,5.5,29.9873737373737,41.4219161434069,58.5780838565931,78.3252230332522,52.5456030492785,NA,10.6,14.7,41.2,6.7,8.3,52.9715229054891,70.6149401568304,6.44013604423388,19.1082802547771,0,7.25405231904991
"51041100208","Census Tract 1002.08; Chesterfield County; Virginia",-77.5681237,37.45977159,2407,98.4212712920648,79.2687993352721,12.879102617366,0,3.15745741587038,0.249272953884504,0,2.86663896967179,1.57872870793519,1929,61544,2395,403,0,0,4.2,0,15.6039398652151,84.3960601347849,80.8035714285714,20.7312006647279,NA,9.2,8.7,34.3,5.9,4.7,70.213849287169,92.3625254582485,6.49485857082142,19.6176008381352,23,55.3760666250741
"51041100209","Census Tract 1002.09; Chesterfield County; Virginia",-77.54383179,37.47719975,6725,94.0966542750929,56.8475836431227,30.8550185873606,0,1.7546468401487,0.297397769516729,2.52788104089219,1.81412639405204,5.90334572490706,4733,47351,6641,1405,8.39857651245552,0,8.7,8.39857651245552,28.2062117050497,71.7937882949503,86.4449483497103,43.1524163568773,NA,10.4,13.6,39.8,6.9,7.9,58.3029861616897,80.0801165331391,6.50096679033188,22.5563909774436,0,20.0988993459882
"51041100210","Census Tract 1002.10; Chesterfield County; Virginia",-77.52626756,37.48825889,2031,88.1339241752831,25.2584933530281,52.4864598719842,0,3.54505169867061,0,3.397341211226,3.4465780403742,11.8660758247169,1303,46596,1977,449,14.9220489977728,21.1581291759465,0.5,36.0801781737194,27.7820414428243,72.2179585571757,85.3269537480064,74.7415066469719,NA,11,13.8,39.8,5.3,10.7,47.7990970654628,37.9232505643341,6.86496324485744,37.4233128834356,4,NA
"51041100211","Census Tract 1002.11; Chesterfield County; Virginia",-77.51523054,37.46884642,3460,73.728323699422,13.0635838150289,59.4797687861272,0,0,0,1.15606936416185,0.0289017341040462,26.271676300578,2324,34757,3460,896,26.2276785714286,51.2276785714286,4.8,77.4553571428571,48.8382099827883,51.1617900172117,93.348623853211,86.9364161849711,NA,11.4,16.7,47.1,6.8,13,43.5957304869913,54.4362908605737,6.50288493287773,NA,48.5,4.19695515018516
"51041100212","Census Tract 1002.12; Chesterfield County; Virginia",-77.50451213,37.4574914,4424,78.3001808318264,14.4665461121157,57.753164556962,0,0.316455696202532,0,3.02893309222423,2.73508137432188,21.6998191681736,2855,34091,4421,1112,25.8093525179856,25.1798561151079,7.4,50.9892086330935,46.1295971978984,53.8704028021016,82.9326109041653,85.5334538878843,NA,11.5,17.7,47,6.9,15.5,44.336569579288,40.6688241639698,6.50288493287773,NA,48.5,4.19695515018516
"51041100300","Census Tract 1003; Chesterfield County; Virginia",-77.44072057,37.45041861,2815,54.6714031971581,29.0230905861456,23.6589698046181,0.177619893428064,0.923623445825933,0,0,0.88809946714032,45.3285968028419,1840,27608,2776,526,48.0988593155894,10.4562737642586,4.7,58.5551330798479,63.4239130434783,36.5760869565217,83.4087481146305,70.9769094138543,NA,11.3,20.5,46.9,9.7,18.9,45.4867256637168,47.5221238938053,7.05068838626027,48.2300884955752,17,38.6650386650387
"51041100403","Census Tract 1004.03; Chesterfield County; Virginia",-77.34009463,37.36551001,6544,85.1161369193154,43.6583129584352,22.5091687041565,0,12.0568459657702,0,1.5739608801956,5.31784841075795,14.8838630806846,4625,44784,6544,1355,0,0,4.3,0,31.0054054054054,68.9945945945946,82.427366447985,56.3416870415648,NA,9.9,11.6,37,5.3,6.8,56.25,65.5434782608696,6.56926356471669,24.0635224347624,16,41.3142131058268
"51041100404","Census Tract 1004.04; Chesterfield County; Virginia",-77.43317819,37.42340433,2728,54.6920821114369,24.1568914956012,29.3255131964809,0.183284457478006,0.733137829912023,0,0.293255131964809,0,45.307917888563,1826,23968,2713,575,16.1739130434783,71.4782608695652,10.8,87.6521739130435,66.3745892661555,33.6254107338445,72.9001584786054,75.8431085043988,NA,11.8,24.3,48.6,11.2,23.5,44.1551540913921,28.0552603613177,6.82758566640286,41.0467509556013,39.5,52.1650601870406
"51041100405","Census Tract 1004.05; Chesterfield County; Virginia",-77.44675301,37.43851199,2239,68.4680661009379,23.6266190263511,41.0451094238499,0.223313979455114,0,0,1.5631978561858,2.00982581509602,31.5319338990621,1273,29701,2215,597,38.0234505862647,28.8107202680067,8.5,66.8341708542714,60.8798114689709,39.1201885310291,76.6539923954373,76.3733809736489,NA,11.5,21.9,47.3,10.1,20.1,40.6019656019656,48.7714987714988,7.1963767091249,55.5714595532422,55,93.0817610062893
