"GEOID","NAME","unw_centroid_long","unw_centroid_lat","Estimated Population","Percent Non-Hispanic","Percent Non-Hispanic White ","Percent Non-Hispanic Black ","Percent Non-Hispanic American Indian/Alaska Native ","Percent Non-Hispanic Asian ","Percent Non-Hispanic Native Hawaiian/Other Pacific Islander ","Percent Non-Hispanic Other ","Percent Non-Hispanic Two or More Races","Percent Hispanic ","Estimate Educated","Median Income ","Population Below Poverty Level","Population Income to Poverty Level","Percent Below 100% FPL","Percent Between 100% and 199% FPL","Unemployment Rate, 16 and Over","Percent Below 200% FPL","Percent High School or Less","Percent Some College or Greater","Labor Force Participation Rate ","Percent Non-White","Redlining (HOLC Grade)","Asthma Prevalence","Smoking Prevalence","Obesity Prevalence","COPD Prevalence","Lack of Health Care Access Prevalence","ICE, Nonwhite by Income ","ICE, Rent Versus Owned ","Particulate Matter ","Housing Stress","Percent Population Within Half a Mile to Parks","Percent Population With Access to Healthy Foods"
"51059415100","Census Tract 4151; Fairfax County; Virginia",-77.07034498,38.7791492,3589,80.6352744497074,70.4653106714962,4.90387294511006,0,3.06492059069379,0,0,2.20117024240736,19.3647255502926,2167,77625,3589,1119,5.80875781948168,9.83020554066131,6.4,15.638963360143,23.2579603137979,76.7420396862021,83.6429308565531,29.5346893285038,NA,8.6,7.6,28.7,4.1,6.1,79.3687099725526,93.1381518755718,8.17254669600423,26.7857142857143,95,NA
"51059415200","Census Tract 4152; Fairfax County; Virginia",-77.05144646,38.77668787,3001,83.8387204265245,71.7427524158614,6.4645118293902,0,2.86571142952349,0,0,2.76574475174942,16.1612795734755,2405,81304,3001,448,0,11.3839285714286,2.3,11.3839285714286,8.81496881496881,91.1850311850312,88.2636655948553,28.2572475841386,NA,9.2,8.3,29.2,4.4,4.1,68.0346820809249,69.1907514450867,7.42629378558303,28.0597014925373,100,0
"51059415300","Census Tract 4153; Fairfax County; Virginia",-77.06984217,38.76678322,4069,75.4485131481937,47.8987466207913,17.2032440403047,0,9.26517571884984,0,0,1.08134676824773,24.5514868518063,3084,57895,4001,753,5.0464807436919,5.0464807436919,7.3,10.0929614873838,21.757457846952,78.242542153048,91.36078782453,52.1012533792087,NA,8.8,8.9,30.2,4.8,7.9,64.4122858830478,67.51329001772,7.9793965099877,40.1759530791789,100,NA
"51059415401","Census Tract 4154.01; Fairfax County; Virginia",-77.07799281,38.7570171,7021,43.2274604757157,20.9087024640365,15.8097137159949,0,4.50078336419313,0,0,2.00826093149124,56.7725395242843,3845,37500,7021,2706,19.9926090169993,30.4508499630451,2.9,50.4434589800443,43.8491547464239,56.1508452535761,82.1598877980365,79.0912975359635,NA,11,16.9,38.3,7,14.1,51.8943436499466,23.2123799359658,7.58630203641032,61.7250673854448,100,NA
"51059415402","Census Tract 4154.02; Fairfax County; Virginia",-77.06933444,38.75168846,2509,91.2315663611,58.3100836986847,10.4025508170586,0,14.9860502192108,0,2.23196492626544,5.30091669988043,8.76843363889996,1920,79598,2492,441,4.98866213151927,0,1.3,4.98866213151927,14.4270833333333,85.5729166666667,84.4398340248963,41.6899163013153,NA,8.8,8.4,29.4,5.1,5,67.0731707317073,87.7110694183865,7.67364058673343,30.959143857233,100,9.3868411987599
"51059415500","Census Tract 4155; Fairfax County; Virginia",-77.06954882,38.73929157,6284,91.7568427753023,63.1285805219605,17.5843411839593,0.222788033099936,7.38383195416932,0,0.270528325907066,3.16677275620624,8.24315722469765,4503,67300,6010,1432,21.3687150837989,0,3.7,21.3687150837989,19.5425272040862,80.4574727959138,82.5855036084092,36.8714194780395,NA,9.4,9.2,31.1,6,6.3,70.6085455330168,78.765645230902,7.7645367834751,29.9363057324841,100,9.3868411987599
"51059415600","Census Tract 4156; Fairfax County; Virginia",-77.04972431,38.74892197,2564,93.99375975039,81.786271450858,3.70514820592824,0,4.6411856474259,0,0,3.86115444617785,6.00624024960998,1847,126979,2564,533,1.68855534709193,0,2,1.68855534709193,6.87601515971846,93.1239848402815,86.2124898621249,18.213728549142,NA,8.5,6.8,27.1,5.1,3.2,86.9890329012961,100,7.18192424823073,17.48046875,100,2.04545454545455
"51059415700","Census Tract 4157; Fairfax County; Virginia",-77.05226162,38.72131241,4010,97.930174563591,91.7456359102245,0.897755610972569,0.0498753117206982,3.21695760598504,0,0,2.01995012468828,2.06982543640898,2470,111955,4010,1327,0,0,3.5,0,6.23481781376518,93.7651821862348,73.8787580088714,8.25436408977556,NA,8.6,6.2,26.9,3.7,3.3,88.5220125786164,89.937106918239,7.31883509388559,15.0197628458498,98,92.4103637791154
"51059415800","Census Tract 4158; Fairfax County; Virginia",-77.06872846,38.72327399,5016,90.8891547049442,84.2703349282297,1.19617224880383,0,2.33253588516746,0.219298245614035,0.358851674641148,2.51196172248804,9.11084529505582,3410,91250,5016,1313,0,0,2.3,0,11.0263929618768,88.9736070381232,78.113363673976,15.7296650717703,NA,8.9,8.3,28.2,4.4,3.8,84.3115124153499,91.7607223476298,7.45148752877086,21.3483146067416,100,81.3762626262626
"51059415900","Census Tract 4159; Fairfax County; Virginia",-77.08773744,38.7186733,3117,88.418350978505,58.0365736284889,10.4266923323709,0,10.362528071864,0,1.73243503368624,7.86012191209496,11.581649021495,2345,82843,3117,701,3.99429386590585,0,2.3,3.99429386590585,17.7398720682303,82.2601279317697,83.5210432720806,41.9634263715111,NA,8.6,7.9,28.1,4.9,4.7,72.4031690140845,92.693661971831,7.21842224442838,9.6234309623431,100,27.0886075949367
"51059416000","Census Tract 4160; Fairfax County; Virginia",-77.1038647,38.72388869,6003,72.6303514909212,33.7831084457771,27.1697484591038,0,6.99650174912544,0,0.766283524904214,3.91470931201066,27.3696485090788,4078,46346,5975,1589,13.8451856513531,33.920704845815,4.5,47.765890497168,25.1348700343306,74.8651299656694,83.6722664308871,66.2168915542229,NA,9.6,12.3,34.4,5.7,8.9,60.1967799642218,50.2236135957066,7.31090775500632,44.7727272727273,100,4.56356392611373
