"GEOID","NAME","unw_centroid_long","unw_centroid_lat","Estimated Population","Percent Non-Hispanic","Percent Non-Hispanic White ","Percent Non-Hispanic Black ","Percent Non-Hispanic American Indian/Alaska Native ","Percent Non-Hispanic Asian ","Percent Non-Hispanic Native Hawaiian/Other Pacific Islander ","Percent Non-Hispanic Other ","Percent Non-Hispanic Two or More Races","Percent Hispanic ","Estimate Educated","Median Income ","Population Below Poverty Level","Population Income to Poverty Level","Percent Below 100% FPL","Percent Between 100% and 199% FPL","Unemployment Rate, 16 and Over","Percent Below 200% FPL","Percent High School or Less","Percent Some College or Greater","Labor Force Participation Rate ","Percent Non-White","Redlining (HOLC Grade)","Asthma Prevalence","Smoking Prevalence","Obesity Prevalence","COPD Prevalence","Lack of Health Care Access Prevalence","ICE, Nonwhite by Income ","ICE, Rent Versus Owned ","Particulate Matter ","Housing Stress","Percent Population Within Half a Mile to Parks","Percent Population With Access to Healthy Foods"
"51067020102","Census Tract 201.02; Franklin County; Virginia",-79.68581224,37.01701587,3656,95.5962800875273,86.2144420131291,6.2363238512035,0,2.37964989059081,0,0,0.765864332603939,4.40371991247265,2523,33834,3656,575,8.17391304347826,60.695652173913,0.9,68.8695652173913,32.3028141101863,67.6971858898137,68.6138154844692,13.7855579868709,NA,9.6,12.1,31.4,9.7,5.3,66.294964028777,84.9640287769784,5.82254644846646,23.9043824701195,0.5,3.86762360446571
"51067020103","Census Tract 201.03; Franklin County; Virginia",-79.69415812,37.06141241,2525,99.2079207920792,98.8118811881188,0,0,0,0,0,0.396039603960396,0.792079207920792,2085,36173,2525,277,16.2454873646209,12.2743682310469,4.2,28.5198555956679,29.7841726618705,70.2158273381295,71.8446601941748,1.18811881188119,NA,9.5,11.8,31.6,9.2,5.4,65.8630665380906,97.7820636451302,5.82254644846646,23.9043824701195,0.5,3.86762360446571
"51067020104","Census Tract 201.04; Franklin County; Virginia",-79.66529438,37.09558178,3052,96.4285714285714,92.6605504587156,1.53997378768021,0,0,0,0,2.22804718217562,3.57142857142857,2680,53710,3052,309,0,10.6796116504854,3.4,10.6796116504854,23.8059701492537,76.1940298507463,77.0942408376963,7.3394495412844,NA,9.1,9.2,29.4,7.6,4.2,71.3506139154161,93.7926330150068,5.84587567543138,NA,0,NA
"51067020200","Census Tract 202; Franklin County; Virginia",-79.80135656,37.03504603,5190,98.0732177263969,74.2196531791907,19.2100192678227,0.0770712909441233,0,0,0,4.56647398843931,1.92678227360308,3650,34379,5146,938,17.8038379530917,20.362473347548,2.9,38.1663113006397,51.1780821917808,48.8219178082192,70.3371481596041,25.7803468208092,NA,10.8,18.6,35.7,10.4,8.9,54.699427480916,72.6145038167939,5.81432716201532,18.0246913580247,1,NA
"51067020301","Census Tract 203.01; Franklin County; Virginia",-79.83737183,37.18148546,2317,94.605092792404,88.7354337505395,0.345274061286146,0,5.26542943461372,0,0,0.258955545964609,5.39490720759603,1741,46132,2317,536,0,24.8134328358209,2.7,24.8134328358209,49.7989661114302,50.2010338885698,80.7602792862684,11.2645662494605,NA,10.6,17.9,34.5,10.3,7.5,62.5267665952891,83.7259100642398,5.63132774092788,31.1688311688312,21,NA
"51067020302","Census Tract 203.02; Franklin County; Virginia",-79.75650354,37.14761402,3526,98.5536018150879,94.5547362450369,0.822461712989223,0.0567214974475326,1.67328417470221,0,0,1.44639818491208,1.44639818491208,2922,40534,3519,447,9.39597315436242,13.4228187919463,0.4,22.8187919463087,45.3456536618754,54.6543463381246,75.0393287886733,5.44526375496313,NA,9.6,13.1,32.1,8.8,5.9,62.3344947735192,84.5296167247387,5.63132774092788,NA,3,NA
"51067020400","Census Tract 204; Franklin County; Virginia",-79.88604493,37.10188246,5964,94.0140845070423,92.2367538564722,0.486250838363514,0,0.435949027498323,0,0,0.85513078470825,5.98591549295775,4576,39541,5964,1137,13.6323658751099,13.5444151275286,3.7,27.1767810026385,50.2403846153846,49.7596153846154,73.8643434971997,7.76324614352783,NA,10.5,16.6,33.9,10.2,8.1,55.1286903860712,81.11279333838,5.77570293326706,18.457469458264,10,NA
"51067020501","Census Tract 205.01; Franklin County; Virginia",-79.9495154,37.04065716,4300,90.8837209302326,85.2325581395349,4.16279069767442,0,0.465116279069767,0,0.186046511627907,0.837209302325581,9.11627906976744,2681,41727,4300,1050,0.380952380952381,47.1428571428571,2.2,47.5238095238095,43.0436404326744,56.9563595673256,77.3692810457516,14.7674418604651,NA,10.3,15.6,34.5,9.3,7.2,60.3064066852368,76.8802228412256,5.35456852982849,NA,10,11.9114935464044
"51067020502","Census Tract 205.02; Franklin County; Virginia",-80.04757527,37.06982024,3696,98.6742424242424,97.0238095238095,0.757575757575758,0.162337662337662,0,0,0,0.73051948051948,1.32575757575758,2699,33646,3676,784,45.7908163265306,8.41836734693877,0.7,54.2091836734694,49.2775101889589,50.7224898110411,80.641925777332,2.97619047619048,NA,10.5,17.6,35.5,10.6,7.7,58.4881486226778,81.4862267777066,5.35456852982849,23.9208633093525,21.3333333333333,6.81214578663055
"51067020600","Census Tract 206; Franklin County; Virginia",-80.09668665,36.89290947,3557,97.61034579702,87.4051166713523,7.92802923812201,0,0,0.0562271577171774,0,2.22097272982851,2.38965420298004,2059,19864,2793,543,15.4696132596685,18.9686924493554,3.9,34.4383057090239,38.9995143273434,61.0004856726566,72.278987116837,12.5948833286477,NA,10.9,16.3,33,9.4,8.2,60.8527131782946,82.8596037898363,5.58535361602843,23.5023041474654,15,53.5506094329624
