"GEOID","NAME","unw_centroid_long","unw_centroid_lat","Estimated Population","Percent Non-Hispanic","Percent Non-Hispanic White ","Percent Non-Hispanic Black ","Percent Non-Hispanic American Indian/Alaska Native ","Percent Non-Hispanic Asian ","Percent Non-Hispanic Native Hawaiian/Other Pacific Islander ","Percent Non-Hispanic Other ","Percent Non-Hispanic Two or More Races","Percent Hispanic ","Estimate Educated","Median Income ","Population Below Poverty Level","Population Income to Poverty Level","Percent Below 100% FPL","Percent Between 100% and 199% FPL","Unemployment Rate, 16 and Over","Percent Below 200% FPL","Percent High School or Less","Percent Some College or Greater","Labor Force Participation Rate ","Percent Non-White","Redlining (HOLC Grade)","Asthma Prevalence","Smoking Prevalence","Obesity Prevalence","COPD Prevalence","Lack of Health Care Access Prevalence","ICE, Nonwhite by Income ","ICE, Rent Versus Owned ","Particulate Matter ","Housing Stress","Percent Population Within Half a Mile to Parks","Percent Population With Access to Healthy Foods"
"51650010103","Census Tract 101.03; Hampton city; Virginia",-76.32126181,37.07686567,6316,99.5883470550982,69.632678910703,17.6852438252058,0,1.67827739075364,0,0.158328055731476,10.4338188727042,0.411652944901837,4723,54189,6277,1075,4.37209302325581,22.6046511627907,4.4,26.9767441860465,29.9597713317807,70.0402286682194,69.5428725994049,30.367321089297,NA,10.4,13.3,37.7,7.2,6,63.4907926341073,84.5876701361089,6.33042366084997,18.4332532398472,39.5,56.0630761364188
"51650010104","Census Tract 101.04; Hampton city; Virginia",-76.31114065,37.05099678,6658,90.6878942625413,39.1258636227095,41.2135776509462,0.300390507659958,0.630820066085912,0,0.345449083808952,9.07179333133073,9.3121057374587,4505,26780,6634,1464,29.3032786885246,39.8224043715847,4.9,69.1256830601093,40.0665926748058,59.9334073251942,68.3588317107093,60.8741363772905,NA,11.9,18.2,44.3,7.7,8.8,43.4680266771283,47.7834444880345,7.210393769142,43.0799220272904,68,NA
"51650010200","Census Tract 102; Hampton city; Virginia",-76.36165884,37.09007388,1559,88.3258499037845,58.2424631173829,10.7119948685055,0,15.3944836433611,2.24502886465683,0,1.73187940987813,11.6741500962155,498,27468,797,336,3.86904761904762,29.7619047619048,0,33.6309523809524,13.6546184738956,86.3453815261044,37.9061371841155,41.7575368826171,NA,9.3,9.2,27.8,2.3,7.6,61.3636363636364,1.65289256198347,6.72316036071758,41.3996994146496,24,69.9016890607839
"51650010304","Census Tract 103.04; Hampton city; Virginia",-76.41745271,37.07751898,8767,86.7571575225277,30.2840196190259,46.0476787954831,0.946732063419642,2.1444051556975,0,1.72236797079959,5.61195391810197,13.2428424774723,5619,45579,8723,1869,14.4997324772606,3.95933654360621,8.4,18.4590690208668,35.4689446520733,64.5310553479267,85.8110582204321,69.7159803809741,NA,10.8,14.9,40.3,5.4,7.1,51.6871604232199,52.301973119817,6.57008292022119,37.8992831648721,43.3333333333333,39.872689709258
"51650010306","Census Tract 103.06; Hampton city; Virginia",-76.37210644,37.05711935,6938,90.4295185932545,30.4987027961949,47.4200057653502,0,5.50590948400115,0,0,7.00490054770827,9.57048140674546,4206,36202,6922,1757,15.310187820148,26.2948207171315,8.4,41.6050085372795,49.3105087969567,50.6894912030433,80.0975050186407,69.5012972038051,NA,10.9,15.5,39.7,6.8,8.5,49.8238057948316,58.8488645262334,6.78849005564423,43.4948979591837,27.5,78.7726199842644
"51650010307","Census Tract 103.07; Hampton city; Virginia",-76.43960535,37.05801767,4987,96.1900942450371,21.3956286344496,54.2009223982354,0,5.71485863244436,0,0.200521355524363,14.6781632243834,3.8099057549629,3668,47019,4922,792,0,0,4,0,32.7971646673937,67.2028353326063,89.5210658984516,78.6043713655504,NA,10.5,12.4,39.3,6.5,6.9,52.258064516129,75.0372208436725,7.01886390597155,35.0373303029192,64.6666666666667,23.55483003785
"51650010309","Census Tract 103.09; Hampton city; Virginia",-76.44072375,37.03461619,4941,90.4068002428658,25.6425824731836,58.6520947176685,0.222626998583283,0.56668690548472,0,1.61910544424206,3.7037037037037,9.59319975713418,2971,31800,4910,1167,36.5038560411311,21.5081405312768,18.3,58.0119965724079,41.1309323460114,58.8690676539886,77.4280879864636,74.3574175268164,NA,11.8,17.4,43.4,7.8,9.9,42.2948473282443,35.4961832061069,7.30000019073486,45.1456310679612,72,27.1265907568654
"51650010310","Census Tract 103.10; Hampton city; Virginia",-76.42561574,37.03504863,4263,96.0121979826413,46.5165376495426,37.5322542810228,0,6.7558057705841,0,0,5.20760028149191,3.98780201735867,3345,40744,4203,737,22.6594301221167,12.2116689280868,8,34.8710990502035,37.4588938714499,62.5411061285501,82.1467688937568,53.4834623504574,NA,10.9,16.6,41,7.7,8,54.4752264251465,69.3127330847096,7.2954200170954,32.7635327635328,36,0.37122969837587
"51650010311","Census Tract 103.11; Hampton city; Virginia",-76.41331014,37.0508246,3841,90.7836500911221,29.2371778182765,53.2934131736527,0,4.11351210622234,0,0,4.13954699297058,9.2163499088779,2868,46667,3841,551,0,20.1451905626134,4.4,20.1451905626134,27.4407252440725,72.5592747559275,82.3483365949119,70.7628221817235,NA,11.5,15.4,41.1,7,6.8,46.8363816114681,57.0934256055363,7.29876088397971,31,27,NA
"51650010312","Census Tract 103.12; Hampton city; Virginia",-76.4192694,37.04564698,3669,94.358135731807,54.5652766421368,22.2949032433906,0,2.56200599618425,0,0,14.9359498500954,5.64186426819297,2627,45387,3669,826,0,33.4140435835351,2.8,33.4140435835351,44.6897601827179,55.3102398172821,86.0787824529991,45.4347233578632,NA,10.4,14,37.7,7.1,7.1,55.0659264399722,89.7987508674532,7.30328790189493,27.0833333333333,2,NA
"51650010314","Census Tract 103.14; Hampton city; Virginia",-76.39193543,37.07707144,1636,91.0757946210269,28.0562347188264,44.6821515892421,0.488997555012225,10.5745721271394,0,0,7.27383863080685,8.9242053789731,1158,45513,1617,320,15.3125,32.5,2.9,47.8125,32.2970639032815,67.7029360967185,83.8541666666667,71.9437652811736,NA,11.1,15.3,41.5,7.2,9,45.748730964467,59.5177664974619,6.59250097086429,37.2093023255814,17,52.1598272138229
"51650010315","Census Tract 103.15; Hampton city; Virginia",-76.39002172,37.04646185,3802,87.6643871646502,21.9884271436086,55.1814834297738,0,1.76223040504997,0,0,8.73224618621778,12.3356128353498,2506,36479,3673,403,15.136476426799,0,4.1,15.136476426799,40.5426975259377,59.4573024740622,82.1257961783439,78.0115728563914,NA,11.2,16.2,40.7,6.5,10.6,41.5322580645161,2.16733870967742,7.18122829424404,NA,0,NA
"51650010316","Census Tract 103.16; Hampton city; Virginia",-76.39141518,37.0533331,3631,85.1831451390801,23.4370696777747,53.9520793169926,0,4.544202698981,0,0,3.24979344533186,14.8168548609199,2891,44192,3491,286,0,63.2867132867133,2.2,63.2867132867133,31.3040470425458,68.6959529574542,87.5127942681679,76.5629303222253,NA,11.2,14.1,40.4,5,7.8,50.1379310344828,11.1264367816092,7.18122829424404,NA,0,NA
