"GEOID","NAME","unw_centroid_long","unw_centroid_lat","Estimated Population","Percent Non-Hispanic","Percent Non-Hispanic White ","Percent Non-Hispanic Black ","Percent Non-Hispanic American Indian/Alaska Native ","Percent Non-Hispanic Asian ","Percent Non-Hispanic Native Hawaiian/Other Pacific Islander ","Percent Non-Hispanic Other ","Percent Non-Hispanic Two or More Races","Percent Hispanic ","Estimate Educated","Median Income ","Population Below Poverty Level","Population Income to Poverty Level","Percent Below 100% FPL","Percent Between 100% and 199% FPL","Unemployment Rate, 16 and Over","Percent Below 200% FPL","Percent High School or Less","Percent Some College or Greater","Labor Force Participation Rate ","Percent Non-White","Redlining (HOLC Grade)","Asthma Prevalence","Smoking Prevalence","Obesity Prevalence","COPD Prevalence","Lack of Health Care Access Prevalence","ICE, Nonwhite by Income ","ICE, Rent Versus Owned ","Particulate Matter ","Housing Stress","Percent Population Within Half a Mile to Parks","Percent Population With Access to Healthy Foods"
"51660000101","Census Tract 1.01; Harrisonburg city; Virginia",-78.8567894,38.45469193,4232,63.1379962192817,39.5321361058601,10.0189035916824,0.25992438563327,4.93856332703214,0,0,8.38846880907372,36.8620037807183,2773,36947,4225,1077,34.447539461467,24.8839368616527,5.6,59.3314763231198,47.7100613054454,52.2899386945546,83.1026948288419,60.4678638941399,NA,10.7,16.5,39.7,6.4,14.6,48.5844287158746,45.7027300303337,6.99612760923115,26.302729528536,27,NA
"51660000102","Census Tract 1.02; Harrisonburg city; Virginia",-78.83893151,38.43861433,5543,66.6426123038066,51.686812195562,9.92242467977629,0,2.05664802453545,0,0.559263936496482,2.41746346743641,33.3573876961934,3523,42390,5488,1255,14.0239043824701,27.6494023904382,3.8,41.6733067729084,42.2934998580755,57.7065001419245,81.6812053925456,48.313187804438,NA,10.5,15.3,36.3,6.4,12.8,55.3580497714576,47.5876079228035,6.80071405794084,25.5635427502165,16.5,NA
"51660000203","Census Tract 2.03; Harrisonburg city; Virginia",-78.89443974,38.40825265,1619,85.4848672019765,70.7844348363187,2.22359481161211,0,2.16182828906733,0,0,10.3150092649784,14.5151327980235,930,38636,1619,260,18.0769230769231,24.2307692307692,2.2,42.3076923076923,31.505376344086,68.494623655914,83.9622641509434,29.2155651636813,NA,10.3,11.5,32.4,5.7,7.9,60.3968253968254,47.7777777777778,6.58007718088842,22.0177165354331,9,NA
"51660000204","Census Tract 2.04; Harrisonburg city; Virginia",-78.8616509,38.44289086,5093,63.6363636363636,49.4600431965443,7.83428234832123,0,1.11918319261732,0,0,5.22285489888082,36.3636363636364,2628,26415,4934,1187,12.636899747262,34.8778433024431,4.6,47.5147430497051,44.7488584474886,55.2511415525114,65.8358662613982,50.5399568034557,NA,10.9,16.8,39,7.8,13.5,54.2205582028591,40.571817562968,7.2660585920832,38.1270903010033,95,NA
"51660000205","Census Tract 2.05; Harrisonburg city; Virginia",-78.85285563,38.42248554,5773,90.8366533864542,71.8170795080547,5.97609561752988,0,7.98544950632254,0,1.07396500952711,3.98406374501992,9.16334661354582,2744,24159,5763,614,11.400651465798,26.5472312703583,10.3,37.9478827361564,21.2827988338192,78.7172011661808,71.8099642631911,28.1829204919453,NA,12,14.6,34.9,6.4,10.1,53.5492457852706,31.2333629103815,6.28555663970104,47.7647058823529,0,NA
"51660000206","Census Tract 2.06; Harrisonburg city; Virginia",-78.87087806,38.43629434,4769,93.2899979031243,75.9068987209058,3.92115747536171,0,6.62612707066471,0,0,6.83581463619207,6.71000209687566,35,3595,70,8,0,0,12,0,17.1428571428571,82.8571428571429,28.0731603572948,24.0931012790941,NA,11.8,9.2,25.4,2.6,7.9,77.7777777777778,85.1851851851852,7.00781216859603,11.7647058823529,40,NA
"51660000207","Census Tract 2.07; Harrisonburg city; Virginia",-78.86918756,38.42528689,5844,84.7878165639973,68.6002737850787,8.81245722108145,0,3.16563997262149,0,0.325119780971937,3.88432580424367,15.2121834360027,1082,7703,4741,493,69.9797160243408,20.2839756592292,8.2,90.26369168357,42.2365988909427,57.7634011090573,51.2995636501613,31.3997262149213,NA,13.1,15,34.9,5.2,13.2,45.3190220632081,5.36672629695886,6.54365811498544,43.653536977492,21.5,NA
"51660000301","Census Tract 3.01; Harrisonburg city; Virginia",-78.8965201,38.44424293,3386,82.48670998228,69.9054932073243,3.10100413467218,0,3.04193738924985,0,0.147666863555818,6.29060838747785,17.51329001772,2563,53817,3386,746,0,7.77479892761394,2.5,7.77479892761394,34.9200156067109,65.0799843932891,85.3298153034301,30.0945067926757,NA,9.3,10.2,32.8,5.8,6.8,62.9278951201748,75.1638747268755,6.27600680054497,17.037037037037,32,NA
"51660000302","Census Tract 3.02; Harrisonburg city; Virginia",-78.89389873,38.42697539,5714,76.9163458172909,62.5481274063703,6.75533776688834,0,1.45257262863143,0,1.45257262863143,4.70773538676934,23.0836541827091,2920,24591,5074,1261,21.7287866772403,36.3996827914354,9.8,58.1284694686757,37.6369863013699,62.3630136986301,79.2637711864407,37.4518725936297,NA,11.6,16.5,36.4,7.1,12.6,55.3940886699507,33.6453201970443,6.63729865455021,27.898811073083,11.3333333333333,NA
"51660000401","Census Tract 4.01; Harrisonburg city; Virginia",-78.86852028,38.47404112,3090,87.0550161812298,78.7702265372168,2.07119741100324,0,0.647249190938511,0,0.226537216828479,5.33980582524272,12.9449838187702,2206,23685,2437,243,31.6872427983539,18.9300411522634,5.8,50.6172839506173,40.1178603807797,59.8821396192203,69.3836978131213,21.2297734627832,NA,9.6,9.6,31.5,8.1,11.9,53.6576704545455,37.5,6.29148635780348,31.0025694216982,5.33333333333333,NA
