"GEOID","NAME","unw_centroid_long","unw_centroid_lat","Estimated Population","Percent Non-Hispanic","Percent Non-Hispanic White ","Percent Non-Hispanic Black ","Percent Non-Hispanic American Indian/Alaska Native ","Percent Non-Hispanic Asian ","Percent Non-Hispanic Native Hawaiian/Other Pacific Islander ","Percent Non-Hispanic Other ","Percent Non-Hispanic Two or More Races","Percent Hispanic ","Estimate Educated","Median Income ","Population Below Poverty Level","Population Income to Poverty Level","Percent Below 100% FPL","Percent Between 100% and 199% FPL","Unemployment Rate, 16 and Over","Percent Below 200% FPL","Percent High School or Less","Percent Some College or Greater","Labor Force Participation Rate ","Percent Non-White","Redlining (HOLC Grade)","Asthma Prevalence","Smoking Prevalence","Obesity Prevalence","COPD Prevalence","Lack of Health Care Access Prevalence","ICE, Nonwhite by Income ","ICE, Rent Versus Owned ","Particulate Matter ","Housing Stress","Percent Population Within Half a Mile to Parks","Percent Population With Access to Healthy Foods"
"51087200106","Census Tract 2001.06; Henrico County; Virginia",-77.57897181,37.60083859,5432,79.9705449189985,53.5346097201767,9.49926362297496,0,7.16126656848306,0,3.99484536082474,5.78055964653903,20.0294550810015,3665,34902,5411,1389,26.9978401727862,22.7501799856012,4.4,49.7480201583873,41.2278308321965,58.7721691678035,72.3841059602649,46.4653902798233,NA,11.1,18.1,37.2,9.2,10.3,52.6123046875,49.462890625,7.20251984948074,43.4343434343434,0,NA
"51087200108","Census Tract 2001.08; Henrico County; Virginia",-77.59336218,37.56692311,3171,97.1302428256071,86.8180384736676,1.1037527593819,0,7.72626931567329,0,0,1.48218227688426,2.86975717439294,1975,84007,2863,784,0,0,1.9,0,2.32911392405063,97.6708860759494,69.9095022624434,13.1819615263324,NA,9.1,8.1,28.4,5.3,3.1,90.0412796697626,98.3488132094943,6.27578099735252,17.0984455958549,7,NA
"51087200109","Census Tract 2001.09; Henrico County; Virginia",-77.56677048,37.57876468,3952,99.2155870445344,95.2935222672065,1.69534412955466,0,0.506072874493927,0,0.202429149797571,1.51821862348178,0.784412955465587,2540,80177,3952,1008,2.77777777777778,0,1.1,2.77777777777778,5.23622047244095,94.7637795275591,79.8607657881651,4.70647773279352,NA,9.3,8,29.7,4.6,3.3,83.5268505079826,95.7910014513788,6.48225685010624,15.7894736842105,0,82.8657865786579
"51087200122","Census Tract 2001.22; Henrico County; Virginia",-77.62337175,37.6271046,4632,98.6830742659758,69.8402417962003,3.67012089810017,0.496545768566494,19.1278065630397,0,0.345423143350604,5.20293609671848,1.31692573402418,3124,60515,4632,1360,0,8.30882352941176,6.3,8.30882352941176,9.63508322663252,90.3649167733675,84.644335716974,30.1597582037997,NA,9.1,8.6,29.8,3.7,3.8,68.9139719341062,90.4820012202563,6.28570908489946,16.1094224924012,0,NA
"51087200123","Census Tract 2001.23; Henrico County; Virginia",-77.64343651,37.61691867,3004,93.4420772303595,59.2876165113182,25.8655126498003,0,3.29560585885486,0.99866844207723,0,3.99467376830892,6.55792276964048,2202,45102,3004,390,8.46153846153846,41.025641025641,4,49.4871794871795,20.8446866485014,79.1553133514986,85.8024691358025,40.7123834886818,NA,10.5,11.3,34.8,6.4,6.9,50.8656509695291,44.3905817174515,6.48094593197459,26.6891891891892,0,71.1741424802111
"51087200124","Census Tract 2001.24; Henrico County; Virginia",-77.62223472,37.61613825,4994,82.8193832599119,72.5070084100921,6.5278334000801,0,0.66079295154185,0,0.340408490188226,2.78334000800961,17.1806167400881,3511,59075,4744,1408,29.1903409090909,1.49147727272727,1.7,30.6818181818182,20.8772429507263,79.1227570492737,87.2837774661057,27.4929915899079,NA,10,11.5,32.6,7.2,5.7,68.7533440342429,70.1444622792937,6.36711747166035,32.4390243902439,0,1.52568992595917
"51087200125","Census Tract 2001.25; Henrico County; Virginia",-77.56036396,37.63083388,3909,95.1650038372985,37.8613456126887,23.5354310565362,1.38142747505756,27.3727295983628,0,0,5.01407009465336,4.83499616270146,2591,51490,3909,1083,20.129270544783,38.4118190212373,4.9,58.5410895660203,23.1184870706291,76.8815129293709,86.8144252441773,62.1386543873113,NA,9.9,12.2,32.5,4.5,7.1,51.1020881670534,19.3155452436195,7.22189021567543,41.9642857142857,0,NA
"51087200126","Census Tract 2001.26; Henrico County; Virginia",-77.55101382,37.63318897,3697,89.7484446848796,37.3546118474439,20.2596700027049,0,27.1842034081688,0,3.32702190965648,1.6229375169056,10.2515553151204,2805,45554,3639,501,24.5508982035928,0,2.3,24.5508982035928,23.2798573975045,76.7201426024955,84.4695588771418,62.6453881525561,NA,9.9,13.2,31.9,3.8,6.9,46.7233009708738,8.44660194174757,7.49330060083213,36.2980769230769,0,NA
"51087200127","Census Tract 2001.27; Henrico County; Virginia",-77.59024536,37.63015673,6012,96.4404524284764,84.3479707252162,5.18962075848303,0,4.85695276114438,0,0,2.04590818363273,3.55954757152362,4226,58220,5942,1538,0,4.29128738621587,3.5,4.29128738621587,11.6895409370563,88.3104590629437,83.1432973805855,15.6520292747838,NA,8.8,7.1,27.8,4.7,3.6,73.8907849829352,75.1279863481229,6.56010539605285,17.965367965368,65,68.038383465584
"51087200131","Census Tract 2001.31; Henrico County; Virginia",-77.54464367,37.60605475,1629,96.8692449355433,67.4647022713321,9.2694904849601,0,12.9527317372621,0,0,7.18232044198895,3.13075506445672,1199,51250,1629,291,24.0549828178694,2.06185567010309,7.8,26.1168384879725,19.9332777314429,80.0667222685571,81.3165537270087,32.5352977286679,NA,10.3,12.7,33.7,6.3,6.7,55.6860321384425,52.1631644004944,6.84972594839226,NA,53,12.4951793289626
