"GEOID","NAME","unw_centroid_long","unw_centroid_lat","Estimated Population","Percent Non-Hispanic","Percent Non-Hispanic White ","Percent Non-Hispanic Black ","Percent Non-Hispanic American Indian/Alaska Native ","Percent Non-Hispanic Asian ","Percent Non-Hispanic Native Hawaiian/Other Pacific Islander ","Percent Non-Hispanic Other ","Percent Non-Hispanic Two or More Races","Percent Hispanic ","Estimate Educated","Median Income ","Population Below Poverty Level","Population Income to Poverty Level","Percent Below 100% FPL","Percent Between 100% and 199% FPL","Unemployment Rate, 16 and Over","Percent Below 200% FPL","Percent High School or Less","Percent Some College or Greater","Labor Force Participation Rate ","Percent Non-White","Redlining (HOLC Grade)","Asthma Prevalence","Smoking Prevalence","Obesity Prevalence","COPD Prevalence","Lack of Health Care Access Prevalence","ICE, Nonwhite by Income ","ICE, Rent Versus Owned ","Particulate Matter ","Housing Stress","Percent Population Within Half a Mile to Parks","Percent Population With Access to Healthy Foods"
"51107610101","Census Tract 6101.01; Loudoun County; Virginia",-77.69832931,39.2691941,5024,92.2372611464968,78.9211783439491,5.45382165605096,0,5.11544585987261,0,0,2.7468152866242,7.76273885350318,3552,67016,5024,1179,0.678541136556404,4.58015267175572,5.8,5.25869380831213,27.9842342342342,72.0157657657658,82.2222222222222,21.078821656051,NA,9.9,11.7,33.2,6.1,5.2,72.2124927028605,96.7308814944542,6.76046295752221,22.3837209302326,16,NA
"51107610102","Census Tract 6101.02; Loudoun County; Virginia",-77.60943375,39.26361396,3621,91.4940624136979,81.4692074012704,1.76746755040044,0.193316763325048,4.14250207125104,0,0.44186688760011,3.47970173985087,8.50593758630213,2411,73221,3517,806,0.620347394540943,9.18114143920596,5.1,9.8014888337469,21.0700953961012,78.9299046038988,90.1124648547329,18.5307925987296,NA,9.7,10.6,32.9,5.8,4.9,78.1932773109244,88.6554621848739,6.96625899920148,25,8,NA
"51107610201","Census Tract 6102.01; Loudoun County; Virginia",-77.70617444,39.19047772,6227,91.5368556287137,82.2707563834912,3.14758310582945,0,1.54167335795728,0,0.19270916974466,4.38413361169102,8.46314437128633,4123,80586,6216,1711,0,0.526008182349503,3.5,0.526008182349503,16.8324035896192,83.1675964103808,83.907031479847,17.7292436165088,NA,9.5,9.2,31.5,5.3,4.6,83.2922013820336,90.8193484698914,6.7848746409116,23.939588688946,8,NA
"51107610202","Census Tract 6102.02; Loudoun County; Virginia",-77.78680827,39.15042721,5770,92.0970537261698,83.8994800693241,2.65164644714038,0.0693240901213172,1.75043327556326,0,0.0346620450606586,3.69150779896014,7.90294627383016,3469,70422,5770,1923,0.31201248049922,0.93603744149766,2.8,1.24804992199688,14.9610838858461,85.0389161141539,86.6045428072219,16.1005199306759,NA,9.6,11.1,32.1,5.1,4.6,84.4178082191781,90.6392694063927,6.35081440983404,17.6646180860404,32.5,1.99173243141676
"51107610300","Census Tract 6103; Loudoun County; Virginia",-77.55570648,39.20129613,8568,86.577964519141,70.6582633053221,3.58309990662932,0,6.41923436041083,0,0.186741363211951,5.73062558356676,13.422035480859,5722,73599,8536,1873,0,0,1.3,0,13.7015029709892,86.2984970290108,80.3515839589819,29.3417366946779,NA,9.1,7.5,30.4,4.2,4.3,80.5655619596542,92.6512968299712,7.05915053244982,16.9201520912548,7,NA
"51107610400","Census Tract 6104; Loudoun County; Virginia",-77.57146308,39.13435326,4675,84.7272727272727,74.2673796791444,3.8716577540107,0,1.96791443850267,0,0.684491978609626,3.93582887700535,15.2727272727273,3141,75525,4387,1147,8.97994768962511,5.84132519616391,3.4,14.821272885789,19.0066857688634,80.9933142311366,86.232980332829,25.7326203208556,NA,9.5,9.9,31.6,6.1,5.4,79.3125,79.5625,7.2276013858133,16.8625336927224,16,28.5360917472453
"51107610503","Census Tract 6105.03; Loudoun County; Virginia",-77.52822928,39.12394843,8121,93.1535525181628,60.0664942741042,9.80174855313385,0.049255017854944,18.8646718384435,0,0.381726388375816,3.98965644625046,6.84644748183721,5217,82075,8121,2414,3.72825186412593,0.745650372825186,1.9,4.47390223695112,15.104466168296,84.895533831704,89.7827363476218,39.9335057258958,NA,9.2,9.1,30.5,3.9,5,79.4594594594595,94.8856548856549,7.64390979508968,26.219512195122,47,14.0343468468468
"51107610504","Census Tract 6105.04; Loudoun County; Virginia",-77.55019742,39.12204875,7089,82.2683030046551,62.2654817322613,9.04217802228805,0,6.68641557342361,0,0,4.27422767668218,17.7316969953449,4974,49307,7060,1359,0,4.41501103752759,2,4.41501103752759,19.8632891033374,80.1367108966626,84.6549507072439,37.7345182677387,NA,9.8,10.9,33.2,4.9,6.7,67.3529411764706,65.9607843137255,8.14160555338593,25.9328358208955,82,10.6131386861314
"51107610505","Census Tract 6105.05; Loudoun County; Virginia",-77.55099657,39.10991266,6148,68.0221210149642,43.8679245283019,10.377358490566,0,10.4749512036435,0,0.878334417696812,2.42355237475602,31.9778789850358,3881,42777,6100,1550,36.7096774193548,8.51612903225806,4.2,45.2258064516129,41.0461221334708,58.9538778665292,79.8358132375577,56.1320754716981,NA,10.2,15.6,39.3,5.6,17.9,62.7460393662986,48.4877580412866,8.2663175490525,49.0216020182908,2.5,NA
"51107610506","Census Tract 6105.06; Loudoun County; Virginia",-77.52698328,39.09026171,5976,82.6305220883534,41.2650602409639,8.08232931726908,0.133868808567604,27.8279785809906,0,0,5.32128514056225,17.3694779116466,3795,57581,5890,1587,2.45746691871456,14.6817895400126,2.5,17.1392564587272,23.0830039525692,76.9169960474308,89.6350734921439,58.7349397590361,NA,9.5,11.4,33.8,4.6,7.8,64.2616642616643,51.9480519480519,7.5441927755476,22.5074594634389,8,38.2215921538073
