"GEOID","NAME","unw_centroid_long","unw_centroid_lat","Estimated Population","Percent Non-Hispanic","Percent Non-Hispanic White ","Percent Non-Hispanic Black ","Percent Non-Hispanic American Indian/Alaska Native ","Percent Non-Hispanic Asian ","Percent Non-Hispanic Native Hawaiian/Other Pacific Islander ","Percent Non-Hispanic Other ","Percent Non-Hispanic Two or More Races","Percent Hispanic ","Estimate Educated","Median Income ","Population Below Poverty Level","Population Income to Poverty Level","Percent Below 100% FPL","Percent Between 100% and 199% FPL","Unemployment Rate, 16 and Over","Percent Below 200% FPL","Percent High School or Less","Percent Some College or Greater","Labor Force Participation Rate ","Percent Non-White","Redlining (HOLC Grade)","Asthma Prevalence","Smoking Prevalence","Obesity Prevalence","COPD Prevalence","Lack of Health Care Access Prevalence","ICE, Nonwhite by Income ","ICE, Rent Versus Owned ","Particulate Matter ","Housing Stress","Percent Population Within Half a Mile to Parks","Percent Population With Access to Healthy Foods"
"51680000100","Census Tract 1; Lynchburg city; Virginia",-79.19516946,37.45237936,4197,95.044079104122,80.9387657850846,7.33857517274244,0.190612342149154,0.83392899690255,0,1.11984751012628,4.62234929711699,4.95592089587801,2551,46220,3627,1046,6.88336520076482,18.4512428298279,4.8,25.3346080305927,11.2896903175225,88.7103096824775,71.4285714285714,19.0612342149154,NA,9.3,8.4,30.5,6.6,4.3,64.0681003584229,65.4121863799283,5.75381779731666,25.7396449704142,0,NA
"51680000201","Census Tract 2.01; Lynchburg city; Virginia",-79.22947569,37.43110545,6589,93.4891485809683,81.5449992411595,5.17529215358932,0,1.07755349825467,0,2.18546061617848,3.50584307178631,6.51085141903172,4274,41769,6522,1577,9.95561192136969,16.2967660114141,2,26.2523779327838,16.2377164248947,83.7622835751053,81.3822662737744,18.4550007588405,NA,9.4,9.5,32.2,6.1,4.3,67.7453027139875,76.3256784968685,5.58836977579874,12.1699019796271,0,NA
"51680000203","Census Tract 2.03; Lynchburg city; Virginia",-79.18344381,37.39956021,2097,93.7529804482594,70.6723891273247,16.5474487362899,0,3.76728659990463,0,0.619933237958989,2.14592274678112,6.24701955174058,145,4783,272,24,0,0,4.5,0,4.82758620689655,95.1724137931034,43.0024213075061,29.3276108726753,3,12.4,8.3,28.1,2.6,7.2,43.5,8,6.72749236022884,35,0,NA
"51680000204","Census Tract 2.04; Lynchburg city; Virginia",-79.21786889,37.41394746,3554,95.8919527293191,50.5627462014631,34.1024198086663,0,2.19471018570625,0,0,9.0320765334834,4.10804727068092,2151,27917,3534,615,47.3170731707317,13.9837398373984,6.9,61.3008130081301,34.6815434681543,65.3184565318456,67.8673761768318,49.4372537985369,NA,11.1,15.2,41.4,7.1,7.6,47.9702300405954,43.5723951285521,5.88433891847185,NA,0,NA
"51680000205","Census Tract 2.05; Lynchburg city; Virginia",-79.20063092,37.41109105,2752,99.6366279069768,77.3619186046512,17.1875,0,0.218023255813953,0,4.79651162790698,0.0726744186046512,0.363372093023256,1994,29663,2752,449,22.71714922049,40.0890868596882,15.2,62.8062360801782,25.6770310932798,74.3229689067202,77.6576576576577,22.6380813953488,NA,11.9,18.9,43.8,11,9.4,55.2735923869945,56.8596352101507,5.88433891847185,NA,0,NA
"51680000300","Census Tract 3; Lynchburg city; Virginia",-79.17581372,37.42178217,4396,97.270245677889,57.7115559599636,34.5768880800728,0,0.409463148316652,0,1.31938125568699,3.25295723384895,2.72975432211101,2641,30750,4000,1174,20.1873935264055,34.412265758092,15,54.5996592844974,32.4498296099962,67.5501703900038,80.9618244918195,42.2884440400364,2.08142884311662,10.3,11.7,37.1,7.3,6.9,49.4259471871412,42.5947187141217,6.29219392811133,32.7536231884058,2,NA
"51680000400","Census Tract 4; Lynchburg city; Virginia",-79.15309102,37.42868292,2912,99.6222527472527,41.1744505494505,57.5549450549451,0,0.789835164835165,0,0,0.103021978021978,0.377747252747253,1856,30554,2904,590,30.6779661016949,31.6949152542373,5.2,62.3728813559322,40.5711206896552,59.4288793103448,73.5638027452974,58.8255494505495,3.28990506656742,11.9,19.5,45.9,9.6,10.1,43.7238493723849,49.9581589958159,6.64034429034221,35.9504132231405,7,12.5269048643995
"51680000500","Census Tract 5; Lynchburg city; Virginia",-79.14143447,37.41431465,628,97.4522292993631,74.6815286624204,13.0573248407643,0,0.318471337579618,0,0,9.39490445859873,2.54777070063694,352,36218,628,52,0,0,3,0,16.1931818181818,83.8068181818182,95.2741020793951,25.3184713375796,NA,10.9,13.9,36.3,4.4,6.6,49.002493765586,4.23940149625935,6.94427412637028,41.3888888888889,70,NA
"51680000600","Census Tract 6; Lynchburg city; Virginia",-79.15280951,37.4139996,3106,94.1081777205409,25.1126851255634,67.0315518351578,0.193174500965873,0,0,0,1.77076625885383,5.89182227945911,2064,20191,2803,497,32.1931589537223,8.65191146881288,2.7,40.8450704225352,60.1259689922481,39.8740310077519,59.346545259775,74.8873148744366,3.38999186132642,12.5,22,47.8,10.1,11.5,34.8096026490066,27.0695364238411,6.6979791044603,43.9130434782609,18,NA
"51680000700","Census Tract 7; Lynchburg city; Virginia",-79.16260028,37.40272074,3113,95.342113716672,38.4195309990363,52.328943141664,0,0,0,1.92740122068744,2.66623835528429,4.65788628332798,1891,20597,3092,1018,30.2554027504912,52.5540275049116,2.7,82.8094302554027,50.5552617662612,49.4447382337388,67.2121212121212,61.5804690009637,2.93724543554526,13.2,24.8,48.5,11.4,11.9,39.6677471636953,38.5737439222042,6.89622811834367,31.7689530685921,54,NA
"51680000801","Census Tract 8.01; Lynchburg city; Virginia",-79.17403689,37.39969596,2229,90.1301031852849,64.6926873037236,20.3678779721848,0,1.79452669358457,0,0,3.27501121579184,9.86989681471512,1162,24832,2019,426,5.86854460093897,27.9342723004695,6.5,33.8028169014084,45.697074010327,54.302925989673,66.0331085223789,35.3073126962764,2.2196060369136,11.8,17.1,39.6,6.8,8.8,52.4793388429752,56.33608815427,6.64840553862788,31.2704286154795,22,NA
"51680000802","Census Tract 8.02; Lynchburg city; Virginia",-79.19370949,37.39262949,3031,96.7667436489607,59.4853183767733,27.5816562190696,0.164962058726493,4.38799076212471,0,2.2764764104256,2.87033982184098,3.23325635103926,1671,32669,3031,449,11.804008908686,20.7126948775056,3.3,32.5167037861915,34.8892878515859,65.1107121484141,85.04753673293,40.5146816232267,3,10.7,13.6,35.6,6.1,7.9,54.4094488188976,39.8425196850394,6.40689712708113,31.9787644787645,0,NA
"51680000901","Census Tract 9.01; Lynchburg city; Virginia",-79.19640917,37.37514165,3965,97.8814627994956,72.5598991172762,22.3707440100883,0.151324085750315,0.529634300126103,0,0.781841109709962,1.48802017654477,2.11853720050441,2722,35613,3672,886,3.49887133182844,25.6207674943567,10.5,29.1196388261851,42.2483468038207,57.7516531961793,76.9193391642371,27.4401008827238,NA,10.5,13.3,36.2,8.3,8.2,56.871546961326,71.2016574585635,5.97028747979901,NA,0,NA
"51680000902","Census Tract 9.02; Lynchburg city; Virginia",-79.2127916,37.38538191,3227,96.8701580415246,53.1143476913542,34.7381468856523,0,0.805701890300589,0,0.867678958785249,7.34428261543229,3.12984195847536,1611,37148,3209,760,10.6578947368421,18.6842105263158,1.2,29.3421052631579,24.9534450651769,75.0465549348231,80.7850296668188,46.8856523086458,NA,11.1,13.8,36.9,5,8.2,48.5015772870662,24.3690851735016,5.97028747979901,NA,0,NA
"51680001000","Census Tract 10; Lynchburg city; Virginia",-79.17822919,37.38124496,2775,92.8288288288288,67.6036036036036,22.8108108108108,0,0.18018018018018,0,0,2.23423423423423,7.17117117117117,1859,33485,2775,514,3.50194552529183,17.704280155642,3,21.2062256809339,34.6960731576116,65.3039268423884,75.207526286663,32.3963963963964,1.28143645330205,10.5,14.1,37.2,6.7,7.4,52.6135389888603,60.9254498714653,6.63491358162102,19.9186991869919,0,NA
"51680001100","Census Tract 11; Lynchburg city; Virginia",-79.14608939,37.40495305,1819,94.172622319956,14.4035184167125,65.0357339197361,0.549752611324904,0.439802089059923,0,9.1258933479934,4.61792193512919,5.82737768004398,1108,26696,1706,432,49.0740740740741,44.212962962963,1,93.287037037037,49.4584837545126,50.5415162454874,75.2952755905512,85.5964815832875,3.29765113328319,12,17.5,46.3,8.1,9.5,42.588092345079,36.5735115431349,6.8249639778113,45.0617283950617,48,NA
