"GEOID","NAME","unw_centroid_long","unw_centroid_lat","Estimated Population","Percent Non-Hispanic","Percent Non-Hispanic White ","Percent Non-Hispanic Black ","Percent Non-Hispanic American Indian/Alaska Native ","Percent Non-Hispanic Asian ","Percent Non-Hispanic Native Hawaiian/Other Pacific Islander ","Percent Non-Hispanic Other ","Percent Non-Hispanic Two or More Races","Percent Hispanic ","Estimate Educated","Median Income ","Population Below Poverty Level","Population Income to Poverty Level","Percent Below 100% FPL","Percent Between 100% and 199% FPL","Unemployment Rate, 16 and Over","Percent Below 200% FPL","Percent High School or Less","Percent Some College or Greater","Labor Force Participation Rate ","Percent Non-White","Redlining (HOLC Grade)","Asthma Prevalence","Smoking Prevalence","Obesity Prevalence","COPD Prevalence","Lack of Health Care Access Prevalence","ICE, Nonwhite by Income ","ICE, Rent Versus Owned ","Particulate Matter ","Housing Stress","Percent Population Within Half a Mile to Parks","Percent Population With Access to Healthy Foods"
"51121020100","Census Tract 201; Montgomery County; Virginia",-80.42822438,37.22407473,9258,91.2292071721754,63.8258803197235,8.29552819183409,0.57247785698855,11.5467703607691,0,0,6.98855044286023,8.77079282782458,48,4664,0,0,NA,NA,5.3,NA,77.0833333333333,22.9166666666667,43.6157452840475,36.1741196802765,NA,11.3,8.2,24.1,2.4,9,NA,NA,5.68041905608967,NA,0,36.3576141680433
"51121020201","Census Tract 202.01; Montgomery County; Virginia",-80.44800668,37.21256339,5952,95.0268817204301,68.4811827956989,1.1760752688172,0.638440860215054,19.304435483871,1.1760752688172,1.83131720430108,2.41935483870968,4.97311827956989,2384,22403,5952,546,12.6373626373626,11.9047619047619,2.6,24.5421245421245,11.9127516778523,88.0872483221476,54.3838862559242,31.5188172043011,NA,10.7,12.3,30,4.9,8.2,52.6817375886525,19.3262411347518,5.02700215111763,52.2352941176471,0,0.0179629962277708
"51121020202","Census Tract 202.02; Montgomery County; Virginia",-80.42300648,37.19495199,3073,98.5681744223885,82.3299707126586,4.71851610803775,1.00878620240807,5.17409697364139,0,2.76602668402213,2.57077774162057,1.43182557761145,2582,31879,2778,278,4.31654676258993,39.9280575539568,3.3,44.2446043165468,32.2618125484121,67.7381874515879,74.1875,17.6700292873414,NA,9.6,10.6,29.5,8,8.6,52.1090201168073,26.930564568462,5.34700852180734,35.2542372881356,4.66666666666667,42.0192690365058
"51121020301","Census Tract 203.01; Montgomery County; Virginia",-80.43030429,37.23653959,3236,97.2496909765142,73.053152039555,6.30407911001236,0.0618046971569839,14.4622991347342,1.88504326328801,0,1.48331273176761,2.75030902348578,1111,15360,3236,247,0,0,3.1,0,10.1710171017102,89.8289828982898,50.1846381093058,26.946847960445,NA,11.4,13.6,30.1,4.9,9.5,50.0377928949357,23.3560090702948,4.87084213687146,NA,31,22.2779805352798
"51121020302","Census Tract 203.02; Montgomery County; Virginia",-80.45630867,37.24805084,4118,94.9247207382224,80.1117047110248,0.849927149101506,0,9.25206410879067,0,1.23846527440505,3.47255949490044,5.07527926177756,2527,52518,3655,670,0,0,1.7,0,30.8666402849228,69.1333597150772,72.0404721753794,19.8882952889752,NA,9.5,11.9,30.1,6,5.9,74.3618618618619,80.2552552552552,5.0477649491214,NA,26.5,22.2779805352798
"51121020401","Census Tract 204.01; Montgomery County; Virginia",-80.42139074,37.24324911,2348,96.2947189097104,81.5587734241908,4.77001703577513,0.383304940374787,7.5809199318569,0,0,2.00170357751278,3.70528109028961,357,8602,2348,3,0,100,3.4,100,28.2913165266106,71.7086834733894,34.5984112974404,18.4412265758092,NA,12.9,16.7,33.3,5.3,12.4,42.0584498094028,4.95552731893266,5.17582290854144,NA,3,0.604579367121173
"51121020402","Census Tract 204.02; Montgomery County; Virginia",-80.41958149,37.2550997,4450,96.1348314606741,82.4943820224719,1.07865168539326,0,8.24719101123596,0,0.269662921348315,4.04494382022472,3.86516853932584,1752,13510,4439,668,28.4431137724551,0,8.8,28.4431137724551,17.1232876712329,82.8767123287671,46.0506251906069,17.5056179775281,NA,11,13,30.9,5.6,9.2,55.4071661237785,43.5830618892508,5.17582290854144,NA,3,0.604579367121173
"51121020500","Census Tract 205; Montgomery County; Virginia",-80.38171946,37.26235975,6878,97.063099738296,84.8211689444606,2.77697004943297,0,4.84152369874964,0,2.03547542890375,2.58796161674905,2.93690026170398,3536,37650,6878,1181,5.75783234546994,23.454699407282,2.3,29.2125317527519,12.8110859728507,87.1889140271493,66.1557326793378,15.1788310555394,NA,9.9,9.8,29.2,4.8,5.8,64.668465690054,48.1881264456438,4.95980542223709,22.6170418006431,14,11.7769814198997
"51121020600","Census Tract 206; Montgomery County; Virginia",-80.38629226,37.22963134,5988,97.7955911823647,83.4168336673347,2.80561122244489,0,6.71342685370741,0,0.233800935203741,4.62591850367401,2.20440881763527,3681,43201,5930,929,0,0,5,0,9.20945395273024,90.7905460472698,67.7642980935875,16.5831663326653,NA,9.2,7.3,26.7,4,5,68.6864219371959,51.8354710305175,4.99633040293182,23.0769230769231,0,NA
"51121020701","Census Tract 207.01; Montgomery County; Virginia",-80.41196221,37.21175607,2611,97.0126388356951,76.7522022213711,6.31941784756798,1.64687859057832,12.2941401761777,0,0,0,2.98736116430486,1477,43167,2539,118,0,40.6779661016949,3.9,40.6779661016949,7.65064319566689,92.3493568043331,53.5367545076283,23.2477977786289,NA,10.8,13.3,31.1,5.3,6.2,55.2919708029197,27.2262773722628,5.40516658851648,NA,0,13.917349726776
"51121020702","Census Tract 207.02; Montgomery County; Virginia",-80.38419992,37.20033136,3760,97.7659574468085,80.718085106383,6.51595744680851,0,7.34042553191489,0,0,3.19148936170213,2.23404255319149,2280,29825,3719,418,18.4210526315789,35.8851674641148,5.2,54.3062200956938,20.1315789473684,79.8684210526316,60.8389261744966,19.281914893617,NA,10.4,11.5,31.2,4.9,7.1,50.5428226779252,29.3124246079614,5.41220990347471,NA,4.5,13.1641605430364
"51121020801","Census Tract 208.01; Montgomery County; Virginia",-80.37765405,37.16140219,4131,99.0075042362624,88.5015734688937,7.04429920116195,0,0.387315419995159,0,0,3.07431614621157,0.992495763737594,2907,34788,4081,844,22.8672985781991,16.3507109004739,1.6,39.218009478673,42.1052631578947,57.8947368421053,83.8479809976247,11.4984265311063,NA,11,15.8,35.4,8.2,8.1,58.3711691259932,59.8183881952327,5.41925321843294,NA,9,12.4109713592969
"51121020802","Census Tract 208.02; Montgomery County; Virginia",-80.40286152,37.13572225,2512,98.6863057324841,77.8662420382166,8.39968152866242,0.119426751592357,8.35987261146497,0,2.10987261146497,1.8312101910828,1.31369426751592,1864,30250,2510,398,31.1557788944724,38.4422110552764,3.1,69.5979899497487,40.6115879828326,59.3884120171674,69.9029126213592,22.1337579617834,NA,11.6,16.7,36.3,8,8.4,56.1837455830389,46.113074204947,5.41925321843294,NA,9,12.4109713592969
"51121020900","Census Tract 209; Montgomery County; Virginia",-80.34570066,37.12782081,4830,98.0538302277433,87.7018633540373,4.63768115942029,0.20703933747412,1.05590062111801,0.786749482401656,1.46997929606625,2.19461697722567,1.94616977225673,3382,45878,4742,1169,3.50727117194183,16.2532078699743,4.7,19.7604790419162,30.1596688350089,69.8403311649911,85.2407536636427,12.2981366459627,NA,10.5,14.5,34.5,7.8,5.9,56.1703212646609,60.6323304436512,5.09673012377913,19.0082644628099,0,36.6719872306464
"51121021000","Census Tract 210; Montgomery County; Virginia",-80.42231896,37.11072926,5094,99.332548095799,89.1833529642717,1.92383195916765,0.215940321947389,3.5924617196702,0,0.588928150765607,3.82803297997644,0.667451904201021,3477,46913,4983,1094,14.3510054844607,12.0658135283364,0.8,26.4168190127971,29.4506758700029,70.5493241299971,81.7912413566019,10.8166470357283,NA,10.4,12.8,34,6.9,6.1,66.5620473201352,80.2993722839208,5.17406461429406,26.879271070615,0,64.9244060475162
"51121021101","Census Tract 211.01; Montgomery County; Virginia",-80.4361298,37.14200994,3567,95.4022988505747,87.860947574993,5.10232688533782,0,0.280347631062518,0,0,2.15867675918138,4.59770114942529,2780,44916,3556,508,8.26771653543307,25.7874015748031,2.9,34.0551181102362,20.7913669064748,79.2086330935252,80.8641975308642,12.139052425007,NA,9.5,8.5,30.7,4.9,5.1,64.6312684365782,67.2566371681416,5.34380228594067,NA,3,23.4720505425079
"51121021102","Census Tract 211.02; Montgomery County; Virginia",-80.42803608,37.16512665,4740,80.7172995780591,72.7637130801688,3.88185654008439,0,2.84810126582278,0,0,1.22362869198312,19.2827004219409,3530,46652,4740,811,3.45252774352651,23.5511713933416,0.6,27.0036991368681,24.6458923512748,75.3541076487252,76.4496274700356,27.2362869198312,NA,10.1,12.3,31.8,5.2,6.1,58.8935574229692,56.4892623716153,5.32655375428207,35.2542372881356,5.66666666666667,45.2041693084164
"51121021201","Census Tract 212.01; Montgomery County; Virginia",-80.52466283,37.22520171,3060,99.0522875816993,90.0326797385621,2.94117647058824,0,0.42483660130719,0,0,5.65359477124183,0.947712418300654,2345,41942,3060,566,18.7279151943463,15.017667844523,1.1,33.7455830388693,32.8784648187633,67.1215351812367,76.7146974063401,9.96732026143791,NA,10.1,12.4,33,6.8,5.8,57.9930795847751,65.3979238754325,5.0477649491214,NA,26.5,22.2779805352798
"51121021202","Census Tract 212.02; Montgomery County; Virginia",-80.50369254,37.1662766,2614,94.7972456006121,70.9257842387146,8.1866870696251,0,12.9686304514155,0,0.229533282325937,2.48661055853099,5.20275439938791,1775,40861,2614,643,20.5287713841369,13.3748055987558,2.3,33.9035769828927,36.6760563380282,63.3239436619718,69.5044472681067,29.0742157612854,NA,10.9,16.7,35.1,8,8,52.4342745861733,67.1859785783836,5.22468776137135,NA,22,NA
"51121021300","Census Tract 213; Montgomery County; Virginia",-80.32147905,37.27152563,3709,95.5244001078458,92.1272580210299,0.781881908870316,0.188730115934214,1.13238069560528,0,0,1.29414936640604,4.47559989215422,2738,55488,3638,823,0,0,0,0,19.8319941563185,80.1680058436815,75.4973313925279,7.87274197897007,NA,9.6,11.1,31.7,6.5,4.3,72.9208250166334,83.7658017298736,4.85986550680232,16.995392316107,62,6.01760111020644
"51121021400","Census Tract 214; Montgomery County; Virginia",-80.24711816,37.151445,5076,86.50512214342,83.7667454688731,2.02915681639086,0,0,0,0.354609929078014,0.354609929078014,13.49487785658,3664,33573,5070,915,50.1639344262295,5.46448087431694,8.8,55.6284153005465,55.1310043668122,44.8689956331878,76.1142498430634,16.2332545311269,NA,11.5,20.4,38.1,10.7,9.3,53.8092956396742,68.9506468615237,4.9280547295379,18.848167539267,0,1.97922790515383
"51121021501","Census Tract 215.01; Montgomery County; Virginia",-80.51112212,37.06676158,4211,99.7387793873189,95.1555450011874,1.42483970553313,0,0,0,0.617430539064355,2.54096414153408,0.261220612681073,3003,39060,4211,916,6.65938864628821,46.2882096069869,3.2,52.9475982532751,44.022644022644,55.977355977356,85.463563525372,4.84445499881263,NA,10.5,16.7,35.5,8.6,7.2,61.1667648791986,79.0807307012375,5.14913147037583,30.7836666019543,17.8333333333333,26.2414304865042
"51121021502","Census Tract 215.02; Montgomery County; Virginia",-80.39755297,37.06085201,3943,100,100,0,0,0,0,0,0,0,2981,41618,3943,800,14.75,3,0.5,17.75,39.8859443139886,60.1140556860114,71.4810281517748,0,NA,10.1,14,34.1,7.7,5.7,59.826030927835,92.3969072164949,5.14913147037583,NA,3,0.0730638090599123
