"GEOID","NAME","unw_centroid_long","unw_centroid_lat","Estimated Population","Percent Non-Hispanic","Percent Non-Hispanic White ","Percent Non-Hispanic Black ","Percent Non-Hispanic American Indian/Alaska Native ","Percent Non-Hispanic Asian ","Percent Non-Hispanic Native Hawaiian/Other Pacific Islander ","Percent Non-Hispanic Other ","Percent Non-Hispanic Two or More Races","Percent Hispanic ","Estimate Educated","Median Income ","Population Below Poverty Level","Population Income to Poverty Level","Percent Below 100% FPL","Percent Between 100% and 199% FPL","Unemployment Rate, 16 and Over","Percent Below 200% FPL","Percent High School or Less","Percent Some College or Greater","Labor Force Participation Rate ","Percent Non-White","Redlining (HOLC Grade)","Asthma Prevalence","Smoking Prevalence","Obesity Prevalence","COPD Prevalence","Lack of Health Care Access Prevalence","ICE, Nonwhite by Income ","ICE, Rent Versus Owned ","Particulate Matter ","Housing Stress","Percent Population Within Half a Mile to Parks","Percent Population With Access to Healthy Foods"
"51700030100","Census Tract 301; Newport News city; Virginia",-76.42246764,36.97408041,3545,85.7827926657264,18.984485190409,61.2693935119887,0,2.36953455571227,0.141043723554302,1.74894217207334,1.26939351198872,14.2172073342736,2097,27807,2618,452,61.5044247787611,16.1504424778761,16.5,77.6548672566372,44.5398187887458,55.4601812112542,61.2079701120797,81.015514809591,3.54759916114522,12.4,21.7,45.6,8,13.3,29.4632086851628,0,6.49957306996196,49.3865030674847,72,15.3088630259624
"51700030300","Census Tract 303; Newport News city; Virginia",-76.40133527,36.98415711,5892,93.9069925322471,4.61642905634759,84.0801086218601,0,0.98438560760353,0,1.51052274270197,2.71554650373388,6.09300746775289,3829,26506,5892,1504,27.1276595744681,50.1329787234042,8.5,77.2606382978723,60.6163489161661,39.3836510838339,76.1334473909324,95.3835709436524,3.30382249335222,12.8,23.5,50.3,11.2,11.5,32.436069986541,39.2104082548228,6.60239335550942,44.2242187515819,47.3333333333333,10.1054875505091
"51700030400","Census Tract 304; Newport News city; Virginia",-76.42075775,36.98413518,4467,95.343631072308,2.46250279829863,86.075665995075,0.201477501678979,0.0895455563017685,0,0,6.51443922095366,4.65636892769196,2401,23676,4438,1638,58.7912087912088,11.4774114774115,11.5,70.2686202686203,54.3940024989588,45.6059975010412,75.5232806492952,97.5374972017014,3.53218937069387,14.3,28.2,54.1,12.6,13.1,33.6553323029366,29.2890262751159,7.2781222467298,51.953125,16,NA
"51700030500","Census Tract 305; Newport News city; Virginia",-76.40886077,36.98799895,2132,96.3414634146341,4.54971857410882,88.1332082551595,0,2.3921200750469,0,0.891181988742964,0.375234521575985,3.65853658536585,1464,17250,2132,444,27.7027027027027,40.3153153153153,14,68.018018018018,51.707650273224,48.292349726776,69.3659281894576,95.4502814258912,3.27307795182294,12.7,19.8,50.1,9.1,11.3,35.3562005277045,41.1609498680739,7.31936787644305,54.8571428571429,43,NA
"51700030600","Census Tract 306; Newport News city; Virginia",-76.41280693,36.99235648,1814,93.9911797133407,7.60749724366042,81.2568908489526,0,0,0,0,5.12679162072767,6.00882028665932,1243,20527,1782,289,73.7024221453287,16.2629757785467,22.8,89.9653979238754,50.201126307321,49.798873692679,62.6517273576097,92.3925027563396,3.5491492236651,14.8,27.8,54.3,14.2,15.4,30.2757793764988,21.8225419664269,7.32772716794222,48.1707317073171,41,NA
"51700030800","Census Tract 308; Newport News city; Virginia",-76.41883317,36.99817983,1731,99.1334488734835,8.89659156556904,81.8601964182554,0.577700751010976,0,0,0,7.79896013864818,0.866551126516464,1225,30411,1731,382,21.2041884816754,28.7958115183246,10.3,50,65.7959183673469,34.2040816326531,77.5431861804223,91.103408434431,NA,13.5,22.6,49.7,9.9,12.3,36.848792884371,26.3024142312579,7.26018245427864,44.7058823529412,60,34.7717484926787
"51700030900","Census Tract 309; Newport News city; Virginia",-76.42568202,37.00405986,2293,89.6641953772351,20.5843872655909,61.4478848669865,0,1.22110771914522,0,2.0497165285652,4.36109899694723,10.3358046227649,1445,30133,2293,606,20.957095709571,42.4092409240924,7.9,63.3663366336634,58.4083044982699,41.5916955017301,81.9762845849802,79.4156127344091,NA,13.3,23.4,47.8,10.4,12.2,39.0232974910394,29.5698924731183,7.22090042193584,63.5555555555556,47,34.4714686623012
"51700031100","Census Tract 311; Newport News city; Virginia",-76.44419795,37.00048604,3416,97.5117096018735,47.6288056206089,46.8091334894614,0.117096018735363,0.292740046838408,0,0.0585480093676815,2.60538641686183,2.48829039812646,2296,49020,3290,664,34.9397590361446,18.9759036144578,0.9,53.9156626506024,28.7456445993031,71.2543554006969,78.3908045977011,52.3711943793911,2.23010836267291,10.7,15.2,37.4,6.5,9.4,48.7761194029851,48.4776119402985,6.58785192030341,42.1212121212121,28,25.5932822197882
"51700031200","Census Tract 312; Newport News city; Virginia",-76.43785188,37.0078876,2079,80.5675805675806,16.4021164021164,62.0490620490621,0,0.384800384800385,0,1.39490139490139,0.336700336700337,19.4324194324194,1568,38936,2027,342,35.9649122807018,4.67836257309941,8,40.6432748538012,51.8494897959184,48.1505102040816,84.2605156037992,83.5978835978836,NA,11.4,18.1,42.9,8.5,11.5,41.4396887159533,25.4863813229572,7.05108919260019,38.3939416246457,44,7.23502304147465
"51700031300","Census Tract 313; Newport News city; Virginia",-76.42670215,37.01598263,4526,95.6473707467963,25.3424657534247,65.8197083517455,0.839593460008838,0,0,1.01634997790544,2.62925320371189,4.35262925320371,3039,28141,4428,817,8.32313341493268,47.4908200734394,4.2,55.8139534883721,56.071076011846,43.928923988154,69.4092827004219,74.6575342465753,NA,12.2,19.7,45.6,9.3,10.8,42.1906187624751,47.8542914171657,7.22005042425532,43.4870987236069,39.3333333333333,42.877036062252
"51700031400","Census Tract 314; Newport News city; Virginia",-76.45512366,37.03842863,5465,97.8408051235133,47.1912168344007,42.4153705397987,0.731930466605673,1.28087831655993,0,0,6.22140896614822,2.15919487648673,3741,34071,5353,1127,1.50842945874002,8.60692102928128,4.5,10.1153504880213,45.2552793370756,54.7447206629244,79.2169657422512,52.8087831655993,NA,11.4,16.8,41,8.1,8.7,50.2830188679245,71.2735849056604,7.11228931512455,36.5217391304348,52,5.98250867439592
"51700031500","Census Tract 315; Newport News city; Virginia",-76.47425042,37.04451989,5815,87.944969905417,63.3877901977644,13.5167669819433,0.0171969045571797,1.66809974204643,0,1.32416165090284,8.03095442820292,12.055030094583,4209,52039,5745,1335,14.1573033707865,5.76779026217228,2.5,19.9250936329588,17.8189593727726,82.1810406272274,83.8256800233986,36.6122098022356,1.61505418133645,10.7,13.1,36,6.9,6.3,58.2029829028738,54.4925427428156,6.46296895942461,31.4638709008116,45,30.256683298852
"51700031602","Census Tract 316.02; Newport News city; Virginia",-76.46679886,37.0701235,5548,96.9178082191781,51.8385003604903,38.914924297044,0,0,0,0,6.16438356164384,3.08219178082192,3401,34094,5521,1883,22.8359001593202,48.5926712692512,2.1,71.4285714285714,35.9306086445163,64.0693913554837,79.4232823068708,48.1614996395097,NA,10.9,16.6,37.8,8,7.4,54.0386521308226,62.6858275520317,7.06549816220668,38.5572139303483,69,4.11051212938005
"51700031603","Census Tract 316.03; Newport News city; Virginia",-76.45332518,37.06886142,4757,96.0689510195501,33.7817952491066,59.3020811435779,0.105108261509355,0.273281479924322,0,0,2.60668488543199,3.93104898044986,3314,50049,4757,1145,0,3.4061135371179,2.8,3.4061135371179,33.9770669885335,66.0229330114665,84.1880341880342,66.2182047508934,NA,11,15.3,38.6,5.8,7,51.1603375527426,76.1603375527426,6.93008909804086,28.042328042328,67,18.5929150888998
"51700031604","Census Tract 316.04; Newport News city; Virginia",-76.45730362,37.05549505,2677,92.6783713111692,33.5076578259245,58.1621217781098,0,0.298841987299216,0,0.224131490474412,0.485618229361225,7.32162868883078,1882,35625,2677,510,8.43137254901961,51.7647058823529,8.4,60.1960784313725,44.4208289054198,55.5791710945802,83.2931242460796,66.4923421740755,NA,11.3,16.5,40.3,7.1,8.6,42.6406926406926,30.4473304473304,6.93008909804086,NA,66,6.03767509257769
"51700031701","Census Tract 317.01; Newport News city; Virginia",-76.49922697,37.06974047,4296,90.2700186219739,63.5707635009311,21.2988826815642,0,2.02513966480447,0,0.488826815642458,2.88640595903166,9.72998137802607,1676,9538,2371,445,19.5505617977528,10.1123595505618,8.9,29.6629213483146,30.9665871121718,69.0334128878282,56.3969465648855,36.4292364990689,1,11.6,12.6,36.8,6.4,8.2,50.9090909090909,40.495867768595,6.65942686705589,30.9987297040042,39.5,21.7255892255892
"51700031702","Census Tract 317.02; Newport News city; Virginia",-76.49025579,37.07613248,4489,90.9556694141234,69.0799732679884,12.49721541546,0,1.84896413455112,0,0,7.52951659612386,9.04433058587659,2429,30052,3589,734,5.17711171662125,17.0299727520436,10.1,22.2070844686648,37.9168382050226,62.0831617949774,68.0532986675333,30.9200267320116,NA,11.1,13.1,35.8,5.7,7.8,51.884159106769,60.2930914166085,7.12843652122495,32.4232081911263,40,NA
"51700031800","Census Tract 318; Newport News city; Virginia",-76.50538464,37.05765735,3565,96.0729312762973,87.5455820476858,4.23562412342216,0,0.504908835904628,0,2.32819074333801,1.4586255259467,3.92706872370266,2682,76473,3565,678,0,1.47492625368732,3,1.47492625368732,20.9545115585384,79.0454884414616,83.7254901960784,12.4544179523142,NA,9.2,9,30.4,6.1,4.5,75.9575923392613,91.7920656634747,6.22000301650518,24.0672255997191,16.5,50.0897228849827
"51700031901","Census Tract 319.01; Newport News city; Virginia",-76.51364186,37.07852119,3939,89.9212998222899,69.8146737750698,12.4904798172125,0,1.85326224930185,0,3.63036303630363,2.13252094440213,10.0787001777101,2997,42354,3939,666,7.50750750750751,6.60660660660661,4,14.1141141141141,32.2655989322656,67.7344010677344,81.5801354401806,30.1853262249302,NA,10,11.9,34.6,6.1,5.8,59.8502994011976,83.6526946107784,6.69629235396385,37.3472838548339,13.3333333333333,21.3484506003837
"51700031902","Census Tract 319.02; Newport News city; Virginia",-76.50838184,37.09553385,4052,95.9526159921027,51.5054294175716,32.4284304047384,0,2.76406712734452,0,1.65350444225074,7.60118460019743,4.04738400789733,2914,38944,4019,929,6.02798708288482,40.1506996770721,3.8,46.1786867599569,28.0027453671929,71.9972546328071,79.4171220400729,48.4945705824284,NA,10.9,13.5,37.3,7.6,6.8,53.0685920577617,40.3816400206292,6.42695200264124,35.9072292899542,4.66666666666667,24.3812308091375
"51700032001","Census Tract 320.01; Newport News city; Virginia",-76.54799168,37.10386006,2891,98.0629539951574,74.1611898996887,16.2573503977862,0,4.08163265306122,0,0.311310965063992,3.25147007955725,1.93704600484262,2217,57319,2891,542,14.5756457564576,11.6236162361624,3.9,26.1992619926199,23.5453315290934,76.4546684709066,77.0050125313283,25.8388101003113,NA,9.5,10.4,32.7,6.2,5.1,72.1649484536082,95.53264604811,5.99887640178282,16,0,99.719298245614
"51700032002","Census Tract 320.02; Newport News city; Virginia",-76.52655274,37.09817587,5063,93.6401343077227,59.806438870235,18.1315425636974,0,10.8631246296662,0,0,4.83902824412404,6.35986569227731,3914,49181,5025,742,0,16.1725067385445,4.3,16.1725067385445,27.1078180889116,72.8921819110884,83.1704337202199,40.193561129765,NA,10.2,12.4,35,5.6,5.5,60.2629151291513,82.8413284132841,6.32354230719578,32.0273121056892,4.66666666666667,45.9534375266096
"51700032005","Census Tract 320.05; Newport News city; Virginia",-76.53642344,37.10866378,2444,90.5891980360066,75.1636661211129,6.01472995090016,1.14566284779051,1.43207855973813,0,0,6.83306055646481,9.41080196399345,1841,57993,2437,344,5.81395348837209,12.2093023255814,4.6,18.0232558139535,31.450298750679,68.549701249321,81.875,24.8363338788871,NA,10.3,13.4,34.8,6.6,7.2,62.5130344108446,85.9228362877998,6.11847239239737,22.279792746114,78,32.1860124496521
"51700032006","Census Tract 320.06; Newport News city; Virginia",-76.51759531,37.11591103,4715,81.7179215270414,18.9395546129374,55.609756097561,0,2.41781548250265,0,0,4.7507953340403,18.2820784729586,2386,39792,4706,1518,45.4545454545455,21.7391304347826,6.2,67.1936758893281,29.2120704107293,70.7879295892707,76.7722473604827,81.0604453870626,NA,13,20.9,45,8.7,12.1,43.6335403726708,16.407867494824,7.15470154892002,51.3297872340426,8,NA
"51700032007","Census Tract 320.07; Newport News city; Virginia",-76.53814692,37.1189592,3740,89.331550802139,46.951871657754,28.6363636363636,0.374331550802139,10.5347593582888,0,0.160427807486631,2.67379679144385,10.668449197861,2588,46373,3732,887,0,14.2051860202931,4.9,14.2051860202931,36.6306027820711,63.3693972179289,81.7658349328215,53.048128342246,NA,10.5,14.3,37.4,6.8,7.6,57.0774647887324,75.1408450704225,6.84861365854405,41.415809367937,19,6.53140633685381
"51700032113","Census Tract 321.13; Newport News city; Virginia",-76.50568038,37.13305172,3408,90.1701877934272,34.8884976525822,42.2241784037559,0,2.52347417840376,0,1.1443661971831,9.38967136150235,9.82981220657277,2472,35952,3163,471,2.54777070063694,39.7027600849257,5,42.2505307855626,39.1585760517799,60.8414239482201,89.7683397683398,65.1115023474178,NA,10.4,11.9,35.2,6.8,8.9,45.7386363636364,23.6742424242424,6.608995215289,39.6058486967578,41,18.4247775741653
"51700032114","Census Tract 321.14; Newport News city; Virginia",-76.48924173,37.10982427,1795,90.6406685236769,52.2562674094707,30.1949860724234,0,3.73259052924791,0,0,4.45682451253482,9.35933147632312,1175,35856,1788,197,5.58375634517767,10.6598984771574,0.8,16.243654822335,23.6595744680851,76.3404255319149,90.6379453189727,47.7437325905292,NA,10.3,12.1,35,5.6,6.6,53.53470437018,35.3470437017995,6.98129812243893,24.9696012633241,6.5,15.2983656404409
"51700032117","Census Tract 321.17; Newport News city; Virginia",-76.44950484,37.09026773,4086,98.3847283406755,69.4077337249144,24.9143416544298,0,0.758688203622124,0,0.978952520802741,2.32501223690651,1.61527165932452,3167,39596,3991,614,9.44625407166124,2.60586319218241,6.4,12.0521172638436,36.8487527628671,63.1512472371329,58.9921405455386,30.5922662750857,NA,10.9,13.9,37.5,10.9,8.2,47.6478807638565,45.7848160223568,7.10385762651717,28.0726178946584,33,27.0144351993845
"51700032123","Census Tract 321.23; Newport News city; Virginia",-76.53711999,37.17115371,5259,90.2072637383533,33.998859098688,33.3713633770679,0,14.4514166191291,0,0.722570830956456,7.66305381251188,9.7927362616467,3387,36585,5248,1060,12.4528301886792,20.5660377358491,6.7,33.0188679245283,39.6516090935932,60.3483909064068,83.7123365548607,66.001140901312,NA,11.5,16.3,39.9,6,9,43.4549878345499,39.5620437956204,6.69122049849556,40.9900642312324,96.5,70.5534152698739
"51700032124","Census Tract 321.24; Newport News city; Virginia",-76.53212086,37.15790527,3631,95.86890663729,28.0088129991738,53.5389699807216,4.68190581107133,1.84522170201047,0,0,7.79399614431286,4.13109336271,2439,40965,3631,576,27.7777777777778,9.375,5.5,37.1527777777778,37.7613776137761,62.2386223862239,90.994623655914,71.9911870008262,NA,11.2,14.8,39.2,5.3,8.3,49.7897897897898,45.5255255255255,6.51222095954068,34.3558282208589,22,24.2127000516262
"51700032126","Census Tract 321.26; Newport News city; Virginia",-76.49963209,37.10580773,4750,65.9157894736842,24.6736842105263,32.6736842105263,0,0.378947368421053,0.168421052631579,0,8.02105263157895,34.0842105263158,2650,33413,4750,1583,74.2261528742893,11.3076437144662,5,85.5337965887555,54.5660377358491,45.4339622641509,73.4509803921569,75.3263157894737,NA,11.9,21.4,44.5,7.7,18,44.9500554938957,30.0776914539401,7.01716544451706,45.2154772937905,12.3333333333333,11.6473149492017
"51700032128","Census Tract 321.28; Newport News city; Virginia",-76.47460507,37.09164477,4284,70.4715219421102,26.890756302521,36.1577964519141,0.256769374416433,4.20168067226891,0,0.210084033613445,2.75443510737628,29.5284780578898,3020,39735,4262,823,38.7606318347509,29.5261239368165,2.8,68.2867557715674,50.8940397350993,49.1059602649007,83.7580699966021,73.109243697479,NA,10.8,14.9,39.7,5.9,10.9,47.1153846153846,15.6191369606004,7.24469836324841,36.8539325842697,6,NA
"51700032129","Census Tract 321.29; Newport News city; Virginia",-76.4661968,37.10308766,3754,95.8977091102824,36.0149174214172,44.1129461907299,0,3.9957378795951,0,0.452850293020778,11.3212573255194,4.10229088971763,2306,45229,3754,766,7.57180156657963,45.4308093994778,4,53.0026109660574,31.9167389418907,68.0832610581093,83.5421166306696,63.9850825785828,NA,10.8,12.5,36,4.6,7.4,49.863834422658,25.4357298474946,7.18414978501197,29.7852968184519,29.6666666666667,20.2503029197849
"51700032130","Census Tract 321.30; Newport News city; Virginia",-76.48622183,37.11871418,5600,86.3928571428571,45.25,32.7142857142857,0,6.48214285714286,0,0,1.94642857142857,13.6071428571429,3816,46729,5533,1052,0,5.41825095057034,4.5,5.41825095057034,19.8637316561845,80.1362683438155,88.6420525657071,54.75,NA,9.9,11,34.4,5.5,5.4,57.7991931869117,73.2855221873599,7.03480688070684,28.4112785610112,44.5,20.2503029197849
"51700032131","Census Tract 321.31; Newport News city; Virginia",-76.51402079,37.15992434,4774,95.2869710934227,45.4545454545455,38.3745286971093,0,2.51361541684122,0,0,8.94428152492669,4.71302890657729,3429,41748,4774,824,0,46.7233009708738,5.9,46.7233009708738,34.7623213764946,65.2376786235054,80.9919901417129,54.5454545454545,NA,10.5,12.2,36.5,5.4,6.9,56.3918096292197,81.737686773658,6.28000427508993,31.1399810266681,84.5,55.3771620049362
"51700032132","Census Tract 321.32; Newport News city; Virginia",-76.52141024,37.14725694,5669,92.8382430763803,44.9991180102311,37.1141294760981,0,6.12100899629564,0,0,4.60398659375551,7.16175692361969,3606,34817,5669,1699,26.4861683343143,27.0747498528546,7.9,53.5609181871689,41.0704381586245,58.9295618413755,84.8667512690355,55.0008819897689,NA,11.5,16.9,39.2,7.9,8.9,52.9371584699454,41.712204007286,6.48675211697374,33.312559022216,31,39.4741108453824
"51700032133","Census Tract 321.33; Newport News city; Virginia",-76.48703646,37.08731622,1999,94.1970985492746,32.9164582291146,50.6253126563282,0,3.40170085042521,0,0.250125062531266,7.00350175087544,5.80290145072536,878,35634,1999,736,5.57065217391304,83.5597826086957,1.5,89.1304347826087,20.3872437357631,79.6127562642369,75.5030621172353,67.0835417708854,NA,11.6,16,40.2,6.3,9.1,50.974025974026,3.50649350649351,7.33511017923293,NA,31,NA
"51700032134","Census Tract 321.34; Newport News city; Virginia",-76.48149013,37.07715626,2527,97.6652156707558,51.4839730906213,33.9533043134151,0,5.93589236248516,0,1.06846062524733,5.22358527898694,2.33478432924416,1881,51278,2502,400,27.75,12.5,2.4,40.25,23.498139287613,76.501860712387,74.1608613046232,48.5160269093787,NA,10.6,11.3,35.9,5.4,6.5,50.9756097560976,27.3867595818815,7.33511017923293,NA,31,NA
"51700032211","Census Tract 322.11; Newport News city; Virginia",-76.56412654,37.12900359,6150,92.260162601626,57.739837398374,23.6260162601626,0,5.57723577235772,0,3.05691056910569,2.26016260162602,7.73983739837398,4375,42158,6140,1247,8.09943865276664,24.6190858059342,9.8,32.7185244587009,31.2,68.8,85.5751099937146,42.260162601626,NA,10.3,12.7,36.1,7.4,7,58.9542760372566,82.68416596105,6.26514174322015,38.1304112554113,17.5,84.5371675219584
"51700032212","Census Tract 322.12; Newport News city; Virginia",-76.52812194,37.12753244,3804,74.1324921135647,15.3522607781283,47.1345951629863,0,0.788643533123028,0,3.75920084121977,7.09779179810726,25.8675078864353,2722,41346,3804,618,7.92880258899676,47.5728155339806,2.6,55.5016181229773,53.6370315944159,46.3629684055841,69.9404761904762,84.6477392218717,NA,11.7,17.9,44.2,7,12.6,43.9689833429064,24.9856404365307,7.12220326289047,49.1943053817272,4,NA
"51700032223","Census Tract 322.23; Newport News city; Virginia",-76.5643048,37.16547432,3725,87.9194630872483,29.2080536912752,46.0671140939597,0,8.99328859060403,0,1.23489932885906,2.41610738255034,12.0805369127517,2297,41609,3719,1138,8.43585237258348,21.9683655536028,3.2,30.4042179261863,38.1802350892468,61.8197649107532,77.1893025694809,70.7919463087248,NA,12.1,17,42.5,6.3,9.1,43.4143222506394,52.6214833759591,7.11095388359396,37.123745819398,99,71.2468193384224
"51700032225","Census Tract 322.25; Newport News city; Virginia",-76.53778144,37.13940012,4080,86.0049019607843,18.1617647058824,63.2843137254902,0,1.49509803921569,0,0.416666666666667,2.64705882352941,13.9950980392157,2336,28775,4080,1285,22.2568093385214,38.1322957198444,0.5,60.3891050583658,45.6763698630137,54.3236301369863,70.3853046594982,81.8382352941177,NA,13.2,21.8,47.8,9.6,12.9,40.5380894800484,34.09915356711,6.94669193650599,45.928338762215,37,NA
"51700032226","Census Tract 322.26; Newport News city; Virginia",-76.55136527,37.15789242,3785,62.3249669749009,17.0145310435931,39.3394980184941,0,1.63804491413474,0.449141347424042,1.16248348745046,2.72126816380449,37.6750330250991,2706,35233,3779,746,20.911528150134,41.2868632707775,4.4,62.1983914209115,51.1825572801183,48.8174427198817,80.587084148728,82.9854689564069,NA,11.7,18.5,43.8,7.1,13,45.7506203473945,59.6774193548387,7.02656438471253,38,56,0
"51700032227","Census Tract 322.27; Newport News city; Virginia",-76.55980541,37.14900983,5131,85.5973494445527,27.8113428181641,36.0748392126291,0.194893782888326,9.25745468719548,0,3.66400311830053,8.59481582537517,14.4026505554473,2985,42008,5101,1363,31.2545854732208,20.6162876008804,8.4,51.8708730741012,40.0335008375209,59.9664991624791,76.8141592920354,72.1886571818359,NA,11.9,17.5,40.7,8.1,10,51.1154219204656,38.4093113482056,7.16383386288539,NA,39,5.18934081346424
"51700032228","Census Tract 322.28; Newport News city; Virginia",-76.55084102,37.13617378,3120,93.2692307692308,41.474358974359,41.3141025641026,0,3.87820512820513,0,0,6.6025641025641,6.73076923076923,1894,41786,3120,841,44.7086801426873,21.640903686088,15.5,66.3495838287753,36.325237592397,63.674762407603,82.4300178677784,58.525641025641,NA,12.1,17.8,41.9,7.6,8.4,45.6034482758621,47.2413793103448,7.16383386288539,NA,39,5.18934081346424
"51700032300","Census Tract 323; Newport News city; Virginia",-76.58847461,37.13160829,4768,78.6493288590604,42.4496644295302,23.4689597315436,0.629194630872483,4.34144295302013,2.57969798657718,0.650167785234899,4.53020134228188,21.3506711409396,1653,30972,2812,1277,13.469068128426,36.72670321065,7.4,50.195771339076,28.4936479128857,71.5063520871143,66.4171122994652,57.5503355704698,NA,9.8,12.9,33.3,2.9,11.7,51.9875776397515,0.74534161490683,6.26514174322015,38.1304112554113,17.5,84.5371675219584
