"GEOID","NAME","unw_centroid_long","unw_centroid_lat","Estimated Population","Percent Non-Hispanic","Percent Non-Hispanic White ","Percent Non-Hispanic Black ","Percent Non-Hispanic American Indian/Alaska Native ","Percent Non-Hispanic Asian ","Percent Non-Hispanic Native Hawaiian/Other Pacific Islander ","Percent Non-Hispanic Other ","Percent Non-Hispanic Two or More Races","Percent Hispanic ","Estimate Educated","Median Income ","Population Below Poverty Level","Population Income to Poverty Level","Percent Below 100% FPL","Percent Between 100% and 199% FPL","Unemployment Rate, 16 and Over","Percent Below 200% FPL","Percent High School or Less","Percent Some College or Greater","Labor Force Participation Rate ","Percent Non-White","Redlining (HOLC Grade)","Asthma Prevalence","Smoking Prevalence","Obesity Prevalence","COPD Prevalence","Lack of Health Care Access Prevalence","ICE, Nonwhite by Income ","ICE, Rent Versus Owned ","Particulate Matter ","Housing Stress","Percent Population Within Half a Mile to Parks","Percent Population With Access to Healthy Foods"
"51730810100","Census Tract 8101; Petersburg city; Virginia",-77.37841629,37.23069639,2413,100,4.06133443845835,95.4413593037712,0,0,0,0,0.49730625777041,0,1337,14571,2413,847,85.2420306965762,6.84769775678867,23.3,92.0897284533648,78.1600598354525,21.8399401645475,62.5098658247829,95.9386655615417,NA,14.1,29.2,55.1,13.8,15.5,24.3047158403869,33.6154776299879,6.92833250951167,54.1899441340782,77,77.0620313565099
"51730810300","Census Tract 8103; Petersburg city; Virginia",-77.42761277,37.22375243,2215,97.8329571106095,28.8939051918736,68.9390519187359,0,0,0,0,0,2.16704288939052,1646,42795,2215,451,30.1552106430155,20.8425720620843,19.1,50.9977827050998,35.6622114216282,64.3377885783718,84.9069607167471,71.1060948081264,NA,12.8,21.9,48.5,10.3,12.3,38.7017255546426,38.3730484798685,7.26235474702101,32.8826548869605,33.6666666666667,56.2538727057986
"51730810400","Census Tract 8104; Petersburg city; Virginia",-77.42005781,37.22281172,2050,96.0975609756098,15.9024390243902,74.2926829268293,0.0975609756097561,0,0,0.390243902439024,5.41463414634146,3.90243902439024,1382,28245,2050,326,20.2453987730061,44.7852760736196,17,65.0306748466258,54.7756874095514,45.2243125904486,71.0013908205841,84.0975609756098,NA,12.6,19,45.7,8,11.6,38.7413394919169,7.62124711316397,7.19178506761346,39.7048747684422,7,54.0963894400828
"51730810500","Census Tract 8105; Petersburg city; Virginia",-77.42792946,37.20804074,4111,78.8615908538069,3.84334711748966,71.5397713451715,0,1.09462417903187,0,0.364874726343955,2.01897348576989,21.1384091461931,2447,23030,4111,886,56.5462753950339,5.30474040632054,14.5,61.8510158013544,38.7821822639967,61.2178177360033,68.4044943820225,96.1566528825103,NA,13.5,23.1,51.9,11.4,11.1,34.0203106332139,41.7562724014337,6.91020541157963,52.6845637583893,30,34.2312008978676
"51730810600","Census Tract 8106; Petersburg city; Virginia",-77.41402789,37.21478256,1754,93.0444697833523,3.47776510832383,85.860889395667,0,0.855188141391106,0.342075256556442,0,2.50855188141391,6.95553021664766,1013,21136,1724,454,65.4185022026432,26.2114537444934,22.2,91.6299559471366,61.6979269496545,38.3020730503455,58.829568788501,96.5222348916762,NA,14.3,26,52.8,14,14.5,28.0555555555556,36.3888888888889,7.39292094909488,39.4736842105263,53,97.3460721868365
"51730810700","Census Tract 8107; Petersburg city; Virginia",-77.40482805,37.21542856,1610,99.2546583850932,3.72670807453416,88.2608695652174,0,0,0,0,7.26708074534162,0.745341614906832,1165,18831,1610,342,0,100,17.1,100,62.5751072961373,37.4248927038627,65.979381443299,96.2732919254658,NA,13.8,27.8,54.6,16.8,13.5,28.042328042328,17.037037037037,7.47159793159077,37.1318383513505,86,95.9844054580897
"51730810900","Census Tract 8109; Petersburg city; Virginia",-77.38215408,37.20920506,3140,90.5732484076433,12.1656050955414,76.4331210191083,0,1.97452229299363,0,0,0,9.42675159235669,2099,37688,3004,616,0,20.9415584415584,5.9,20.9415584415584,49.1186279180562,50.8813720819438,74.2981908920774,87.8343949044586,NA,11.4,16.8,44.8,8.5,9.3,46.6517857142857,67.5892857142857,7.20814252529272,36.0169491525424,75,9.01473562554175
"51730811000","Census Tract 8110; Petersburg city; Virginia",-77.41439589,37.19617067,5476,97.6625273922571,26.2052593133674,67.6588750913075,0,0.43827611395179,0,0,3.36011687363039,2.33747260774288,3617,42441,5476,1453,5.0929112181693,30.970406056435,4.2,36.0633172746043,44.4843793198784,55.5156206801216,82.5690954773869,73.7947406866326,NA,12.2,17.8,43.6,8.2,8.5,46.3793869391382,39.2714349178143,6.68400706670175,43.5645041014169,49,41.6874981735409
"51730811100","Census Tract 8111; Petersburg city; Virginia",-77.39434444,37.1813871,3429,95.5672207640712,15.1939340915719,73.578302712161,0.291630212890055,2.33304170312044,0,0.729075532225139,3.44123651210265,4.43277923592884,2873,37443,3292,299,0,37.123745819398,13.9,37.123745819398,43.5085276714236,56.4914723285764,87.3668925459826,84.8060659084281,NA,10.8,13.1,40.5,5.9,7.5,47.2545219638243,48.062015503876,6.26223833890532,40.4682274247492,27,19.1120360735345
"51730811200","Census Tract 8112; Petersburg city; Virginia",-77.35625451,37.20124809,4197,96.2592327853229,13.1760781510603,72.5994758160591,0,4.16964498451275,0,0,6.31403383369073,3.74076721467715,2976,32945,4122,832,14.4230769230769,46.9951923076923,6.9,61.4182692307692,44.3212365591398,55.6787634408602,82.0985182218662,86.8239218489397,NA,12.1,18.7,45,8.5,11.4,42.2553636839351,50.8634222919937,6.59660895877799,48.4433558512148,46,87.3893971811451
