"GEOID","NAME","unw_centroid_long","unw_centroid_lat","Estimated Population","Percent Non-Hispanic","Percent Non-Hispanic White ","Percent Non-Hispanic Black ","Percent Non-Hispanic American Indian/Alaska Native ","Percent Non-Hispanic Asian ","Percent Non-Hispanic Native Hawaiian/Other Pacific Islander ","Percent Non-Hispanic Other ","Percent Non-Hispanic Two or More Races","Percent Hispanic ","Estimate Educated","Median Income ","Population Below Poverty Level","Population Income to Poverty Level","Percent Below 100% FPL","Percent Between 100% and 199% FPL","Unemployment Rate, 16 and Over","Percent Below 200% FPL","Percent High School or Less","Percent Some College or Greater","Labor Force Participation Rate ","Percent Non-White","Redlining (HOLC Grade)","Asthma Prevalence","Smoking Prevalence","Obesity Prevalence","COPD Prevalence","Lack of Health Care Access Prevalence","ICE, Nonwhite by Income ","ICE, Rent Versus Owned ","Particulate Matter ","Housing Stress","Percent Population Within Half a Mile to Parks","Percent Population With Access to Healthy Foods"
"51153900100","Census Tract 9001; Prince William County; Virginia",-77.24177149,38.64280167,3001,81.3395534821726,50.6497834055315,12.9290236587804,0,11.3962012662446,0,1.49950016661113,4.865044985005,18.6604465178274,2664,72727,3001,266,0,0,2.7,0,16.0285285285285,83.9714714714715,87.219730941704,49.3502165944685,NA,9,9.7,31,5.3,5.3,67.3502604166667,86.4583333333333,7.2882608987827,26.9061240496655,66.3333333333333,36.0580360962078
"51153900201","Census Tract 9002.01; Prince William County; Virginia",-77.25075232,38.66446048,3180,49.4339622641509,24.0880503144654,18.8364779874214,0,3.08176100628931,0,1.19496855345912,2.23270440251572,50.5660377358491,1962,40481,3175,740,28.5135135135135,25.1351351351351,4.4,53.6486486486486,39.3985728848114,60.6014271151886,80.3545759463344,75.9119496855346,NA,10.2,15.3,37.4,5.6,13,51.7415215398717,48.762603116407,7.68044281726446,28.9772727272727,38,NA
"51153900202","Census Tract 9002.02; Prince William County; Virginia",-77.26654,38.66243447,3520,49.4886363636364,33.8352272727273,11.9602272727273,0,3.26704545454545,0,0,0.426136363636364,50.5113636363636,2410,33304,3520,673,0,41.3075780089153,3.2,41.3075780089153,60,40,85.3913043478261,66.1647727272727,NA,9.2,14,34.8,5,15.5,54.9289099526066,82.3696682464455,7.3784933225398,38.1974248927039,35,NA
"51153900203","Census Tract 9002.03; Prince William County; Virginia",-77.26274735,38.65468608,4891,66.6734819055408,10.5704354937641,42.8746677571049,0,6.72664076875894,0,0.470251482314455,6.03148640359845,33.3265180944592,2731,41460,4891,1739,7.41805635422657,31.7423806785509,6.5,39.1604370327775,49.6155254485536,50.3844745514464,74.8953974895397,89.4295645062359,NA,10.6,16,39.2,5.3,17.4,46.3229992790195,7.49819754866619,7.53037276211067,41.9014084507042,71.5,NA
"51153900301","Census Tract 9003.01; Prince William County; Virginia",-77.25895417,38.67726713,3514,77.2623790552077,42.8571428571429,20.0341491178145,0,12.5782583949915,0,0,1.79282868525896,22.7376209447923,2570,52987,3514,651,39.0168970814132,2.61136712749616,11,41.6282642089094,27.1984435797665,72.8015564202335,79.917695473251,57.1428571428571,NA,10.2,15,35.8,6.5,9.2,60.7607282184655,68.5305591677503,7.09735085102308,30.7086614173228,20,NA
"51153900302","Census Tract 9003.02; Prince William County; Virginia",-77.27925935,38.66642121,5032,69.5151033386328,28.6168521462639,25.9141494435612,0.139109697933227,9.20111287758347,0,0.95389507154213,4.68998410174881,30.4848966613673,3443,52003,5012,1228,16.2052117263844,27.0358306188925,2.8,43.2410423452769,33.8367702584955,66.1632297415045,86.1725319215198,71.3831478537361,NA,10.3,14.9,36.2,5.7,11.8,55.1969625059326,48.5524442335074,7.20933158673557,NA,30,NA
"51153900403","Census Tract 9004.03; Prince William County; Virginia",-77.30080645,38.64426711,5789,70.4784936949387,25.1856970115737,24.2356192779409,0.431853515287614,16.980480221109,0,0,3.64484366902747,29.5215063050613,3942,48703,5769,1624,5.48029556650246,20.320197044335,3.3,25.8004926108374,37.8741755454084,62.1258244545916,84.0277777777778,74.8143029884263,NA,9.7,13.3,35.5,6.5,13.1,56,73.2105263157895,7.17146849586703,42.5196850393701,6,NA
"51153900404","Census Tract 9004.04; Prince William County; Virginia",-77.32155228,38.64068878,5893,42.2026132699813,18.0383505854404,11.0300356354997,0.101815713558459,6.95740709316138,0,0.254539283896148,5.82046495842525,57.7973867300187,3891,42429,5820,1493,27.7294038847957,27.0596115204287,4.3,54.7890154052244,53.1996915959907,46.8003084040093,79.1430881164107,81.9616494145596,NA,10.2,16.9,38.4,6.9,17.7,51.7678255745433,78.6093105480259,7.03109804362883,37.5722543352601,0,4.54630495790458
"51153900407","Census Tract 9004.07; Prince William County; Virginia",-77.33907171,38.63776833,6916,66.1654135338346,14.6038172353962,34.572006940428,0,10.1359167148641,0,0,6.85367264314633,33.8345864661654,4472,39629,6886,1739,7.87809085681426,33.870040253019,5,41.7481311098332,43.3139534883721,56.6860465116279,86.8948435037154,85.3961827646038,NA,10.2,15.2,37.9,5.6,12.4,51.5457277801632,47.9604980678403,6.89296423742491,45.6709956709957,15,2.04415372035977
"51153900408","Census Tract 9004.08; Prince William County; Virginia",-77.33725131,38.62658208,5473,70.4366892015348,31.9568792252878,25.5801205919971,0.109629088251416,8.24045313356477,0,0.237529691211401,4.31207747122236,29.5633107984652,3322,62598,5473,1726,8.45886442641947,7.53186558516802,3.9,15.9907300115875,34.1661649608669,65.833835039133,80.8202653799759,68.0431207747122,NA,9.5,11.1,33.3,4.5,8.9,59.041184041184,85.7142857142857,6.64113527094249,32.0388349514563,0,88.6889460154242
