"GEOID","NAME","unw_centroid_long","unw_centroid_lat","Estimated Population","Percent Non-Hispanic","Percent Non-Hispanic White ","Percent Non-Hispanic Black ","Percent Non-Hispanic American Indian/Alaska Native ","Percent Non-Hispanic Asian ","Percent Non-Hispanic Native Hawaiian/Other Pacific Islander ","Percent Non-Hispanic Other ","Percent Non-Hispanic Two or More Races","Percent Hispanic ","Estimate Educated","Median Income ","Population Below Poverty Level","Population Income to Poverty Level","Percent Below 100% FPL","Percent Between 100% and 199% FPL","Unemployment Rate, 16 and Over","Percent Below 200% FPL","Percent High School or Less","Percent Some College or Greater","Labor Force Participation Rate ","Percent Non-White","Redlining (HOLC Grade)","Asthma Prevalence","Smoking Prevalence","Obesity Prevalence","COPD Prevalence","Lack of Health Care Access Prevalence","ICE, Nonwhite by Income ","ICE, Rent Versus Owned ","Particulate Matter ","Housing Stress","Percent Population Within Half a Mile to Parks","Percent Population With Access to Healthy Foods"
"51155210101","Census Tract 2101.01; Pulaski County; Virginia",-80.58516696,37.16244937,4099,95.2671383264211,84.6303976579654,8.63625274457185,0,1.7077335935594,0,0,0.292754330324469,4.73286167357892,3173,39156,4097,679,2.06185567010309,12.2238586156112,1.9,14.2857142857143,29.0891900409707,70.9108099590293,79.1139240506329,15.3696023420346,NA,10.2,12.8,33.5,8.1,5.7,56.8711967545639,81.1359026369168,5.63008074561458,29.9019607843137,2.5,15.4619181946403
"51155210102","Census Tract 2101.02; Pulaski County; Virginia",-80.65815892,37.17879798,2701,97.9266938171048,95.0018511662347,1.44390966308775,0,0.555349870418364,0,0.407256571640133,0.518326545723806,2.07330618289522,2072,41000,2646,242,14.0495867768595,1.2396694214876,1.9,15.2892561983471,44.0637065637066,55.9362934362934,73.6545682102628,4.99814883376527,NA,11.2,19.8,38,11.1,7.5,67.0504871567759,89.9025686448184,5.63008074561458,NA,2,NA
"51155210201","Census Tract 2102.01; Pulaski County; Virginia",-80.75479895,37.05805499,4080,98.406862745098,90.3676470588235,0.759803921568627,0.0735294117647059,1.42156862745098,0,0.612745098039216,5.17156862745098,1.59313725490196,2958,25125,4038,776,36.9845360824742,1.67525773195876,4.4,38.659793814433,47.4983096686951,52.5016903313049,61.8964767290126,9.63235294117647,NA,11.6,18.9,39,10.9,9.4,52.257525083612,52.0624303232999,5.47606449064414,23.8266066271027,29,12.7232689013947
"51155210202","Census Tract 2102.02; Pulaski County; Virginia",-80.76376477,37.13076203,3624,99.9724061810154,95.6953642384106,2.37306843267108,0,0,0.275938189845475,0,1.6280353200883,0.0275938189845475,2853,36622,3542,606,10.7260726072607,9.40594059405941,4.6,20.1320132013201,45.285664213109,54.714335786891,76.00406710727,4.3046357615894,NA,10.5,16.2,35,9.9,6.6,59.8009650180941,74.9095295536791,5.28338983808325,13.8801261829653,9.5,NA
"51155210300","Census Tract 2103; Pulaski County; Virginia",-80.84465319,37.07455981,4024,94.6570576540755,84.8906560636183,5.04473161033797,0,0.91948310139165,1.88866799204771,0,1.91351888667992,5.34294234592445,2834,34151,4024,687,9.60698689956332,5.38573508005822,4.5,14.9927219796215,43.8602681721948,56.1397318278052,83.8068181818182,15.1093439363817,NA,10.8,16.7,36.2,9.1,7.4,53.6922209695603,62.9650507328072,5.21046456798122,20.1753572091297,40.6666666666667,0.0434499239626331
"51155210401","Census Tract 2104.01; Pulaski County; Virginia",-80.78922254,37.01720998,2409,98.5886259858863,84.8484848484848,6.72478206724782,0,0,0,0,7.01535907015359,1.41137401411374,1861,28917,2409,321,62.6168224299065,0,1,62.6168224299065,52.9822675980656,47.0177324019344,66.0055096418733,15.1515151515152,NA,11.8,21.8,39.5,11.6,9,52.3016650342801,80.411361410382,5.28338983808325,13.8801261829653,9.5,NA
"51155210402","Census Tract 2104.02; Pulaski County; Virginia",-80.74906356,36.98600994,2666,98.8747186796699,91.1102775693924,6.63915978994749,0,0,0,0,1.12528132033008,1.12528132033008,1971,41545,2543,333,0,5.70570570570571,4,5.70570570570571,42.7701674277017,57.2298325722983,77.8045838359469,8.88972243060765,NA,10.5,16.2,35.3,9.3,6.2,66.1852589641434,84.8605577689243,5.2863312695583,NA,8,NA
"51155210500","Census Tract 2105; Pulaski County; Virginia",-80.65001623,36.97879513,2156,98.747680890538,96.6141001855288,0,0,0.231910946196661,0,0,1.90166975881262,1.25231910946197,1625,38958,2156,410,44.1463414634146,16.0975609756098,3.8,60.2439024390244,44.6769230769231,55.3230769230769,65.016501650165,3.38589981447124,NA,10.8,18.3,36.4,11.8,7,56.7681007345226,90.3462749213012,4.99874827256076,12.5248830496666,1,0.259163272861903
"51155210600","Census Tract 2106; Pulaski County; Virginia",-80.6426487,37.08450289,4414,99.4109651110104,89.170820117807,6.77390122338015,0,0,0,0.679655641141822,2.78658812868147,0.589034888989579,3400,26536,3572,654,34.5565749235474,17.8899082568807,5.6,52.4464831804281,56.3823529411765,43.6176470588235,67.276529012023,10.829179882193,NA,9.5,13.3,33.5,7,7.3,58.8585434173669,66.0364145658263,5.77962019548984,13.2075471698113,3.5,NA
"51155210700","Census Tract 2107; Pulaski County; Virginia",-80.68147287,37.109579,3598,97.8599221789883,90.4391328515842,5.47526403557532,0,0,0,0,1.94552529182879,2.14007782101167,2710,36239,3427,619,18.2552504038772,9.20840064620355,3.5,27.4636510500808,44.2066420664207,55.7933579335793,78.3097215437225,9.56086714841579,NA,11.1,17.8,36.2,10.2,7.6,52.0266182698125,60.1935874168179,5.77675495790549,24.3506493506494,0,95.9032716927454
