"GEOID","NAME","unw_centroid_long","unw_centroid_lat","Estimated Population","Percent Non-Hispanic","Percent Non-Hispanic White ","Percent Non-Hispanic Black ","Percent Non-Hispanic American Indian/Alaska Native ","Percent Non-Hispanic Asian ","Percent Non-Hispanic Native Hawaiian/Other Pacific Islander ","Percent Non-Hispanic Other ","Percent Non-Hispanic Two or More Races","Percent Hispanic ","Estimate Educated","Median Income ","Population Below Poverty Level","Population Income to Poverty Level","Percent Below 100% FPL","Percent Between 100% and 199% FPL","Unemployment Rate, 16 and Over","Percent Below 200% FPL","Percent High School or Less","Percent Some College or Greater","Labor Force Participation Rate ","Percent Non-White","Redlining (HOLC Grade)","Asthma Prevalence","Smoking Prevalence","Obesity Prevalence","COPD Prevalence","Lack of Health Care Access Prevalence","ICE, Nonwhite by Income ","ICE, Rent Versus Owned ","Particulate Matter ","Housing Stress","Percent Population Within Half a Mile to Parks","Percent Population With Access to Healthy Foods"
"51770000100","Census Tract 1; Roanoke city; Virginia",-79.98911179,37.296938,4188,88.658070678128,16.4995224450812,71.585482330468,0,0.143266475644699,0,0,0.429799426934097,11.341929321872,2594,24101,4131,1037,22.9508196721311,23.4329797492768,10.9,46.3837994214079,59.9460292983809,40.0539707016191,73.8215102974828,83.5004775549188,3,12.2,20.7,43.3,10.5,10.9,40.1051329622758,56.5862708719852,6.67173260479028,39.5204156865499,4.5,NA
"51770000300","Census Tract 3; Roanoke city; Virginia",-79.96579056,37.31547529,4027,81.9716910851751,48.4976409237646,24.0377452197666,1.31611621554507,5.68661534641172,0,0,2.43357337968711,18.0283089148249,2718,35585,4027,909,43.8943894389439,39.0539053905391,4.6,82.9482948294829,41.6114790286976,58.3885209713024,84.1045566937478,51.5023590762354,2.18657239880096,11.3,20,37.8,9.2,13.9,44.3490304709141,50.5263157894737,7.29310346468218,18.3598022487641,23.3333333333333,59.6387096774194
"51770000400","Census Tract 4; Roanoke city; Virginia",-79.94303242,37.31493683,5502,74.7546346782988,51.6539440203562,6.32497273718648,0,12.4681933842239,0.308978553253362,0,3.99854598327881,25.2453653217012,3606,28339,5430,1507,54.3463835434638,2.91970802919708,8.8,57.2660915726609,46.2007764836384,53.7992235163616,65.8957542285122,48.3460559796438,NA,10.5,16.5,33.7,8.7,11.2,45.0516986706056,59.5273264401773,7.16392129250857,20.0477326968974,26.5,NA
"51770000500","Census Tract 5; Roanoke city; Virginia",-79.93563057,37.29497098,4971,78.3142224904446,48.038624019312,23.6974451820559,0,2.0116676725005,0,0.502916918125126,4.06356869845102,21.6857775095554,4208,30677,4971,572,1.92307692307692,33.5664335664336,4.1,35.4895104895105,61.1216730038023,38.8783269961977,70.9027404621171,51.961375980688,3.40276039188094,11.9,21.3,38.3,9.7,12.5,42.9481132075472,49.5754716981132,7.37447687674893,38.0597014925373,46,NA
"51770000601","Census Tract 6.01; Roanoke city; Virginia",-79.9136392,37.30544178,5241,98.3400114481969,75.2337340202252,10.0362526235451,0,3.49170005724098,0,1.73630986452967,7.84201488265598,1.65998855180309,3558,32069,5211,1205,14.4398340248963,29.4605809128631,0,43.9004149377593,51.0680157391793,48.9319842608207,71.1025393764063,24.7662659797749,4,11.1,17.1,35.2,8,9.2,53.1656184486373,69.2662473794549,6.23397855503216,21.1911935203955,25.6666666666667,41.8295098592471
"51770000602","Census Tract 6.02; Roanoke city; Virginia",-79.9020955,37.28966316,3591,91.1166805903648,72.2361459203564,9.52380952380952,0,3.45307713728766,1.2531328320802,0,4.65051517683097,8.8833194096352,2828,34063,3453,421,7.83847980997625,37.29216152019,5,45.1306413301663,38.5077793493635,61.4922206506365,88.4989429175476,27.7638540796436,3.95455375123566,11.1,17.8,34,8.8,10.3,52.1353300055463,43.4276206322795,6.55706445285857,24.906561461794,84,3.81763251853886
"51770000900","Census Tract 9; Roanoke city; Virginia",-79.99436814,37.28454016,5112,94.8943661971831,14.2605633802817,63.8302034428795,0.0782472613458529,12.4804381846635,0,2.8169014084507,1.42801251956182,5.1056338028169,3179,27509,5112,1275,23.7647058823529,37.3333333333333,8.7,61.0980392156863,58.6662472475621,41.3337527524379,76.8487674883411,85.7394366197183,NA,13.6,25.5,45.5,12.2,14.5,33.8751625487646,33.2032943216298,7.04895673231185,45.4945054945055,0,NA
"51770001000","Census Tract 10; Roanoke city; Virginia",-79.96945339,37.27404564,2218,91.5238954012624,21.009918845807,62.0378719567178,0,1.71325518485122,0,1.12714156898106,5.63570784490532,8.4761045987376,1369,23487,2150,504,27.3809523809524,28.968253968254,4,56.3492063492063,60.7742878013148,39.2257121986852,68.6219081272085,78.990081154193,3,13.1,25.2,41.1,10.5,13.1,33.7142857142857,26.8571428571429,7.59948945728673,50,78,NA
"51770001100","Census Tract 11; Roanoke city; Virginia",-79.94329213,37.27077317,1881,95.2153110047847,68.2615629984051,13.1313131313131,0.0531632110579479,9.94152046783626,0,0,3.82775119617225,4.78468899521531,1466,52305,1688,15,53.3333333333333,0,2.3,53.3333333333333,13.4379263301501,86.5620736698499,82.7586206896552,31.7384370015949,NA,9.7,11.2,29.6,3.4,6.4,53.9116963594113,5.96436870642912,7.59056592263858,25.6880733944954,97,NA
"51770001200","Census Tract 12; Roanoke city; Virginia",-79.9476593,37.26164419,3591,95.5722639933166,71.0108604845447,22.6120857699805,0.111389585073796,0.111389585073796,0,0,1.72653856864383,4.42773600668338,2435,26591,3395,694,52.0172910662824,29.8270893371758,5.2,81.8443804034582,30.0616016427105,69.9383983572895,72.2355769230769,28.9891395154553,3.05844329396711,11.6,17.3,36.3,7.8,8.2,50.345928685471,16.2852581160192,7.42685694640822,35.3013800688261,100,NA
"51770001800","Census Tract 18; Roanoke city; Virginia",-79.96779347,37.26181714,3956,95.3993933265925,81.2942366026289,3.8675429726997,0.0252780586450961,2.22446916076845,0,2.62891809908999,5.35894843276036,4.60060667340748,2912,39889,3943,866,3.92609699769053,19.0531177829099,1.8,22.9792147806005,26.8887362637363,73.1112637362637,84.9540581929556,18.7057633973711,2.6883318934323,10.8,14.3,32.9,6.8,5.7,58.8377075522228,56.5077664702732,7.26404442810631,34.530427846956,86.5,NA
"51770001900","Census Tract 19; Roanoke city; Virginia",-79.98491263,37.26704852,5119,93.4166829458879,80.2305137722211,7.63821058800547,0,1.75815588982223,0,0,3.78980269583903,6.58331705411213,3562,38690,4925,1195,11.7154811715481,29.7071129707113,5,41.4225941422594,35.1487928130264,64.8512071869736,90.2759084791386,19.7694862277789,2.9187864950776,10.8,16.2,33.5,7.9,7.6,56.8788958147818,56.4559216384684,7.57771207208604,25.9433962264151,96,NA
"51770002100","Census Tract 21; Roanoke city; Virginia",-80.0167057,37.25731332,3637,97.277976354138,92.7412702777014,1.67720648886445,0,0.824855650261204,0,0,2.03464393731097,2.72202364586197,3031,46109,3476,425,0,4,2.2,4,24.3154074562851,75.6845925437149,88.0877742946709,7.2587297222986,NA,9.6,10,27.7,9.4,5,65.5042918454936,74.7854077253219,6.45730466232731,17.8164213022429,6,53.321417932678
"51770002200","Census Tract 22; Roanoke city; Virginia",-80.0105623,37.2831974,2568,92.5623052959502,48.8707165109034,41.7445482866044,0,0.58411214953271,0,0,1.36292834890966,7.43769470404984,1931,30123,2365,449,16.2583518930958,25.6124721603563,4.3,41.8708240534521,54.8420507509063,45.1579492490937,77.4509803921569,51.1292834890966,NA,10.6,16,34.3,8.6,8.6,49.4339622641509,88.0188679245283,6.65377338704205,25.462962962963,1,NA
"51770002301","Census Tract 23.01; Roanoke city; Virginia",-79.98659109,37.31295319,2949,99.050525601899,33.9776195320448,53.9844014920312,0,9.35910478128179,0,0,1.7293997965412,0.949474398101051,1821,28872,2949,852,39.906103286385,19.0140845070423,15,58.9201877934272,42.943437671609,57.056562328391,65.3342522398346,66.0223804679552,NA,12.6,19.8,41,10.2,12.1,41.1974623314829,37.2720063441713,6.27017167658632,11.0215053763441,0.5,40.8559452900949
