"GEOID","NAME","unw_centroid_long","unw_centroid_lat","Estimated Population","Percent Non-Hispanic","Percent Non-Hispanic White ","Percent Non-Hispanic Black ","Percent Non-Hispanic American Indian/Alaska Native ","Percent Non-Hispanic Asian ","Percent Non-Hispanic Native Hawaiian/Other Pacific Islander ","Percent Non-Hispanic Other ","Percent Non-Hispanic Two or More Races","Percent Hispanic ","Estimate Educated","Median Income ","Population Below Poverty Level","Population Income to Poverty Level","Percent Below 100% FPL","Percent Between 100% and 199% FPL","Unemployment Rate, 16 and Over","Percent Below 200% FPL","Percent High School or Less","Percent Some College or Greater","Labor Force Participation Rate ","Percent Non-White","Redlining (HOLC Grade)","Asthma Prevalence","Smoking Prevalence","Obesity Prevalence","COPD Prevalence","Lack of Health Care Access Prevalence","ICE, Nonwhite by Income ","ICE, Rent Versus Owned ","Particulate Matter ","Housing Stress","Percent Population Within Half a Mile to Parks","Percent Population With Access to Healthy Foods"
"51165010100","Census Tract 101; Rockingham County; Virginia",-78.59480145,38.37540837,3179,95.4702736709657,87.19723183391,2.73670965712488,0,1.44699591066373,0,0.566215791129286,3.52312047813778,4.52972632903429,2441,36296,3159,468,0,31.6239316239316,5.3,31.6239316239316,55.6739041376485,44.3260958623515,70.2866593164278,12.80276816609,NA,10.9,17.8,36.9,10.4,9.1,55.0628233555063,89.4308943089431,5.15242557390997,22.3799740467942,45,80.3921568627451
"51165010200","Census Tract 102; Rockingham County; Virginia",-78.60323557,38.40691409,3586,95.0362520914668,91.6341327384272,1.72894590072504,0,0,0,0,1.67317345231456,4.96374790853318,2458,37199,3562,782,19.1815856777494,24.1687979539642,2.1,43.3503836317136,57.5671277461351,42.4328722538649,78.3333333333333,8.36586726157278,NA,10.8,19.1,36.4,10.6,8.4,59.9462365591398,64.9865591397849,5.47637484098909,24.4224422442244,27,80.3921568627451
"51165010301","Census Tract 103.01; Rockingham County; Virginia",-78.65700559,38.41148795,1842,90.499457111835,80.1845819761129,9.55483170466884,0,0,0,0,0.760043431053203,9.50054288816504,1376,38200,1842,284,15.1408450704225,20.7746478873239,0,35.9154929577465,52.4709302325581,47.5290697674419,88.9409559512652,19.8154180238871,NA,9.9,16.1,35.8,8.9,8,56.1111111111111,80.8641975308642,5.62575409910039,24.5382585751979,49,NA
"51165010302","Census Tract 103.02; Rockingham County; Virginia",-78.68950076,38.44287378,2856,89.6008403361345,86.4145658263305,2.73109243697479,0,0.315126050420168,0,0.140056022408964,0,10.3991596638655,2209,54005,2856,503,10.7355864811133,7.3558648111332,0.7,18.0914512922465,32.6844726120416,67.3155273879584,78.6267995570321,13.5854341736695,NA,9.8,12.1,34.2,6.9,5.8,71.6508210890233,92.1348314606742,5.63911888844406,24.1112345507568,35,NA
"51165010400","Census Tract 104; Rockingham County; Virginia",-78.71701278,38.55696611,2324,90.0172117039587,88.9414802065404,0,0.0860585197934596,0,0,0,0.989672977624785,9.98278829604131,1796,45729,2324,333,20.4204204204204,30.9309309309309,1.4,51.3513513513513,65.3118040089087,34.6881959910913,86.6803278688525,11.0585197934596,NA,10.8,20.8,36.9,11.5,9.4,59.0575916230367,73.2984293193717,5.79458243525495,12.7659574468085,23,NA
"51165010500","Census Tract 105; Rockingham County; Virginia",-78.77970318,38.47254587,3209,65.1604861327516,58.5852290433157,2.83577438454347,0,2.52415082580243,0,0,1.21533187909006,34.8395138672484,1906,28715,3209,939,37.912673056443,49.0947816826411,1.7,87.0074547390841,66.1594963273872,33.8405036726128,70.3399122807018,41.4147709566843,NA,10.7,21.6,41.5,11.1,16,49.4912118408881,74.0055504162812,5.73048025059896,43.6619718309859,16,NA
"51165010600","Census Tract 106; Rockingham County; Virginia",-78.85865216,38.52258292,3884,96.7559217301751,93.2286302780638,2.13697219361483,0,0,0,0,1.3903192584964,3.24407826982492,2719,38813,3707,892,2.3542600896861,21.1883408071749,2.9,23.542600896861,48.473703567488,51.526296432512,79.4144981412639,6.77136972193615,NA,9.8,14.1,34.1,7.2,7.4,63.0094043887147,82.9937304075235,5.83491999639353,24.6728682170543,0,NA
"51165010700","Census Tract 107; Rockingham County; Virginia",-78.87122397,38.58773983,3893,95.1708194194708,93.3213460056512,0.256871307474955,0,0.616491137939892,0,0,0.976110968404829,4.82918058052915,2678,35094,3893,1020,1.37254901960784,20.8823529411765,0.8,22.2549019607843,50,50,78.4422110552764,6.67865399434883,NA,10.3,16.8,36.2,9.6,7.9,64.1998497370398,80.6912096168295,5.90266936561888,15.035746097,6.66666666666667,NA
"51165010801","Census Tract 108.01; Rockingham County; Virginia",-78.78860088,38.59316932,3651,89.6740619008491,85.9764448096412,0,0,1.20514927417146,0,0,2.49246781703643,10.3259380991509,2477,35565,3651,852,14.7887323943662,36.9718309859155,2.6,51.7605633802817,57.5696406943884,42.4303593056116,84.4650708353688,14.0235551903588,NA,10.4,16,36,8.5,9.1,54.2735042735043,58.4859584859585,6.11745235581287,NA,5,NA
"51165010802","Census Tract 108.02; Rockingham County; Virginia",-78.73941326,38.61579516,3587,88.1795372177307,85.8656258712016,0.752718148870923,0,0.083635349874547,0,0,1.47755784778366,11.8204627822693,2418,32146,3574,782,13.6828644501279,29.539641943734,3.7,43.2225063938619,63.3167907361456,36.6832092638544,76.3644773358002,14.1343741287984,NA,10.8,18.2,37.3,10,10.4,54.5492142266336,58.3953680727874,6.11745235581287,NA,5,NA
