"GEOID","NAME","unw_centroid_long","unw_centroid_lat","Estimated Population","Percent Non-Hispanic","Percent Non-Hispanic White ","Percent Non-Hispanic Black ","Percent Non-Hispanic American Indian/Alaska Native ","Percent Non-Hispanic Asian ","Percent Non-Hispanic Native Hawaiian/Other Pacific Islander ","Percent Non-Hispanic Other ","Percent Non-Hispanic Two or More Races","Percent Hispanic ","Estimate Educated","Median Income ","Population Below Poverty Level","Population Income to Poverty Level","Percent Below 100% FPL","Percent Between 100% and 199% FPL","Unemployment Rate, 16 and Over","Percent Below 200% FPL","Percent High School or Less","Percent Some College or Greater","Labor Force Participation Rate ","Percent Non-White","Redlining (HOLC Grade)","Asthma Prevalence","Smoking Prevalence","Obesity Prevalence","COPD Prevalence","Lack of Health Care Access Prevalence","ICE, Nonwhite by Income ","ICE, Rent Versus Owned ","Particulate Matter ","Housing Stress","Percent Population Within Half a Mile to Parks","Percent Population With Access to Healthy Foods"
"51171040101","Census Tract 401.01; Shenandoah County; Virginia",-78.39827883,38.9941594,3300,96.2121212121212,86.2727272727273,0.757575757575758,0.0606060606060606,1.96969696969697,0,0,7.15151515151515,3.78787878787879,2378,40771,3292,561,15.6862745098039,11.0516934046346,0.5,26.7379679144385,53.448275862069,46.551724137931,79.2708333333333,13.7272727272727,NA,10.7,18,38.5,9.6,7.5,59.7411933860532,77.3544212796549,6.13138421604841,NA,5,40.6925452139391
"51171040102","Census Tract 401.02; Shenandoah County; Virginia",-78.34365524,39.01416698,6551,95.2984277209586,86.6279957258434,2.83926118149901,0,1.83178140741871,0,0.427415661731033,3.57197374446649,4.70157227904137,4409,32409,6551,1661,5.59903672486454,35.1595424443107,2.2,40.7585791691752,46.2236334769789,53.7763665230211,75.4432389521037,13.3720042741566,NA,11.1,18,39.9,9.5,9.2,56.508875739645,75.5424063116371,6.13138421604841,14.9797570850202,5,40.6925452139391
"51171040201","Census Tract 402.01; Shenandoah County; Virginia",-78.76912364,38.81918969,3079,98.4410522897044,90.0617083468659,2.59824618382592,0,0.129912309191296,0,1.10425462812601,4.54693082169536,1.55894771029555,2475,33861,3079,391,16.8797953964194,0,4.4,16.8797953964194,50.7878787878788,49.2121212121212,73.2270478284772,9.93829165313413,NA,10.3,15.8,36.6,10,6.9,59.5423143350605,86.0967184801382,5.31634274671036,24.7295968534907,64,19.3134527039802
"51171040202","Census Tract 402.02; Shenandoah County; Virginia",-78.53225617,38.97973153,3344,95.3947368421053,93.3612440191388,0,0.269138755980861,1.01674641148325,0,0,0.747607655502392,4.60526315789474,2548,30995,3344,517,4.44874274661509,18.3752417794971,3.9,22.8239845261122,51.4913657770801,48.5086342229199,79.4803817603393,6.63875598086124,NA,10.3,17,37.3,9.8,7,57.4445983379501,84.3490304709141,5.35755039829024,14.3382352941176,63,NA
"51171040300","Census Tract 403; Shenandoah County; Virginia",-78.45870404,38.93476607,3527,95.6620357244117,92.6850014176354,0.963992061241849,0,0,0,0,2.01304224553445,4.33796427558832,2513,42961,3481,749,1.60213618157543,31.3751668891856,0.9,32.977303070761,59.0131317150816,40.9868682849184,81.2590100913023,7.31499858236462,NA,10.1,15.9,36.4,9.1,8.2,61.2482369534556,87.87023977433,5.94297659482819,29.6928327645051,8,NA
"51171040400","Census Tract 404; Shenandoah County; Virginia",-78.45291399,38.83794732,2412,96.849087893864,95.1492537313433,0,0,0,0,0.248756218905473,1.45107794361526,3.15091210613599,1777,40929,2412,543,1.65745856353591,27.0718232044199,6,28.7292817679558,37.8728193584693,62.1271806415307,75.1873438800999,4.85074626865672,NA,10.3,15.4,35.1,9.7,6.6,66.3163716814159,82.3008849557522,5.84923159538591,18.6347167325428,41.3333333333333,40.6925452139391
"51171040501","Census Tract 405.01; Shenandoah County; Virginia",-78.50664243,38.88008123,6860,81.9533527696793,71.9679300291545,5.80174927113703,0,3.95043731778426,0,0,0.233236151603499,18.0466472303207,4442,35417,6643,1774,46.054114994363,11.2739571589628,4.9,57.3280721533258,50.8554705087798,49.1445294912202,79.2211328976035,28.0320699708455,NA,11,18.5,38.6,11,11.1,51.4627659574468,49.6580547112462,5.86578721819532,NA,10,NA
"51171040502","Census Tract 405.02; Shenandoah County; Virginia",-78.5733658,38.88006093,2340,83.5897435897436,67.1367521367521,7.22222222222222,0,0.683760683760684,0,0,8.54700854700855,16.4102564102564,1628,25992,2249,228,7.89473684210526,19.7368421052632,0.8,27.6315789473684,44.4717444717445,55.5282555282555,77.2303595206391,32.8632478632479,NA,10.8,19.9,38.4,11.3,9.4,59.3614718614719,59.3073593073593,5.86578721819532,NA,10,NA
"51171040600","Census Tract 406; Shenandoah County; Virginia",-78.60645913,38.82616719,3974,89.7584297936588,83.6688475088072,2.86864620030196,0,0.327126321087066,0.125817815802718,0.226472068444892,2.5415198792149,10.2415702063412,2791,38734,3974,955,28.1675392670157,9.84293193717278,5.7,38.0104712041885,54.8190612683626,45.1809387316374,76.6251113089938,16.3311524911928,NA,10.5,16,37,8.8,7.9,58.9547677261614,76.6503667481662,5.97003024424765,26.031746031746,5,NA
"51171040700","Census Tract 407; Shenandoah County; Virginia",-78.67314004,38.75723955,4299,80.4140497790184,77.2272621539893,1.25610607117934,0.0232612235403582,0.674575482670388,0,0,1.23284484763899,19.5859502209816,2933,35398,4277,1025,14.9268292682927,49.0731707317073,6.7,64,66.6893965223321,33.3106034776679,71.0571923743501,22.7727378460107,NA,10.9,20.6,40.5,11.2,10.7,56.6176470588235,71.3848039215686,5.9195219797816,30.0291545189504,4,NA
"51171040800","Census Tract 408; Shenandoah County; Virginia",-78.67506084,38.67973455,4944,96.2783171521036,92.0509708737864,2.95307443365696,0.040453074433657,0.202265372168285,0,0.101132686084142,0.93042071197411,3.72168284789644,3893,33537,4838,685,30.5109489051095,17.8102189781022,6.3,48.3211678832117,52.1962496789109,47.8037503210891,78.0215827338129,7.94902912621359,NA,10.4,17.1,38,10.4,9.2,58.23055028463,66.7457305502846,5.76259567503104,21.7667836365315,13.6666666666667,NA
