"GEOID","NAME","unw_centroid_long","unw_centroid_lat","Estimated Population","Percent Non-Hispanic","Percent Non-Hispanic White ","Percent Non-Hispanic Black ","Percent Non-Hispanic American Indian/Alaska Native ","Percent Non-Hispanic Asian ","Percent Non-Hispanic Native Hawaiian/Other Pacific Islander ","Percent Non-Hispanic Other ","Percent Non-Hispanic Two or More Races","Percent Hispanic ","Estimate Educated","Median Income ","Population Below Poverty Level","Population Income to Poverty Level","Percent Below 100% FPL","Percent Between 100% and 199% FPL","Unemployment Rate, 16 and Over","Percent Below 200% FPL","Percent High School or Less","Percent Some College or Greater","Labor Force Participation Rate ","Percent Non-White","Redlining (HOLC Grade)","Asthma Prevalence","Smoking Prevalence","Obesity Prevalence","COPD Prevalence","Lack of Health Care Access Prevalence","ICE, Nonwhite by Income ","ICE, Rent Versus Owned ","Particulate Matter ","Housing Stress","Percent Population Within Half a Mile to Parks","Percent Population With Access to Healthy Foods"
"51177020104","Census Tract 201.04; Spotsylvania County; Virginia",-77.65393368,38.28785727,5464,86.090775988287,71.5959004392387,9.29721815519766,0,0.768667642752562,0,0.146412884333821,4.28257686676428,13.909224011713,3293,60363,5423,1577,0,4.50221940393152,2.1,4.50221940393152,34.2241117522016,65.7758882477984,75.9086522997748,28.4040995607613,NA,10.3,13.3,36.7,6.2,6,76.1583011583012,96.4607464607465,5.79292547398532,17.0491803278689,72,NA
"51177020105","Census Tract 201.05; Spotsylvania County; Virginia",-77.66421671,38.34207387,2463,92.8948436865611,87.9821356069834,1.05562322371092,0,1.13682501015022,0,0,2.72025984571661,7.1051563134389,1639,56371,2463,657,0.91324200913242,1.36986301369863,1.1,2.28310502283105,24.77120195241,75.22879804759,79.3129770992366,12.0178643930166,NA,9.8,11.4,35.1,5.8,5,74.5508982035928,94.0119760479042,5.85059574138294,20.5117867069279,11.5,NA
"51177020106","Census Tract 201.06; Spotsylvania County; Virginia",-77.58259627,38.3157001,8792,90.9576888080073,61.0782529572339,24.7838944494995,0,3.23020928116469,0,0,1.86533212010919,9.04231119199272,5672,49445,8679,2349,13.8782460621541,3.7037037037037,8.2,17.5819497658578,27.944287729196,72.055712270804,82.3428815733219,38.9217470427661,NA,10,13.5,36.7,7.4,7.2,68.5779017079122,89.4039735099338,6.16506019857257,20.6831119544592,13,NA
"51177020107","Census Tract 201.07; Spotsylvania County; Virginia",-77.50272101,38.27364671,2302,91.9635099913119,61.3814074717637,25.4561251086012,0.304083405734144,2.91051259774109,0,0.390964378801043,1.52041702867072,8.0364900086881,1621,74688,2302,539,10.3896103896104,6.49350649350649,2.6,16.8831168831169,24.3059839605182,75.6940160394818,74.8663101604278,38.6185925282363,NA,10.2,12.6,37.7,5.7,5.8,70.7616707616708,97.4201474201474,6.56026959672287,11.7241379310345,0,63.5105204872647
"51177020108","Census Tract 201.08; Spotsylvania County; Virginia",-77.52188992,38.28104495,4759,80.9623870561042,42.0466484555579,21.7272536247111,0.126076906913217,5.77852490018912,0,0,11.2838831687329,19.0376129438958,3137,30139,4624,1087,14.7194112235511,21.4351425942962,3.6,36.1545538178473,40.4526617787695,59.5473382212305,78.1349346520664,57.9533515444421,NA,10.8,14.5,39.6,7.8,9.8,51.6863406408094,52.6700393479483,6.73348779538034,40.2985074626866,23,15.8203125
"51177020109","Census Tract 201.09; Spotsylvania County; Virginia",-77.54328432,38.28147317,4109,86.3227062545632,71.6476028230713,10.1727914334388,0,0.486736432221952,0,0,4.0155755658311,13.6772937454368,3108,43613,3983,715,0,0,1.9,0,42.5353925353925,57.4646074646075,87.9435483870968,28.3523971769287,NA,9.9,13.2,36.1,7,9.2,63.5034013605442,70.6802721088435,6.68562625403941,22.8668941979522,18,10.7829856407478
"51177020110","Census Tract 201.10; Spotsylvania County; Virginia",-77.5581763,38.2751286,4056,67.3323471400394,43.2692307692308,12.0069033530572,0,2.63806706114398,0,1.18343195266272,8.23471400394477,32.6676528599605,2513,42061,4056,1082,2.49537892791128,23.1977818853974,5.3,25.6931608133087,53.6410664544369,46.3589335455631,85.8544562551104,56.7307692307692,NA,11.2,18.9,42.4,8.6,11.7,55.498417721519,73.3386075949367,6.4950813315309,27.3092369477912,0,38.2424079548508
"51177020111","Census Tract 201.11; Spotsylvania County; Virginia",-77.57770156,38.28337399,2366,79.3322062552832,52.4091293322062,22.1048182586644,0,2.07100591715976,0,0,2.74725274725275,20.6677937447168,1472,46190,2365,577,0,24.9566724436742,2.7,24.9566724436742,38.9945652173913,61.0054347826087,79.7603195739015,47.5908706677937,NA,10.8,14.4,39,6.4,8.6,64.0401146131805,86.3896848137536,6.61796297883562,18.978102189781,0,43.6974789915966
"51177020112","Census Tract 201.12; Spotsylvania County; Virginia",-77.58783465,38.27727867,3068,91.3950456323338,51.7926988265971,18.9374185136897,0.521512385919166,6.77966101694915,0,1.62972620599739,11.7340286831812,8.60495436766623,1958,43836,3050,800,12,2.5,7.7,14.5,35.85291113381,64.14708886619,85.3181076672104,48.2073011734029,NA,10.1,12.6,38,5.8,8.3,60.5831533477322,90.8207343412527,6.39526554229614,16.4835164835165,0,51.3338139870223
"51177020113","Census Tract 201.13; Spotsylvania County; Virginia",-77.61889247,38.25481657,4379,87.6684174469057,70.1301667047271,13.6332496003654,0,0.959123087462891,0,0.959123087462891,1.98675496688742,12.3315825530943,2769,49975,4358,1153,23.6773633998265,4.68343451864701,2.9,28.3607979184735,28.385698808234,71.614301191766,75.8972267536705,29.8698332952729,NA,10.9,15,38.7,7.6,6.8,72.8862973760933,89.2128279883382,5.87675759479839,22.0973782771536,1,89.5646164478231
"51177020114","Census Tract 201.14; Spotsylvania County; Virginia",-77.57192282,38.26317494,6030,79.452736318408,50.7131011608624,17.893864013267,0.21558872305141,2.91873963515755,0,0.613598673300166,7.09784411276949,20.547263681592,3586,50566,6009,1806,2.93466223698782,16.9988925802879,6.9,19.9335548172757,31.7902955939766,68.2097044060234,82.1593533487298,49.2868988391376,NA,10.2,11.5,37.6,5,7,59.7787833081951,77.6269482151835,6.12366231339096,22.6700251889169,0,21.1785095320624
"51177020201","Census Tract 202.01; Spotsylvania County; Virginia",-77.4231038,38.2492387,7776,90.7536008230453,60.4809670781893,25.3215020576132,0,0.643004115226337,0,0,4.30812757201646,9.24639917695473,5395,52124,7776,1970,0,15.4314720812183,4.5,15.4314720812183,36.9601482854495,63.0398517145505,83.8838042180661,39.5190329218107,NA,10.6,14.1,39.7,5.9,8.7,64.1627278865631,74.645509790682,6.55488059142112,24.0767894243321,60,16.2333588498866
"51177020202","Census Tract 202.02; Spotsylvania County; Virginia",-77.46969961,38.25915229,4624,89.3814878892734,49.0916955017301,24.9134948096886,0.0216262975778547,3.43858131487889,0,3.54671280276817,8.36937716262976,10.6185121107266,3060,44871,4575,804,13.5572139303483,28.2338308457711,4.7,41.7910447761194,37.7124183006536,62.2875816993464,78.7446504992867,50.9083044982699,NA,10.7,15.5,39.5,7.6,9.2,57.4478649453823,75.4220456802383,6.6443489820505,32.3267306322927,76.3333333333333,8.47219433848625
