"GEOID","NAME","unw_centroid_long","unw_centroid_lat","Estimated Population","Percent Non-Hispanic","Percent Non-Hispanic White ","Percent Non-Hispanic Black ","Percent Non-Hispanic American Indian/Alaska Native ","Percent Non-Hispanic Asian ","Percent Non-Hispanic Native Hawaiian/Other Pacific Islander ","Percent Non-Hispanic Other ","Percent Non-Hispanic Two or More Races","Percent Hispanic ","Estimate Educated","Median Income ","Population Below Poverty Level","Population Income to Poverty Level","Percent Below 100% FPL","Percent Between 100% and 199% FPL","Unemployment Rate, 16 and Over","Percent Below 200% FPL","Percent High School or Less","Percent Some College or Greater","Labor Force Participation Rate ","Percent Non-White","Redlining (HOLC Grade)","Asthma Prevalence","Smoking Prevalence","Obesity Prevalence","COPD Prevalence","Lack of Health Care Access Prevalence","ICE, Nonwhite by Income ","ICE, Rent Versus Owned ","Particulate Matter ","Housing Stress","Percent Population Within Half a Mile to Parks","Percent Population With Access to Healthy Foods"
"51179010103","Census Tract 101.03; Stafford County; Virginia",-77.39243951,38.45878941,4978,87.5451988750502,45.299316994777,31.5990357573323,0,4.60024106066694,0,0.482121333869024,5.56448372840498,12.4548011249498,3165,66935,4978,1230,11.1382113821138,14.6341463414634,3.3,25.7723577235772,13.7440758293839,86.2559241706161,72.5086997785511,54.700683005223,NA,10,9.9,36.5,4.5,6.8,58.4426229508197,64.2622950819672,6.86868548895201,26.453488372093,14,4.64326160815402
"51179010105","Census Tract 101.05; Stafford County; Virginia",-77.38181842,38.42443469,9020,88.6363636363636,46.5077605321508,24.5787139689579,0,3.83592017738359,0,0.299334811529934,13.4146341463415,11.3636363636364,5651,70286,9020,2720,0.588235294117647,6.58088235294118,3.8,7.16911764705882,29.4815076977526,70.5184923022474,79.5786061588331,53.4922394678492,NA,9.9,11.3,36.5,4.5,6.8,62.0484242890085,87.7017678708686,6.53092546600325,21.6051199714566,2,58.6466165413534
"51179010106","Census Tract 101.06; Stafford County; Virginia",-77.36486473,38.37879563,3916,95.6843718079673,67.1092951991828,14.5301327885598,0,2.29826353421859,0,1.94075587334014,9.80592441266599,4.31562819203269,2694,62443,3816,795,0,11.4465408805031,2.3,11.4465408805031,22.5315515961396,77.4684484038604,80.1364023870418,32.8907048008172,NA,9.9,13.3,36.3,5.9,6,74.4981412639405,73.6059479553903,6.36741887617685,14.7410358565737,4,NA
"51179010107","Census Tract 101.07; Stafford County; Virginia",-77.34434797,38.44927357,4380,78.37899543379,52.8538812785388,15.1826484018265,0,3.56164383561644,0,3.74429223744292,3.0365296803653,21.62100456621,2597,53565,4362,1291,4.49264136328428,9.9147947327653,3,14.4074360960496,26.2610704659222,73.7389295340778,73.8148148148148,47.1461187214612,NA,10.2,14.3,38.7,6.3,7.8,69.3145161290323,86.6129032258065,6.34585918258694,26.5765765765766,3.5,NA
"51179010108","Census Tract 101.08; Stafford County; Virginia",-77.37566109,38.48329651,5747,75.1174525839568,41.2911084043849,20.462850182704,0,5.84652862362972,0,1.33982947624848,6.17713589698973,24.8825474160432,3835,56875,5747,1171,0.939368061485909,1.70794192997438,3.4,2.64730999146029,37.3663624511082,62.6336375488918,83.8952282157676,58.7088915956151,NA,10.3,13.2,37.8,5.7,8,63.1608548931384,96.4566929133858,6.56865217733512,18.1571815718157,30,99.5954977136827
"51179010201","Census Tract 102.01; Stafford County; Virginia",-77.44976501,38.52867934,2012,82.9522862823062,67.9423459244533,6.66003976143141,0,3.62823061630219,0,0,4.72166998011928,17.0477137176938,632,29128,48,28,100,0,0,100,4.11392405063291,95.8860759493671,59.375,32.0576540755467,NA,10.2,14.4,38.3,4.3,15.1,0,0,6.30596529668161,NA,4.5,33.0142268315384
"51179010202","Census Tract 102.02; Stafford County; Virginia",-77.54134012,38.49485763,7575,79.0759075907591,69.4917491749175,3.47194719471947,0,1.04290429042904,0,0,5.06930693069307,20.9240924092409,4802,49348,7499,2174,3.1278748850046,10.4415823367065,3.6,13.5694572217111,37.1095376926281,62.8904623073719,75.1137397634213,30.5082508250825,NA,10.3,14.4,36.9,6.6,7.1,69.688566552901,91.8088737201365,5.9147149512858,25.7130898911801,0.5,100
"51179010205","Census Tract 102.05; Stafford County; Virginia",-77.48828263,38.46798431,6846,78.4107508033888,53.9877300613497,12.8250073035349,0.58428279287175,2.89219982471516,0,2.23488168273444,5.88664913818288,21.5892491966112,4408,50963,6830,1761,1.59000567859171,7.04145371947757,7.5,8.63145939806928,34.6415607985481,65.3584392014519,80.5159538357094,46.0122699386503,NA,10.3,13.7,38.1,5.5,7.3,65.6282450674974,85.4101765316719,6.00825451028892,11.9170984455959,0,76.218611521418
"51179010206","Census Tract 102.06; Stafford County; Virginia",-77.45337152,38.4805593,5767,75.2384255245362,37.5065025143055,23.0449106988035,0,7.09207560256633,0,0.728281602219525,6.86665510664123,24.7615744754638,3493,47432,5767,1706,10.5509964830012,17.5849941383353,3.2,28.1359906213365,30.8617234468938,69.1382765531062,75.9264497878359,62.4934974856945,NA,10.1,13.1,38.7,5.2,9.2,62.098623853211,85.493119266055,6.43142340596792,28.6532951289398,0,23.5023041474654
"51179010210","Census Tract 102.10; Stafford County; Virginia",-77.42647813,38.43914813,10921,85.2852302902665,39.1539236333669,32.8175075542533,0,4.91713213075726,0,1.78555077373867,6.61111619815035,14.7147697097335,6864,80839,10921,3324,0,15.8543922984356,2.9,15.8543922984356,18.7937062937063,81.2062937062937,80.2836230558097,60.8460763666331,NA,10.4,13.2,38.3,4.4,6.1,64.5075545607163,79.2389479574706,6.31978847087689,18.5667752442997,0,59.2875318066158
