"GEOID","NAME","unw_centroid_long","unw_centroid_lat","Estimated Population","Percent Non-Hispanic","Percent Non-Hispanic White ","Percent Non-Hispanic Black ","Percent Non-Hispanic American Indian/Alaska Native ","Percent Non-Hispanic Asian ","Percent Non-Hispanic Native Hawaiian/Other Pacific Islander ","Percent Non-Hispanic Other ","Percent Non-Hispanic Two or More Races","Percent Hispanic ","Estimate Educated","Median Income ","Population Below Poverty Level","Population Income to Poverty Level","Percent Below 100% FPL","Percent Between 100% and 199% FPL","Unemployment Rate, 16 and Over","Percent Below 200% FPL","Percent High School or Less","Percent Some College or Greater","Labor Force Participation Rate ","Percent Non-White","Redlining (HOLC Grade)","Asthma Prevalence","Smoking Prevalence","Obesity Prevalence","COPD Prevalence","Lack of Health Care Access Prevalence","ICE, Nonwhite by Income ","ICE, Rent Versus Owned ","Particulate Matter ","Housing Stress","Percent Population Within Half a Mile to Parks","Percent Population With Access to Healthy Foods"
"51191010101","Census Tract 101.01; Washington County; Virginia",-82.08142796,36.68031974,3419,98.0988593155894,95.5542556303013,0.935946183094472,0,0,0,0,1.60865750219362,1.90114068441065,2486,33628,3419,781,11.01152368758,8.19462227912932,4.8,19.2061459667093,44.7707160096541,55.2292839903459,77.6761699838623,4.44574436969874,NA,10.5,17.7,38.1,10.4,7.2,56.0901749663526,78.600269179004,5.55916690009732,14.8073022312373,8,7.7339511003954
"51191010102","Census Tract 101.02; Washington County; Virginia",-82.07880274,36.62484836,3334,97.3905218956209,93.6712657468506,1.73965206958608,0,1.97960407918416,0,0,0,2.60947810437912,2457,32840,3331,635,15.2755905511811,27.244094488189,0,42.5196850393701,35.002035002035,64.997964997965,68.0089485458613,6.32873425314937,NA,10.1,14.1,35.9,9.4,6.4,59.1017488076312,88.9507154213037,5.65021978001547,13.3944345257569,8,50.8392139051983
"51191010200","Census Tract 102; Washington County; Virginia",-82.21137438,36.6371641,4917,98.2916412446614,94.0817571690055,0,0,0,0,0,4.20988407565589,1.70835875533862,3746,37276,4917,705,9.9290780141844,39.7163120567376,3.1,49.645390070922,50.6940736785905,49.3059263214095,75.1765893037336,5.91824283099451,NA,10.7,19.4,38.7,11,7.7,56.2887089090043,91.3292043830395,5.45610793205957,20.2459970649544,20.75,8.6994521996206
"51191010301","Census Tract 103.01; Washington County; Virginia",-82.1931849,36.71704221,3252,97.2017220172202,96.8634686346863,0,0.0922509225092251,0,0,0,0.2460024600246,2.79827798277983,2144,23073,3244,371,15.3638814016173,16.4420485175202,6.9,31.8059299191375,55.830223880597,44.169776119403,76.7441860465116,3.13653136531365,NA,10.9,20,40.2,11.2,8.3,53.8917089678511,60.2368866328257,5.44305007062734,14.8073022312373,12,7.7339511003954
"51191010302","Census Tract 103.02; Washington County; Virginia",-81.96902903,36.81769204,2797,93.0282445477297,92.6349660350375,0.286020736503396,0.107257776188774,0,0,0,0,6.97175545227029,2044,31031,2797,515,0,53.5922330097087,0,53.5922330097087,65.9980430528376,34.0019569471624,68.0940892641737,7.36503396496246,NA,10.6,19.1,37.2,10.2,8.1,56.8994889267462,86.541737649063,5.44305007062734,NA,0,1.02172974528709
"51191010401","Census Tract 104.01; Washington County; Virginia",-82.00961209,36.66661763,2696,98.7017804154303,97.4035608308605,0.816023738872404,0,0,0,0,0.482195845697329,1.29821958456973,1998,47065,2696,531,14.8775894538606,8.85122410546139,4.3,23.728813559322,25.1251251251251,74.8748748748749,84.159106769016,2.59643916913947,NA,9.9,13.6,34.2,8.4,5.5,64.7776809067132,84.4812554489974,5.62515583046364,11.9815668202765,0,87.2322553548929
"51191010402","Census Tract 104.02; Washington County; Virginia",-82.01786909,36.72448917,3253,97.202582231786,95.2966492468491,0.707039655702429,0,0.768521364893944,0,0.338149400553335,0.0922225637872733,2.79741776821396,2515,39667,3158,469,1.70575692963753,23.2409381663113,3.5,24.9466950959488,36.6202783300199,63.3797216699801,79.390175042349,4.70335075315094,NA,10.3,14.1,35,8.9,6.5,58.4126984126984,71.8095238095238,5.4943114583379,20.4152249134948,0,34.095120444719
"51191010501","Census Tract 105.01; Washington County; Virginia",-81.96672994,36.72732877,3803,99.079673941625,95.0039442545359,1.8932421772285,0,0.131475151196424,0,0,2.05101235866421,0.920326058374967,2970,35516,3705,489,8.58895705521472,9.40695296523517,3.6,17.9959100204499,31.8518518518519,68.1481481481482,72.9553903345725,4.99605574546411,NA,10.4,13.9,34.8,8.7,6,59.3799682034976,62.6391096979332,5.6313074764957,18.232044198895,0,14.5068205666317
"51191010502","Census Tract 105.02; Washington County; Virginia",-81.95304423,36.71369246,4261,98.8735038723304,82.6097160291012,9.17624970664163,0.469373386528984,2.55808495658296,0,0,4.06007979347571,1.12649612766956,3488,31500,3769,476,35.9243697478992,25.8403361344538,3.7,61.7647058823529,46.5596330275229,53.4403669724771,74.3953934740883,17.3902839708988,NA,11,20.7,39.4,9.3,9.6,56.8771138669673,51.6347237880496,5.77655649588717,29.0858725761773,0,NA
"51191010601","Census Tract 106.01; Washington County; Virginia",-81.88376192,36.72415405,4303,99.2330931907971,97.8851963746224,0.743667208924007,0,0.0232396002788752,0,0,0.58099000697188,0.766906809202882,3405,34490,4232,650,18.1538461538462,6.61538461538462,7.4,24.7692307692308,39.2657856093979,60.7342143906021,69.1269506537326,2.11480362537764,NA,10.4,17.2,37.1,10.8,7.3,58.8927137119908,70.0516351118761,5.46716125332951,20,0,NA
