"GEOID","NAME","unw_centroid_long","unw_centroid_lat","Estimated Population","Percent Non-Hispanic","Percent Non-Hispanic White ","Percent Non-Hispanic Black ","Percent Non-Hispanic American Indian/Alaska Native ","Percent Non-Hispanic Asian ","Percent Non-Hispanic Native Hawaiian/Other Pacific Islander ","Percent Non-Hispanic Other ","Percent Non-Hispanic Two or More Races","Percent Hispanic ","Estimate Educated","Median Income ","Population Below Poverty Level","Population Income to Poverty Level","Percent Below 100% FPL","Percent Between 100% and 199% FPL","Unemployment Rate, 16 and Over","Percent Below 200% FPL","Percent High School or Less","Percent Some College or Greater","Labor Force Participation Rate ","Percent Non-White","Redlining (HOLC Grade)","Asthma Prevalence","Smoking Prevalence","Obesity Prevalence","COPD Prevalence","Lack of Health Care Access Prevalence","ICE, Nonwhite by Income ","ICE, Rent Versus Owned ","Particulate Matter ","Housing Stress","Percent Population Within Half a Mile to Parks","Percent Population With Access to Healthy Foods"
"51199050203","Census Tract 502.03; York County; Virginia",-76.44567394,37.10635755,6758,89.9082568807339,56.333234684818,15.4927493341225,0,11.7490381769754,1.24297129328204,0,5.09026339153596,10.0917431192661,4651,55991,6758,1343,3.49962769918094,21.072226358898,1.1,24.5718540580789,17.3941087938078,82.6058912061922,80.3759398496241,43.666765315182,NA,9,9.8,31.4,4.6,5.5,62.3798076923077,67.588141025641,6.90974350144411,29.9704898518502,31,46.0710706164702
"51199050205","Census Tract 502.05; York County; Virginia",-76.43208388,37.12990991,4229,94.2776069992906,65.7602270040199,6.00614802553795,0,13.7857649562544,0,1.27689761172854,7.44856940174982,5.72239300070939,3257,65159,4229,804,0,3.60696517412935,2.2,3.60696517412935,19.4350629413571,80.5649370586429,78.7586206896552,34.2397729959801,NA,8.6,7.4,30.7,5.4,4.6,67.1707624448645,85.2551984877127,6.20119779037694,20.2760680044848,7.5,70.711678790103
"51199050206","Census Tract 502.06; York County; Virginia",-76.41419937,37.1122827,6769,96.0260008863939,72.1967794356626,11.0060570246713,0.251144925395184,7.51957453094992,0,1.89097355591668,3.1614714137982,3.97399911360615,4817,67372,6769,1434,4.88145048814505,0.697350069735007,2.3,5.57880055788006,16.3379696906788,83.6620303093212,72.7452433901656,27.8032205643374,NA,9.6,10.5,31.9,5.8,4.5,67.6797627872498,80.5782060785767,6.28814532755358,17.7263969171484,0,13.4001823154056
"51199050207","Census Tract 502.07; York County; Virginia",-76.42428628,37.09719616,4512,80.1418439716312,45.7446808510638,22.7171985815603,0,0.554078014184397,0,3.25797872340426,7.86790780141844,19.8581560283688,2045,51592,4512,2147,6.19469026548673,22.0307405682347,0,28.2254308337215,15.8435207823961,84.1564792176039,63.6363636363636,54.2553191489362,NA,10.2,13.4,36.2,2.9,8.2,52.4124513618677,2.17898832684825,6.73991701702543,33.7662337662338,35,43.0697045960119
"51199050208","Census Tract 502.08; York County; Virginia",-76.41119058,37.09705452,2014,92.3038728897716,33.6643495531281,21.896722939424,0,15.2929493545184,0,0,21.4498510427011,7.6961271102284,1304,52731,1992,518,3.47490347490348,8.10810810810811,4.3,11.5830115830116,28.6042944785276,71.3957055214724,84.1979249800479,66.3356504468719,NA,9.7,11.7,33.1,4.6,6.5,50.5675368898978,29.2849035187287,6.73991701702543,NA,43,1.95506774138227
"51199050303","Census Tract 503.03; York County; Virginia",-76.45600282,37.16759354,6506,95.5733169382109,76.1604672609898,11.8659698739625,0,2.7666769136182,0,0,4.78020288964033,4.42668306178912,4336,52426,6174,1438,1.59944367176634,7.85813630041725,5.6,9.45757997218359,17.9889298892989,82.0110701107011,81.1647727272727,23.8395327390101,NA,9.8,11.9,34.1,7,5.6,67.1367521367521,65.1282051282051,6.04362950151749,23.3008253386005,34.5,55.4778790145282
"51199050304","Census Tract 503.04; York County; Virginia",-76.43112679,37.15983843,4957,94.8355860399435,71.6360702037523,10.9340326810571,0,6.9396812588259,0,0,5.32580189630825,5.16441396005649,3642,60802,4957,1013,0,0,5.7,0,18.2591982427238,81.7408017572762,84.4943820224719,28.3639297962477,NA,8.7,8.5,30.8,6,4.2,70.1472908995266,91.8990005260389,6.03278471065213,21.09375,9,88.6873597606582
"51199050305","Census Tract 503.05; York County; Virginia",-76.47185282,37.1292,3208,94.2019950124688,58.8216957605985,9.44513715710723,0,16.5835411471322,0,2.33790523690773,7.01371571072319,5.79800498753117,2137,48200,3208,679,6.62739322533137,15.3166421207658,4.4,21.9440353460972,17.5011698642957,82.4988301357043,83.7793555434189,41.1783042394015,NA,9.1,9.5,31.6,4.9,5.4,62.4409448818898,63.3858267716535,6.49824604245819,32.7955922865014,38,25.2022401991288
"51199050306","Census Tract 503.06; York County; Virginia",-76.49313641,37.1701275,4869,95.6048469911686,72.4584103512015,11.9942493325118,0,4.00492914356131,0,0,7.14725816389402,4.39515300883138,3712,47280,4869,869,5.98388952819333,13.3486766398159,2.6,19.3325661680092,23.4375,76.5625,78.3256880733945,27.5415896487985,NA,9.8,11.8,33.8,6.8,5.6,60.1915184678523,71.6826265389877,5.9396531167256,30.6264386244934,87.75,70.2514413366241
"51199050401","Census Tract 504.01; York County; Virginia",-76.45149993,37.20590846,3385,95.4209748892171,84.2245199409158,6.23338257016248,0,1.50664697193501,0,0,3.45642540620384,4.57902511078287,2607,51274,3341,614,3.74592833876222,27.1986970684039,4.4,30.9446254071661,27.0042194092827,72.9957805907173,77.8390297684675,15.7754800590842,NA,9.3,10.1,31.7,6.9,5,72.2309505106049,91.1233307148468,5.94494066008803,24.2507044658868,63,97.2424242424242
