STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,COUNTY,StateAbbr,StateDesc,Location,E_TOTPOP,M_TOTPOP,E_DAYPOP,SPL_EJI,RPL_EJI,SPL_SER,RPL_SER,EPL_OZONE,EPL_PM,EPL_DSLPM,EPL_TOTCR,SPL_EBM_THEME1,RPL_EBM_DOM1,EPL_NPL,EPL_TRI,EPL_TSD,EPL_RMP,EPL_COAL,EPL_LEAD,SPL_EBM_THEME2,RPL_EBM_DOM2,EPL_PARK,EPL_HOUAGE,EPL_WLKIND,SPL_EBM_THEME3,RPL_EBM_DOM3,EPL_RAIL,EPL_ROAD,EPL_AIRPRT,SPL_EBM_THEME4,RPL_EBM_DOM4,EPL_IMPWTR,SPL_EBM_THEME5,RPL_EBM_DOM5,SPL_EBM,RPL_EBM,EPL_MINRTY,SPL_SVM_DOM1,RPL_SVM_DOM1,EPL_POV200,EPL_NOHSDP,EPL_UNEMP,EPL_RENTER,EPL_HOUBDN,EPL_UNINSUR,EPL_NOINT,SPL_SVM_DOM2,RPL_SVM_DOM2,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_LIMENG,SPL_SVM_DOM3,RPL_SVM_DOM3,EPL_MOBILE,EPL_GROUPQ,SPL_SVM_DOM4,RPL_SVM_DOM4,SPL_SVM,RPL_SVM,F_BPHIGH,F_ASTHMA,F_CANCER,F_MHLTH,F_DIABETES,F_HVM,RPL_HVM,E_OZONE,E_PM,E_DSLPM,E_TOTCR,E_NPL,E_TRI,E_TSD,E_RMP,E_COAL,E_LEAD,E_PARK,E_HOUAGE,E_WLKIND,E_RAIL,E_ROAD,E_AIRPRT,E_IMPWTR,EP_MINRTY,EP_POV200,EP_NOHSDP,EP_UNEMP,EP_RENTER,EP_HOUBDN,EP_UNINSUR,EP_NOINT,EP_AGE65,EP_AGE17,EP_DISABL,EP_LIMENG,EP_MOBILE,EP_GROUPQ,EP_BPHIGH,EP_ASTHMA,EP_CANCER,EP_MHLTH,EP_DIABETES,EPL_BPHIGH,EPL_ASTHMA,EPL_CANCER,EPL_DIABETES,EPL_MHLTH
51,840,302,1400000US51840000302,51840000302,3.02,Winchester City,VA,Virginia,"Census Tract 3.02, Winchester city, Virginia",5937,663,10219,1.5827,0.6601,1.5827,0.8759,0,0.3654,0.5501,0.4594,1.3749,0.2864,0,0.8484,0.987,0.749,0,0,2.5844,0.9489,0.7217,0.2234,0.5031,1.4482,0.3942,0.7824,0.7666,0.9439,2.4929,0.9916,0.4871,0.4871,0.4871,8.3875,0.9249,0.4817,0.4817,0.4817,0.5903,0.7699,0.4719,0.8124,0.5221,0.7998,0.6561,4.6225,0.737,0.4335,0.365,0.8382,0.6217,2.2584,0.7133,0,0.4452,0.4452,0.1995,7.8078,0.6578,0,0,0,0,0,0,0,0,8.5,0.44,30.13,0,99.64,76.70999999999998,6.73,0,0,16.42,35.47,9.08,99.82,100,24.36,45.71,28.2,34.6173,18.1,4.6,58.2,26.9049,13.5,21.3,14.6,20.2,18.9,2.4,0,0.2,30.9,9.3,6.3,14.4,9.8,0.4397,0.3679,0.4075,0.3826,0.5495
51,840,301,1400000US51840000301,51840000301,3.01,Winchester City,VA,Virginia,"Census Tract 3.01, Winchester city, Virginia",5026,425,6946,1.8982,0.7855,1.6982,0.9244,0,0.3765,0.5746,0.4896,1.4407,0.3126,0,0.6328,0.9555,0.7509,0,0,2.3392,0.927,0.4109,0.8333,0.3394,1.5836,0.5197,0.7891,0.7666,0.9166,2.4723,0.9895,0.5852,0.5852,0.5852,8.421,0.9278,0.5982,0.5982,0.5982,0.7103,0.8318,0.4859,0.8177,0.797,0.6855,0.837,5.1652,0.8315,0.2777,0.3011,0.4453,0.819,1.8431,0.3579,0,0.9673,0.9673,0.6324,8.5738,0.7704,0,0,0,1,0,1,0.2,0,8.55,0.46,30.83,0,42.64,20.43,6.98,0,0,98.76,87.56,11.96,100,100,9.95,61.91,39.3,41.8102,21.4,4.7,58.8,38.1795,10.4,29.3,11.9,19.2,11.8,7,0,17.9,28.1,9.9,5.5,16.5,9.6,0.2742,0.5445,0.257,0.3566,0.7587
51,840,202,1400000US51840000202,51840000202,2.02,Winchester City,VA,Virginia,"Census Tract 2.02, Winchester city, Virginia",5934,485,7822,1.1977,0.4677,0.9977,0.5164,0,0.3718,0.5371,0.4796,1.3885,0.2916,0,0.6739,0.9461,0.7775,0,0,2.3975,0.9316,0.7204,0.2455,0.4903,1.4562,0.402,0.7891,0.7666,0,1.5557,0.7805,0.5852,0.5852,0.5852,7.3831,0.7955,0.2758,0.2758,0.2758,0.1983,0.0877,0.0484,0.6368,0.2536,0.3622,0.3933,1.9803,0.1909,0.9126,0.352,0.4745,0.2502,1.9893,0.4826,0,0.6153,0.6153,0.3388,4.8607,0.2022,0,0,1,0,0,1,0.2,0,8.53,0.43,30.59,0,54.36,12.23,10.62,0,0,16.65,38.04,9.27,100,100,0,61.91,13.9,15.2923,2.5,1.3,41.2,19.546,5.2,13.5,25.5,20,12.2,0.3,0,0.6,30.4,8.1,8.2,10.3,8.5,0.4098,0.0864,0.8343,0.219,0.1057
51,840,201,1400000US51840000201,51840000201,2.01,Winchester City,VA,Virginia,"Census Tract 2.01, Winchester city, Virginia",3490,350,8954,1.5613,0.6502,1.3613,0.7633,0,0.3809,0.5501,0.4892,1.4202,0.3049,0,0.7335,0,0.9293,0,0,1.6628,0.8107,0.7918,0.7333,0.5348,2.0599,0.8503,0.6963,0.7666,0,1.4629,0.7194,0.5724,0.5724,0.5724,7.1782,0.7606,0.4269,0.4269,0.4269,0.3941,0.5106,0.3594,0.6831,0.5742,0.8323,0.5082,3.8619,0.5833,0.7325,0.2674,0.4528,0.5938,2.0465,0.5355,0.4558,0.6572,1.113,0.702,7.4483,0.6007,0,0,1,0,0,1,0.2,0,8.57,0.44,30.82,0,72.45,0,68.07,0,0,5.33,80.18,8.67,84.42,100,0,59.74,23.8,24.8131,10.1,3.8,45.1,28.5903,14.6,16.7,19.7,18.6,11.9,2.1,0.5,0.8,32.7,8.9,7.6,12.6,9.9,0.5477,0.2567,0.7108,0.3955,0.339
51,840,100,1400000US51840000100,51840000100,1,Winchester City,VA,Virginia,"Census Tract 1, Winchester city, Virginia",7510,651,7381,1.8942,0.7841,1.6942,0.9229,0,0.3854,0.5868,0.4864,1.4586,0.3205,0,0.7777,0,0.9477,0,0,1.7254,0.8335,0.4692,0.7949,0.4737,1.7378,0.6431,0.7346,0.7666,0,1.5012,0.7438,0.5811,0.5811,0.5811,7.0041,0.729,0.72,0.72,0.72,0.8778,0.8979,0.1003,0.9133,0.9463,0.9506,0.9528,5.639,0.9055,0.2011,0.9452,0.7152,0.9009,2.7624,0.9559,0.5947,0.6572,1.2519,0.753,10.3733,0.9652,0,0,0,1,0,1,0.2,0,8.59,0.47,30.75,0,85.23,0,80.39,0,0,88.44,84.79,9.52,93.24,100,0,61.26,55.6,56.0484,26.5,1.9,73.29999999999998,50.6078,22.7,40.8,10.4,32,16,12.4,1.8,0.8,33.8,10.3,5.8,17.2,12.2,0.6106,0.6494,0.3102,0.6662,0.8115
51,830,370300,1400000US51830370300,51830370300,3703,Williamsburg City,VA,Virginia,"Census Tract 3703, Williamsburg city, Virginia",7545,431,14908,0.7387,0.2035,0.5387,0.1711,0.325,0.2939,0.3702,0.4175,1.4066,0.2996,0,0,0,0,0,0,0,0,0.5332,0.2692,0.3795,1.1819,0.1733,0.6514,0.5438,0,1.1952,0.5725,0.4524,0.4524,0.4524,4.2361,0.1441,0.5669,0.5669,0.5669,0.7894,0.2858,0.5605,0.7584,0.8624,0.2674,0.3521,3.876,0.5864,0.1965,0.0471,0.1879,0.3205,0.752,0.0194,0,0.9888,0.9888,0.6578,6.1837,0.3946,0,0,0,1,0,1,0.2,0.33,8.12,0.31,29.21,0,0,0,0,0,0,70.28,40.64,11.28,72.61,61.09,0,40.45,36,47.5764,5.9,5.3,52.1,42.3939,4.1,12.4,10.3,9.1,8.2,0.5,0,46.7,18.7,10.1,3.5,17.2,5.9,0.024,0.5987,0.0302,0.0378,0.8115
51,830,370200,1400000US51830370200,51830370200,3702,Williamsburg City,VA,Virginia,"Census Tract 3702, Williamsburg city, Virginia",2731,293,1608,0.8778,0.2815,0.8778,0.4179,0.325,0.2922,0.4723,0.4125,1.502,0.3384,0,0,0,0,0,0,0,0,0.3853,0.3813,0.4988,1.2654,0.2325,0.7104,0.7666,0,1.477,0.7281,0.4137,0.4137,0.4137,4.6581,0.2174,0.6543,0.6543,0.6543,0.6154,0.4642,0.5844,0.9043,0.7006,0.8687,0.5809,4.7185,0.755,0.562,0.1464,0.8548,0.3749,1.9381,0.4373,0.5113,0,0.5113,0.2708,7.8222,0.6604,0,0,0,0,0,0,0,0.33,8.11,0.38,29.1,0,0,0,0,0,0,100,51.26,9.17,87.9,100,0,34.79,46.2,35.9941,9.1,5.5,71.6,33.4109,16.2,18.9,16.7,15.7,19.4,0.7,0.8,0,32.5,9.6,5.6,14.2,10.9,0.536,0.4568,0.2747,0.5229,0.5265
51,830,370100,1400000US51830370100,51830370100,3701,Williamsburg City,VA,Virginia,"Census Tract 3701, Williamsburg city, Virginia",4651,395,8703,0.6718,0.1697,0.6718,0.2592,0.325,0.2939,0.4441,0.4125,1.4755,0.3274,0,0.3648,0,0,0,0,0.3648,0.2576,0.4435,0.3664,0.4012,1.2111,0.1934,0.591,0.5021,0.9368,2.0299,0.9482,0.4796,0.4796,0.4796,5.5609,0.4149,0.3446,0.3446,0.3446,0.4292,0.0537,0.702,0.5315,0.3543,0.1551,0.2661,2.4919,0.2868,0.8796,0.0494,0.3298,0.2137,1.4725,0.1331,0,0.9683,0.9683,0.6333,5.2773,0.2569,0,0,0,0,0,0,0,0.33,8.12,0.36,29.1,0,2.5,0,0,0,0,94.18,50.02,10.89,56.51,51.84,19.81,44.58,18.1,26.4876,1.8,6.7,33.6,22.2093,2.8,10.1,23.8,9.4,10.2,0.2,0,18.4,27.5,8.7,7,11.6,8.4,0.2437,0.2054,0.5632,0.2073,0.2276
51,820,3500,1400000US51820003500,51820003500,35,Waynesboro City,VA,Virginia,"Census Tract 35, Waynesboro city, Virginia",5317,439,4699,1.5416,0.6421,1.1416,0.6243,0.325,0.2724,0.3399,0.3298,1.2671,0.2466,0,0.4827,0.9256,0.7009,0,0,2.1092,0.9119,0.7539,0.7096,0.5905,2.054,0.8471,0.5267,0.7666,0,1.2933,0.6211,0.4178,0.4178,0.4178,7.1414,0.754,0.1334,0.1334,0.1334,0.3998,0.4533,0.1858,0.48,0.2664,0.5781,0.4259,2.7893,0.3468,0.8953,0.2782,0.7396,0,1.9131,0.416,0.5113,0.7932,1.3045,0.7758,6.1403,0.3876,1,0,1,0,0,2,0.4,0.33,7.98,0.29,27.33,0,12.11,3.03,3.03,0,0,10.6,78.37999999999998,7.96,41.14,100,0,35.31,6.7,25.1065,8.9,2.6,30.3,19.8798,8.3,14.4,24.5,18.8,16.5,0,0.8,2.1,38.2,8.8,9.4,11.9,11.7,0.8087,0.2306,0.9497,0.6162,0.2588
51,820,3400,1400000US51820003400,51820003400,34,Waynesboro City,VA,Virginia,"Census Tract 34, Waynesboro city, Virginia",5337,445,3564,1.5376,0.6403,1.3376,0.7497,0.325,0.2774,0.3091,0.332,1.2435,0.2384,0,0.5485,0.9554,0.8214,0,0,2.3253,0.9258,1,0.4538,0.5348,1.9886,0.8093,0.7765,0.7666,0,1.5431,0.7718,0.4178,0.4178,0.4178,7.5183,0.8176,0.4232,0.4232,0.4232,0.4514,0.3105,0.2569,0.4687,0.5497,0.8804,0.6734,3.591,0.5237,0.806,0.3788,0.3143,0.562,2.0611,0.5493,0.433,0.4452,0.8782,0.5393,6.9535,0.52,0,0,1,0,0,1,0.2,0.33,8.01,0.27,27.38,0,22.78,20.22,20.22,0,0,0,57.55,8.67,99.47000000000001,100,0,35.31,23.5,27.51,6.3,3.1,29.6,27.7522,16.8,21.9,21.4,20.4,10,1.8,0.3,0.2,33.5,9.1,7.9,12.9,10.3,0.5934,0.3108,0.778,0.4476,0.3736
