state_fips,state_name,state_abbrev.x,county_fips,county_name.x,fips,location,area_sqmi,total_pop,housing_units,num_households,poverty,unemployment,housing_cost_burden,no_highschool,uninsured,age_over_65,age_under_17,disabilities,single_parent,limited_english,minority,multi_unit_housing,mobile_homes,crowded_housing,no_vehicle,group_quarters,state_abbrev.y,state_desc,county_name.y,total_population,lack_insurence_prev,binge_drinking_prev,high_bp_prev,cancer_prev,adult_asthma_prev,heart_disease_prev,routine_physical_prev,copd_prev,smoking_prev,diabetes_prev,high_chol_prev,physical_activity_prev,adult_obesity_prev,poor_sleep_prev,stroke_prev,geolocation
11,District of Columbia,DC,11001,District of Columbia,11001000101,Census Tract 1.01; District of Columbia; District of Columbia,0.077133913152,1097,841,738,47,0,122,12,22,317,78,55,0,0,298,525,0,4,293,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,District of Columbia,DC,11001,District of Columbia,11001000102,Census Tract 1.02; District of Columbia; District of Columbia,0.658876885368,3127,2093,1866,256,16,234,60,33,871,301,211,49,60,634,493,0,0,440,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,District of Columbia,DC,11001,District of Columbia,11001000201,Census Tract 2.01; District of Columbia; District of Columbia,0.194983054408,2384,0,0,48,84,0,0,42,0,27,129,0,11,1165,0,0,0,0,2384,DC,District of Columbia,District of Columbia,3916,8,28.8,8.6,0.9,12.2,1,60.1,2,10.4,1.2,9.8,14.2,14,28.4,0.6,POINT (-77.07507618 38.9094262)
11,District of Columbia,DC,11001,District of Columbia,11001000202,Census Tract 2.02; District of Columbia; District of Columbia,0.29978310637,3919,1957,1802,476,107,255,35,16,825,258,238,0,10,936,431,0,9,523,591,DC,District of Columbia,District of Columbia,5425,5,26.8,16.8,4,9.8,2.8,63.4,2.8,8.5,3.6,21.4,10.9,15.6,25.1,1.4,POINT (-77.06826246 38.90783339)
11,District of Columbia,DC,11001,District of Columbia,11001000300,Census Tract 3; District of Columbia; District of Columbia,0.402378515912,5979,2785,2471,673,52,347,128,0,606,1335,135,30,23,1992,339,0,16,345,0,DC,District of Columbia,District of Columbia,6233,4.3,27.2,16.2,3.8,9.4,2.3,62.3,2.3,8.1,3.3,21.2,9.7,16.7,25.1,1.2,POINT (-77.07550564 38.91756548)
11,District of Columbia,DC,11001,District of Columbia,11001000400,Census Tract 4; District of Columbia; District of Columbia,0.595075460378,1652,815,660,169,29,101,37,5,345,319,106,10,23,546,412,0,0,89,32,DC,District of Columbia,District of Columbia,1455,4.6,20.7,26.1,7.4,8.7,4.5,69,3.7,8.3,6,32.3,12.1,17.7,24.6,2.2,POINT (-77.0658923 38.92386075)
11,District of Columbia,DC,11001,District of Columbia,11001000501,Census Tract 5.01; District of Columbia; District of Columbia,0.363032019398,3594,2539,2183,423,167,608,43,51,573,339,236,22,0,1479,2284,0,18,924,47,DC,District of Columbia,District of Columbia,3376,3.8,27.8,14.6,3.9,8.8,2,61.7,1.8,6.5,2.7,20.4,8.2,15.2,24.3,1,POINT (-77.05171083 38.92663626)
11,District of Columbia,DC,11001,District of Columbia,11001000502,Census Tract 5.02; District of Columbia; District of Columbia,0.224521015714,3384,1789,1714,218,49,233,43,16,485,671,187,31,36,1056,1172,0,47,359,0,DC,District of Columbia,District of Columbia,3189,3.7,24.4,20.1,5.8,8.6,3,65.7,2.4,6.7,4.2,27.2,9.1,16.6,24.2,1.4,POINT (-77.05955484 38.92836237)
11,District of Columbia,DC,11001,District of Columbia,11001000600,Census Tract 6; District of Columbia; District of Columbia,0.55670696023,4548,2290,2206,195,75,356,170,43,882,934,364,90,0,966,1181,0,0,537,140,DC,District of Columbia,District of Columbia,4539,4.2,21.9,24.8,7.3,8.6,4.1,68.4,3.2,7.7,5.4,30.7,11,17.3,24.3,2,POINT (-77.06649713 38.93629866)
11,District of Columbia,DC,11001,District of Columbia,11001000702,Census Tract 7.02; District of Columbia; District of Columbia,0.119292776634,2921,2476,2168,297,31,699,0,56,317,137,164,38,36,1104,2052,0,65,723,0,DC,District of Columbia,District of Columbia,3364,5.6,26.6,17,3.9,9.6,2.4,62,2.6,10.2,3.6,21.5,11.6,18.2,26.9,1.3,POINT (-77.07777002 38.92410816)
11,District of Columbia,DC,11001,District of Columbia,11001000703,Census Tract 7.03; District of Columbia; District of Columbia,0.089628559974,2978,2328,2028,100,63,271,26,40,1558,108,547,0,0,958,2303,0,15,506,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,District of Columbia,DC,11001,District of Columbia,11001000704,Census Tract 7.04; District of Columbia; District of Columbia,0.128319455292,2660,1726,1515,238,60,474,53,37,410,385,190,19,40,712,1195,0,48,407,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,District of Columbia,DC,11001,District of Columbia,11001000802,Census Tract 8.02; District of Columbia; District of Columbia,0.651964887364,3306,1529,1471,291,68,267,98,37,734,604,312,28,110,922,375,0,52,231,0,DC,District of Columbia,District of Columbia,2869,4,25.2,19.6,5.2,8.5,3,64.5,2.4,7.4,4.1,26,9.7,16.7,24.9,1.4,POINT (-77.0872158 38.91196521)
11,District of Columbia,DC,11001,District of Columbia,11001000803,Census Tract 8.03; District of Columbia; District of Columbia,0.11897848960599999,2464,1533,1233,471,86,322,0,226,627,416,236,0,44,938,1105,0,0,273,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,District of Columbia,DC,11001,District of Columbia,11001000804,Census Tract 8.04; District of Columbia; District of Columbia,0.991034258336,3674,1353,1235,280,114,129,0,0,625,949,228,40,10,671,336,0,0,31,307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,District of Columbia,DC,11001,District of Columbia,11001000902,Census Tract 9.02; District of Columbia; District of Columbia,0.720893360812,2310,888,864,101,35,83,44,39,448,645,145,79,29,593,35,0,0,45,5,DC,District of Columbia,District of Columbia,2092,3.4,21.1,25.6,7.8,8.4,4.2,69.9,3.2,7.2,5.5,33.2,10.2,17.6,24,1.9,POINT (-77.10745201 38.92797366)
11,District of Columbia,DC,11001,District of Columbia,11001000903,Census Tract 9.03; District of Columbia; District of Columbia,0.358341652302,2784,390,358,116,169,54,0,36,163,265,162,0,18,656,0,0,0,0,1729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,District of Columbia,DC,11001,District of Columbia,11001000904,Census Tract 9.04; District of Columbia; District of Columbia,0.78174458042,3221,1301,1214,216,66,95,0,0,928,801,247,19,0,918,204,0,0,168,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
